subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2178	0.3181818181818182	0.34474107513491076	0.20212593969768006	0.36202995787174286	0.3626373626373626	0.2727272727272727	0.39717741935483875	0.44501300578034686	0.29694323144104806	84.0	85.0	64.0	21.0	23.0	-1.0
subimage_G1	3334	0.3512149349375531	0.35070181133545414	0.07677595628415301	0.3793103448275862	0.4106504365759889	0.20837952697708795	0.42481085790270073	0.5204270749395649	0.2853598014888337	135.0	142.0	75.0	58.0	70.0	11.0
subimage_F1	17795	0.33258470956719816	0.37073170731707317	0.0903954802259887	0.35555555555555557	0.49466192170818507	0.14883720930232558	0.38738738738738737	0.5495495495495496	0.2715736040609137	92.0	129.0	38.0	52.0	87.0	36.0
subimage_E1	4374	0.34782608695652173	0.34421849604103605	0.17391304347826086	0.37206234276247163	0.3697916666666667	0.24882629107981222	0.4315497489667414	0.4336734693877551	0.29400745889133745	83.0	84.0	54.0	28.0	27.5	-3.0
subimage_D1	18860	0.3333333333333333	0.3650769305677281	0.07804878048780488	0.35580524344569286	0.4945054945054945	0.14922363986519016	0.38461538461538464	0.5603864734299517	0.2755372472740194	88.0	122.0	36.0	49.0	82.0	34.0
subimage_C1	16689	0.3539651837524178	0.34823091247672255	0.01098901098901099	0.3733031674208145	0.46853146853146854	0.14522821576763487	0.40790733691799264	0.5979381443298969	0.29097605893186	118.0	142.0	43.0	62.0	92.0	26.0
subimage_B1	13057	0.33064516129032256	0.3542691033643554	0.07072167518384646	0.3612565445026178	0.45	0.18502202643171806	0.460431654676259	0.5053763440860215	0.2879581151832461	75.0	95.0	38.0	37.0	54.0	17.0
subimage_A1	1955	0.3543859649122807	0.33827356221298926	0.15364975450081833	0.38188976377952755	0.35650224215246634	0.2550335570469799	0.4650038138825324	0.4096738172200999	0.3	100.0	99.0	68.0	36.0	31.0	-7.0
subimage_H2	7122	0.3333333333333333	0.39583601113967437	0.0	0.36220472440944884	0.4870689655172414	0.14977973568281938	0.4161073825503356	0.5958831244535121	0.2543352601156069	88.0	118.0	36.0	49.0	79.0	28.0
subimage_G2	5589	0.3414192027116646	0.3425531914893617	0.19070726444497724	0.3770491803278688	0.37055837563451777	0.24444444444444444	0.4194851774265219	0.44017094017094016	0.2963436784332306	105.0	102.0	66.0	36.0	35.0	-4.0
subimage_F2	8731	0.35377552970043136	0.36574074074074076	0.01976315460567429	0.37962962962962965	0.48417721518987344	0.14074074074074075	0.41333333333333333	0.5720825476639431	0.27395886365950517	113.0	143.0	40.0	67.0	99.0	29.0
subimage_E2	4136	0.3585985705940341	0.3622471382328013	0.14116419123623736	0.3970223325062035	0.41450777202072536	0.18408525554047941	0.42971359954118576	0.4396853569013812	0.27886198612573215	155.0	162.0	72.0	81.0	90.0	6.0
subimage_D2	4229	0.35633207894938945	0.32867098786490573	0.15384615384615385	0.39080459770114945	0.373015873015873	0.23134328358208955	0.4574898785425101	0.43887584244993033	0.29022988505747127	107.0	105.0	62.0	44.0	38.0	-3.0
