subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4704	0.3333333333333333	0.38292111805415574	0.2170780912441225	0.3408239700374532	0.4153846153846154	0.24452554744525548	0.3566055790755669	0.4367244897959183	0.27195094677202925	101.0	124.0	72.0	29.0	51.0	22.0
subimage_G1	6569	0.3291297964366493	0.38150836917513625	0.20248448804098762	0.3395061728395062	0.41317365269461076	0.24836601307189543	0.3654390934844193	0.44621513944223107	0.27848101265822783	111.0	135.0	80.0	29.0	53.0	23.0
subimage_F1	4420	0.34234234234234234	0.3818526501734443	0.1942218825040487	0.3560830860534125	0.41488086126843204	0.22814700704225352	0.375343250775209	0.44	0.2684572023671769	133.0	154.0	82.0	46.0	68.0	20.0
subimage_E1	7782	0.33121019108280253	0.38641755265866684	0.21	0.33980582524271846	0.4241379310344828	0.2356687898089172	0.35696757342984936	0.44336569579288027	0.2727272727272727	107.0	134.0	74.0	33.0	59.0	26.0
subimage_D1	2595	0.35510887772194305	0.34276029938324226	0.2805755395683453	0.36199095022624433	0.3456140350877193	0.2921739130434783	0.37117117117117115	0.3510334346504559	0.30117063776953806	207.0	197.0	167.0	39.0	30.0	-9.0
subimage_C1	8615	0.3343949044585987	0.3890389498909117	0.1939799331103679	0.34472934472934474	0.4322766570605187	0.2222222222222222	0.3638912766634829	0.45345541851049803	0.2646370023419204	112.0	140.0	72.0	40.0	68.0	28.0
subimage_B1	2974	0.3295880149812734	0.3495174131744201	0.24899024670109007	0.3548387096774194	0.36764705882352944	0.27447887672419125	0.37783902012248466	0.4090909090909091	0.2946859903381642	97.0	103.0	76.0	21.0	27.0	2.0
subimage_A1	5310	0.3353658536585366	0.3798529437851454	0.20591822094691534	0.34651162790697676	0.41944444444444445	0.23100303951367782	0.38010204081632654	0.43870967741935485	0.2691906121720507	120.0	145.0	79.0	39.0	64.0	25.0
subimage_H2	6138	0.3345052019433675	0.353914463838811	0.225531914893617	0.3492063492063492	0.3965809468147282	0.25190839694656486	0.3788019951063429	0.42264734487453803	0.28614468153157263	100.0	114.0	72.0	28.0	41.0	14.0
subimage_G2	6989	0.3342972991086388	0.36780613226168907	0.17845117845117844	0.35607675906183367	0.4186046511627907	0.2280130293159609	0.37941743900132396	0.454192390742374	0.2779823965994948	124.0	148.0	79.0	45.0	66.0	22.0
subimage_F2	5451	0.3392857142857143	0.3911408957175547	0.19117647058823528	0.3480392156862745	0.42679127725856697	0.22570532915360503	0.365625	0.4481543416326025	0.2597870182555781	114.0	140.0	74.0	40.0	65.0	26.0
