subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4723	0.34	0.3528526460751525	0.20548899813851368	0.3598014888337469	0.4083769633507853	0.2360097323600973	0.38414506848617547	0.4358108108108108	0.2810468023077604	144.0	164.0	94.0	50.0	66.0	19.0
subimage_G1	9136	0.34794520547945207	0.37076385153308233	0.19648093841642228	0.35890750033907504	0.42969786140583555	0.211864406779661	0.3716027852588159	0.4438040345821326	0.2676864244741874	133.0	158.0	77.0	53.0	79.0	26.0
subimage_F1	3521	0.35	0.34833333333333333	0.18404907975460122	0.3641732283464567	0.40554156171284633	0.23298429319371727	0.37822349570200575	0.4421768707482993	0.28907563025210087	140.0	158.0	91.0	51.0	67.0	17.0
subimage_E1	2111	0.34917355371900827	0.3520358820510796	0.18943381180223284	0.36342592592592593	0.40420560747663553	0.2361111111111111	0.3940588235294118	0.4305366333636088	0.2815572981814683	154.0	172.0	100.0	56.0	72.0	18.0
subimage_D1	4185	0.3498964803312629	0.38336569579288027	0.1978946789797713	0.36193029490616624	0.4178743961352657	0.21975308641975308	0.37056702932553215	0.43575418994413406	0.264641066411985	146.0	168.0	88.0	57.0	79.0	22.0
subimage_C1	2293	0.3556315051811686	0.3453689167974882	0.20528864446058592	0.3717948717948718	0.35766423357664234	0.2692307692307692	0.38317757009345793	0.4155670995670996	0.292899872511523	201.0	197.0	151.0	58.0	49.0	-3.0
subimage_B1	3701	0.3542600896860987	0.3546617915904936	0.2	0.36396396396396397	0.408	0.22518159806295399	0.37623762376237624	0.4346590909090909	0.28191489361702127	145.0	162.0	89.0	55.0	72.0	17.0
subimage_A1	1671	0.3512129732557379	0.34582623509369675	0.20490816019271302	0.3672566371681416	0.3933649289099526	0.24181360201511334	0.3928887484197219	0.4289544235924933	0.2912832418742085	160.0	175.0	106.0	58.0	66.0	13.0
subimage_H2	3829	0.34366488335698947	0.3486725663716814	0.2063219174967026	0.36023054755043227	0.4084507042253521	0.23333333333333334	0.38447519969037147	0.4368148361363543	0.2787769784172662	132.0	150.0	85.0	47.0	63.0	18.0
subimage_G2	4070	0.3486574831490086	0.35130434782608694	0.17929852792180703	0.3651194474367911	0.4125874125874126	0.2280252407924617	0.3839779005524862	0.4415204678362573	0.2881515829868884	144.0	161.0	87.0	52.0	70.0	18.0
