subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	538	0.35418882709506855	0.34248456414455486	0.25884167358987503	0.3580863121185702	0.34450651769087526	0.29770992366412213	0.3931451399077298	0.3489039465601966	0.3027950310559006	221.0	213.0	186.0	37.0	29.0	-9.0
subimage_G1	2781	0.3554119547657512	0.34234234234234234	0.24285714285714285	0.36260162601626017	0.3462157809983897	0.2914012738853503	0.4	0.35700197238658776	0.30120481927710846	220.0	209.0	178.0	44.0	34.0	-11.0
subimage_F1	1877	0.3552133355412044	0.35015201115721045	0.219842568778739	0.3656565656565657	0.37701612903225806	0.2595419847328244	0.37815126050420167	0.40614082969432314	0.2918825561312608	182.0	191.0	130.0	53.0	58.0	6.0
subimage_E1	2124	0.3538218020340926	0.3443396226415094	0.22154122524182404	0.3595301299025566	0.34987179412126285	0.28833333333333333	0.3684210526315789	0.41432902295416335	0.3001576093499321	211.0	205.0	170.0	42.0	36.0	-5.0
subimage_D1	739	0.35333333333333333	0.34716921556245023	0.20705665007061644	0.36065573770491804	0.38823529411764707	0.25313807531380755	0.3719528630596279	0.42308729006842216	0.2973017868366706	161.0	177.0	115.0	49.0	61.0	13.0
subimage_C1	3007	0.3541084206037056	0.34597875569044007	0.2	0.3647342995169082	0.38524590163934425	0.25405405405405407	0.3773668994876123	0.43116883116883115	0.2969163006650772	176.0	188.0	122.0	56.0	62.0	11.0
subimage_B1	973	0.35479728680163625	0.34437158469945356	0.2115474413190311	0.3689727463312369	0.37044534412955465	0.2591304347826087	0.39234727250256973	0.41263181263181264	0.2987555783041955	179.0	188.0	136.0	58.0	55.0	6.0
subimage_A1	753	0.3542009884678748	0.3425324675324675	0.2863448156382641	0.35691318327974275	0.34523809523809523	0.2975206611570248	0.36626916524701875	0.3482587064676617	0.3024390243902439	215.0	208.0	178.0	36.0	29.0	-7.0
subimage_H2	1884	0.35413153456998314	0.3466730872124131	0.2014953569683071	0.36363636363636365	0.3947939262472885	0.24232441375064925	0.3762101248266297	0.42409638554216866	0.2972907479369515	164.0	180.0	109.0	54.5	69.0	14.0
subimage_G2	6797	0.3431952662721893	0.349828145539623	0.18181818181818182	0.36	0.42378048780487804	0.22115384615384615	0.375	0.45051194539249145	0.28716562716562716	129.0	154.0	76.0	48.0	68.0	22.0
subimage_F2	1703	0.35457581438950087	0.34769403466312127	0.19896772662553394	0.36616702355460384	0.37678207739307534	0.25879396984924624	0.384385823787902	0.4231678486997636	0.2973856209150327	171.0	184.0	117.0	52.0	56.0	5.0
subimage_E2	3624	0.3540179988212359	0.36086981945533164	0.19240506329113924	0.3655030800821355	0.40044005731879706	0.23196473278530172	0.38372093023255816	0.43376623376623374	0.27601809954751133	167.0	182.0	106.0	60.0	76.0	15.0
subimage_D2	1068	0.35538467151953	0.34558547893854197	0.19550561797752808	0.36548246373584686	0.36774219854300316	0.26506024096385544	0.38326740974297513	0.42561252727369486	0.294948127925117	180.0	192.0	130.0	52.0	52.0	2.0
subimage_C2	4430	0.34931267605633803	0.3458083832335329	0.20967085195945603	0.3606684261280008	0.3917635191682047	0.25127021380857817	0.3742528611918344	0.4262734584450402	0.2966705338098807	151.0	169.0	105.0	50.0	58.0	13.0
subimage_B2	1399	0.35523942213355414	0.3442074801566866	0.21489909101829976	0.3639344262295082	0.3509933774834437	0.284329563812601	0.37881987190033417	0.41056684141546523	0.2987073298218809	215.0	208.0	166.0	48.0	39.0	-7.0
subimage_A2	2494	0.35424135343048346	0.34395973154362414	0.1813031161473088	0.36225043162601267	0.37763713080168776	0.25698194144468445	0.381079298543885	0.44644768457841855	0.2989864864864865	162.0	171.0	115.0	48.0	54.0	7.0
subimage_H3	1332	0.35182876782599776	0.345	0.19049329682779456	0.3595625149414296	0.41388888888888886	0.2239003109621713	0.37393472238949776	0.4415204678362573	0.2995008319467554	138.0	158.0	84.0	50.0	71.0	18.0
subimage_G3	3953	0.3544669643879538	0.3527454242928453	0.1688091658879454	0.3679727427597956	0.3944723618090452	0.23774509803921567	0.389937106918239	0.44551282051282054	0.28882935523169245	164.0	177.0	107.0	58.0	69.0	11.0
subimage_F3	2282	0.3464203233256351	0.344391785150079	0.20981748875396025	0.3565217391304348	0.36183600713012476	0.27772736438798146	0.36792261082988187	0.4251207729468599	0.3004694835680751	200.0	201.0	154.0	41.0	47.0	1.0
subimage_E3	1855	0.349242710606347	0.3474576271186441	0.21160801830264733	0.36298932384341637	0.38786279683377306	0.2574468085106383	0.3812835715009628	0.4225	0.29183097844347383	163.0	179.0	117.0	51.0	60.0	12.0
subimage_D3	2776	0.3543046357615894	0.34471544715447155	0.19794344473007713	0.3621681604325889	0.3651414593446602	0.27052238805970147	0.3795668208048305	0.4252577319587629	0.2990353697749196	189.0	188.0	138.5	47.0	49.0	0.0
subimage_C3	8361	0.34831460674157305	0.3548387096774194	0.19113573407202217	0.36175710594315247	0.42462311557788945	0.21306818181818182	0.3903420523138833	0.4463276836158192	0.2818181818181818	139.0	163.0	80.0	57.0	79.0	23.0
subimage_B3	2005	0.3549382716049383	0.3440396471872327	0.2046155069371745	0.3631484794275492	0.347068145800317	0.28885135135135137	0.37856046766532697	0.4181360201511335	0.29984544049459044	222.0	213.0	178.0	46.0	36.0	-6.0
subimage_A3	1395	0.34779298168174794	0.342443729903537	0.21314495254529767	0.3592814371257485	0.3811659192825112	0.261758691206544	0.3688763329619609	0.42506598240469207	0.3017656500802568	172.0	181.0	120.0	43.0	54.0	9.0
subimage_H4	1366	0.3553790998358626	0.342668863261944	0.27260170768458064	0.3657524628771713	0.3465253304991516	0.2876480541455161	0.3773743332794569	0.3503617507967513	0.3013191103824665	216.0	203.0	168.0	45.0	34.0	-11.0
subimage_G4	5483	0.34624263507030895	0.3484375	0.20051480826906598	0.36070381231671556	0.41379310344827586	0.22507122507122507	0.37730789776130275	0.4368131868131868	0.28860841470695864	139.0	160.0	85.0	51.0	71.0	20.0
subimage_F4	3557	0.35642879166809416	0.34882976744186045	0.20744884744884745	0.37362637362637363	0.39359267734553777	0.23008849557522124	0.3881932021466905	0.41686746987951806	0.2878688085377153	163.0	176.0	99.0	64.0	70.0	8.0
subimage_E4	4975	0.35315005727376864	0.3698808371950909	0.18911694404442003	0.36507936507936506	0.40714285714285714	0.22654462242562928	0.38011695906432746	0.43902439024390244	0.2707104191082092	155.0	173.0	95.0	58.0	76.0	16.0
subimage_D4	2090	0.35583162708257515	0.34535104364326374	0.19901047587614754	0.37018425460636517	0.35	0.27902946273830154	0.39036546200278593	0.42027895269481275	0.2968253968253968	213.0	203.0	164.0	53.0	42.0	-9.0
subimage_C4	9622	0.34705882352941175	0.3567367690025149	0.18888888888888888	0.36141304347826086	0.42857142857142855	0.21079691516709512	0.38461538461538464	0.4463073381773809	0.2819980735551663	138.0	163.0	79.0	56.0	79.0	25.0
subimage_B4	4012	0.35563750572267255	0.34996388443017656	0.18972482801751095	0.3661577777531223	0.3805668016194332	0.2547892720306513	0.3798449612403101	0.4313592020468756	0.2913421547318334	175.5	186.0	123.0	55.0	62.0	8.0
subimage_A4	1441	0.3539325842696629	0.35251798561151076	0.1928374655647383	0.3641160949868074	0.4	0.23608017817371937	0.37771739130434784	0.43243243243243246	0.2910714285714286	156.0	171.0	102.0	54.0	69.0	15.0
subimage_H5	2085	0.34837759291846637	0.34465360080439117	0.19090879989756396	0.3626373626373626	0.38823529411764707	0.2541966426858513	0.3768774703557312	0.43475942028985504	0.3	155.0	170.0	111.0	48.0	57.0	12.0
subimage_G5	5190	0.3510581613776454	0.3508771929824561	0.1973095001355871	0.3631578947368421	0.4107981220657277	0.22588533890713647	0.37530007534234755	0.4393530997304582	0.28593508500772796	150.0	171.0	92.0	55.0	71.0	18.0
