subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2939	0.35478260869565215	0.33729216152019004	0.2775735294117647	0.3645833333333333	0.3454861111111111	0.28975265017667845	0.3741362225629137	0.3497422088363664	0.3062200956937799	209.0	198.0	166.0	43.0	32.0	-11.0
subimage_G1	3755	0.3547008547008547	0.33796296296296297	0.1950571417650881	0.37115839243498816	0.36103151862464183	0.26306306306306304	0.3901406833189779	0.42455242966751916	0.3051350418770978	175.0	177.0	129.0	55.0	49.0	-4.0
subimage_F1	3425	0.35476718403547675	0.34215401146968477	0.2633949383949384	0.36724137931034484	0.34657039711191334	0.2849557522123894	0.3796220710506425	0.3612789540997584	0.30210772833723654	205.0	192.0	157.0	46.0	35.0	-12.0
subimage_E1	2566	0.3543046357615894	0.34235668789808915	0.2723735408560311	0.3648424543946932	0.3452991452991453	0.28986750192656674	0.37654518520649216	0.35145631067961164	0.30211093934040045	212.0	201.0	169.0	43.0	32.0	-11.0
subimage_D1	11291	0.34210526315789475	0.3812200435729848	0.16666666666666666	0.35545023696682465	0.43478260869565216	0.209375	0.375	0.46579804560260585	0.2697521419828641	123.0	150.0	74.0	48.0	76.0	26.0
subimage_C1	13569	0.3470057562190729	0.3843243997766611	0.18994413407821228	0.3577023498694517	0.43467336683417085	0.2066869300911854	0.36639118457300274	0.449468085106383	0.26535626535626533	134.0	162.0	77.0	55.0	83.0	28.0
subimage_B1	11694	0.3435976424838984	0.3858691915122213	0.1625129160235231	0.36	0.4343163538873995	0.20159151193633953	0.37770897832817335	0.4728682170542636	0.26518193499002163	125.0	151.0	72.0	52.0	78.0	25.0
subimage_A1	9745	0.34673366834170855	0.38461538461538464	0.16613418530351437	0.36134453781512604	0.43535620052770446	0.2012012012012012	0.3731987396428988	0.4662379421221865	0.26635287728270457	126.0	152.0	71.0	55.0	82.0	26.0
subimage_H2	2159	0.3544520547945205	0.3405909797822706	0.27452678571428574	0.3579454253611557	0.3425925925925926	0.2996632996632997	0.3757852051020931	0.3497704173760512	0.30393700787401573	219.0	209.0	182.0	36.0	26.0	-10.0
subimage_G2	6626	0.3545119543869494	0.3726488339388257	0.1972972972972973	0.36619718309859156	0.4065934065934066	0.2275132275132275	0.3841052131575823	0.4257703081232493	0.2644020957222329	135.0	150.0	82.0	50.0	65.0	15.0
subimage_F2	2795	0.3556869903662126	0.34418604651162793	0.23125936830835117	0.3657331136738056	0.35147392290249435	0.282793867120954	0.3842822573915946	0.3865546218487395	0.2986217457886677	208.0	199.0	158.0	47.0	38.0	-8.0
subimage_E2	2071	0.3546755416162408	0.3431766259727279	0.25635103926096997	0.3611111111111111	0.3464163822525597	0.29187396351575456	0.37577645076798427	0.37100423295869217	0.3014354066985646	216.0	208.0	177.0	41.0	33.0	-8.0
subimage_D2	9341	0.3486005089058524	0.3830227743271222	0.1748768472906404	0.3631578947368421	0.42702702702702705	0.20681265206812652	0.37945492662473795	0.45614035087719296	0.26609442060085836	145.0	169.0	83.0	59.0	85.0	24.0
subimage_C2	11153	0.35135135135135137	0.3874709976798144	0.15544041450777202	0.3656509695290859	0.4369747899159664	0.19718309859154928	0.38181818181818183	0.46788990825688076	0.2607128844046982	137.0	163.0	73.0	61.0	89.0	26.0
subimage_B2	17875	0.3448275862068966	0.39853300733496333	0.18904109589041096	0.35509138381201044	0.43636363636363634	0.2064343163538874	0.3661413910269745	0.45507246376811594	0.25235849056603776	134.0	165.0	78.0	56.0	86.0	31.0
subimage_A2	6086	0.3431952662721893	0.39085395736339135	0.19374205187353977	0.3515151515151515	0.43613707165109034	0.21246458923512748	0.3589567966280295	0.45040533720270015	0.2635567715458277	120.0	149.0	72.0	46.0	74.0	28.0
