subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	5222	0.33884297520661155	0.38563829787234044	0.21201413427561838	0.34539473684210525	0.4260355029585799	0.228486646884273	0.3536567691763874	0.43986254295532645	0.2682926829268293	113.0	138.0	75.0	38.0	63.0	26.0
subimage_G1	13256	0.34411764705882353	0.3441358024691358	0.18571428571428572	0.3560830860534125	0.4353312302839117	0.20984455958549222	0.3684210526315789	0.45536401098901097	0.2962382445141066	129.0	157.0	74.0	49.0	75.0	28.0
subimage_F1	8881	0.3446327683615819	0.38154613466334164	0.17670682730923695	0.3521505376344086	0.4262734584450402	0.22252747252747251	0.36577181208053694	0.4623287671232877	0.2676056338028169	124.0	150.0	79.0	45.0	72.0	26.0
subimage_E1	4275	0.34316353887399464	0.38028169014084506	0.2112969483568075	0.3519061583577713	0.42441860465116277	0.22388059701492538	0.3660069955817378	0.43597560975609756	0.2653996118008003	122.0	146.0	77.0	44.0	69.0	25.0
subimage_D1	6530	0.3403055403610221	0.389538106869391	0.19405194422623723	0.35054347826086957	0.42777777777777776	0.22093023255813954	0.358695652173913	0.45299382643874375	0.2656841378809342	125.0	152.0	78.0	45.0	72.0	27.0
subimage_C1	7688	0.3425925925925926	0.3912422360248447	0.2	0.34983498349834985	0.43142857142857144	0.21839080459770116	0.35755813953488375	0.45018450184501846	0.26199333428662563	118.0	146.0	74.0	44.0	71.0	27.0
subimage_B1	13132	0.3445121951219512	0.39229984301412874	0.193717277486911	0.35561497326203206	0.43440233236151604	0.21065989847715735	0.36398785665508726	0.44660194174757284	0.25925925925925924	132.0	160.0	77.0	52.0	79.0	29.0
subimage_A1	6477	0.33956473075488125	0.3901064879393053	0.19847091961494415	0.3498542274052478	0.42857142857142855	0.22126436781609196	0.3562372773536896	0.44934709990889765	0.2647754137115839	119.0	146.0	76.0	43.0	70.0	27.0
subimage_H2	12217	0.337612386589387	0.39049094304942045	0.20556422479211647	0.3448275862068966	0.43243243243243246	0.2229299363057325	0.3566103124541587	0.44485294117647056	0.2634329061098512	109.0	136.0	70.0	37.0	64.0	27.0
subimage_G2	9314	0.33980582524271846	0.39303482587064675	0.16917293233082706	0.34959349593495936	0.4353312302839117	0.21498371335504887	0.35836867959517843	0.4769874476987448	0.2616822429906542	112.0	140.0	69.0	43.0	71.0	28.0
subimage_F2	7510	0.344311377245509	0.3873622990078686	0.1736714392964393	0.35340314136125656	0.43009334127727183	0.21646341463414634	0.3710691823899371	0.4632352941176471	0.26303317535545023	123.0	147.0	75.0	48.0	75.0	27.0
subimage_E2	5772	0.3458646616541353	0.3561320754716981	0.19230769230769232	0.35755001948811227	0.4119360583446404	0.23160762942779292	0.38913513513513515	0.430635838150289	0.2816399286987522	130.0	149.0	82.0	45.0	64.0	19.0
subimage_D2	12436	0.3449367088607595	0.3871468643558405	0.17140631953716065	0.3545706371191136	0.43169398907103823	0.21246458923512748	0.3712737127371274	0.4659498207885305	0.26136363636363635	128.0	154.0	76.0	49.0	77.0	27.0
subimage_C2	8747	0.34986945169712796	0.3928794178794179	0.19128329297820823	0.3620689655172414	0.4282511210762332	0.20919540229885059	0.3706140350877193	0.4434782608695652	0.254188207349448	149.0	175.0	85.0	61.0	87.0	27.0
subimage_B2	10519	0.34626865671641793	0.396463152232383	0.17142857142857143	0.3592814371257485	0.43312101910828027	0.2063953488372093	0.37209302325581395	0.4671814671814672	0.25193002370380263	123.0	149.0	71.0	50.0	76.0	25.0
subimage_A2	10428	0.3394495412844037	0.3954802259887006	0.1917473478216088	0.34806629834254144	0.42335560606319533	0.22916666666666666	0.35947712418300654	0.45714285714285713	0.2561307901907357	119.0	144.0	78.0	41.0	67.0	26.0
subimage_H3	3517	0.34208043694141016	0.35395866385586683	0.20776731255964484	0.3586206896551724	0.4133738601823708	0.23076923076923078	0.37965790217698614	0.43425076452599387	0.28246722452538664	121.0	142.0	78.0	44.0	62.0	19.0
subimage_G3	4690	0.34728587339553396	0.34775374376039936	0.21052631578947367	0.36389286851321234	0.3810682622280763	0.24444444444444444	0.38765406127802804	0.4318181818181818	0.2909425357251444	154.0	161.0	105.0	50.0	59.0	4.0
subimage_F3	4457	0.3567734914553232	0.3504587155963303	0.20698924731182797	0.37364620938628157	0.3822314049586777	0.24380165289256198	0.3861873483035457	0.4146341463414634	0.28918771889597744	176.0	179.0	116.0	61.0	66.0	4.0
subimage_E3	4386	0.3425692695214106	0.36819815850637244	0.21448669815510074	0.35276967930029157	0.41786743515850144	0.227846344210543	0.379926474333939	0.431735410647243	0.27097140021972566	126.0	149.0	80.0	44.0	67.0	24.0
subimage_D3	19475	0.34239652715644364	0.39953271028037385	0.1871345029239766	0.353099730458221	0.444141689373297	0.20253164556962025	0.36314363143631434	0.456973293768546	0.252185455944594	129.0	160.0	73.0	53.0	85.0	32.0
subimage_C3	11270	0.3456058789111154	0.3828870112475	0.17715830115830117	0.3582089552238806	0.42896174863387976	0.21052631578947367	0.37110481586402266	0.45923911827235087	0.2653061224489796	132.0	158.0	78.0	52.0	80.0	26.0
subimage_B3	14788	0.3433874709976798	0.384	0.1651376146788991	0.3520614208851458	0.4375	0.2096317280453258	0.3663003663003663	0.47480956411341513	0.2653061224489796	117.0	145.0	69.0	45.0	73.0	28.0
subimage_A3	6860	0.3415977961432507	0.3882053514964907	0.2024503359626059	0.34962406015037595	0.4277456647398844	0.2222222222222222	0.35714285714285715	0.44673539518900346	0.2674698795180723	121.0	148.0	77.0	43.0	71.0	27.0
subimage_H4	4428	0.34739736070381233	0.3502459115321948	0.2079207920792079	0.36235955056179775	0.3968870286129579	0.23835616438356164	0.38369304556354916	0.43661971830985913	0.28435114503816794	132.0	145.0	86.0	46.0	55.0	13.0
subimage_G4	5583	0.3494318181818182	0.3700440528634361	0.1987179487179487	0.3576158940397351	0.4265536723163842	0.21714285714285714	0.37445887445887444	0.43944636678200694	0.26215439561567355	127.0	152.0	77.0	49.0	74.0	24.0
subimage_F4	5102	0.34870317002881845	0.3568181818181818	0.1903409090909091	0.3628571428571429	0.4101876675603217	0.22884819655474992	0.39047292889758645	0.43714285714285717	0.28305844893123366	135.0	153.0	84.0	49.0	67.0	17.0
subimage_E4	5510	0.3469387755102041	0.3648301142495627	0.1736421048578085	0.3577981651376147	0.42317380352644834	0.22459893048128343	0.37766751842020396	0.4605678233438486	0.2727272727272727	135.0	160.0	86.0	51.0	75.0	25.0
subimage_D4	9991	0.34549878345498786	0.38894761569180175	0.15984368334450605	0.3536231884057971	0.44135802469135804	0.2032258064516129	0.36977491961414793	0.47653429602888087	0.2619647355163728	122.0	152.0	70.0	50.0	80.0	29.0
subimage_C4	12210	0.34739454094292804	0.396805373525557	0.1908705541770058	0.35731414868105515	0.43535620052770446	0.20610687022900764	0.3665768194070081	0.45066666666666666	0.2534919192574803	140.0	171.0	81.0	59.0	90.0	31.0
subimage_B4	8717	0.3407202216066482	0.39120257176491896	0.17180076214156376	0.35119047619047616	0.4318840579710145	0.21597633136094674	0.36825586921395304	0.4721189591078067	0.26424870466321243	119.0	146.0	73.0	44.0	72.0	27.0
subimage_A4	5901	0.3402985074626866	0.39069767441860465	0.2026578073089701	0.347953216374269	0.4289940828402367	0.22282608695652173	0.3536231884057971	0.44814814814814813	0.2661064425770308	119.0	147.0	77.0	42.0	70.0	28.0
subimage_H5	4878	0.3482142857142857	0.3542641682527077	0.211340206185567	0.36530139720558885	0.3910752807124288	0.24742268041237114	0.391644908616188	0.4065573770491803	0.2802322677322677	130.0	135.0	86.0	38.0	48.0	7.0
subimage_G5	3348	0.35060975609756095	0.34678620452985587	0.24115755627009647	0.36694677871148457	0.36972243442831676	0.2626865671641791	0.38276367366377256	0.39760070418061866	0.2932040714972411	123.0	126.0	89.0	36.0	36.0	1.0
subimage_F5	6213	0.3516483516483517	0.36244217110835997	0.19648093841642228	0.36363636363636365	0.3983286908077994	0.23723723723723725	0.3888888888888889	0.4269340974212034	0.27345982328338364	135.0	149.0	87.0	47.0	58.0	14.0
subimage_E5	6398	0.34584450402144773	0.371007371007371	0.17552524743673326	0.359375	0.4243243243243243	0.22043010752688172	0.38096971798428103	0.450261780104712	0.2712215320910973	139.0	162.0	82.0	51.0	75.0	25.0
subimage_D5	6857	0.34349030470914127	0.3873058435269218	0.19602083962549077	0.35511363636363635	0.43304843304843305	0.21148825065274152	0.362116991643454	0.4467455621301775	0.2665048207777829	128.0	155.0	75.0	50.0	78.0	27.0
subimage_C5	8386	0.3459060614654772	0.3883089770354906	0.17651697903136018	0.3592814371257485	0.42857142857142855	0.2121951219512195	0.3715812926699644	0.4620632752930465	0.2603305785123967	132.0	158.0	79.0	52.0	79.0	25.0
subimage_B5	7584	0.3406913665743306	0.386046511627907	0.19601328903654486	0.3527777777777778	0.4309859154929577	0.21621621621621623	0.3592233009708738	0.4489795918367347	0.27058441558441554	126.0	154.0	77.0	48.0	76.0	28.0
subimage_A5	12148	0.34085778781038373	0.3875338753387534	0.16026422764227644	0.3516819571865443	0.4364523831819459	0.2123076923076923	0.36741214057507987	0.4758364312267658	0.2665028998854981	114.0	142.0	67.0	43.0	70.0	27.0
subimage_H6	8031	0.34036144578313254	0.3790773673810609	0.20249221183800623	0.3501577287066246	0.42485549132947975	0.22443181818181818	0.3652173913043478	0.4444444444444444	0.2740641986493164	123.0	149.0	77.0	43.0	69.0	26.0
subimage_G6	4204	0.34475374732334046	0.3618029804495047	0.20377074057065273	0.3540456605673997	0.4265927977839335	0.22158262655711636	0.37960166502861764	0.44126984126984126	0.27291181506154605	123.0	148.0	77.0	46.0	71.0	25.0
subimage_F6	5988	0.34534534534534533	0.3824820788530466	0.19931677811832452	0.3557422969187675	0.42735042735042733	0.2178065966105813	0.37791961577350863	0.44025157232704404	0.2597596656217346	123.0	148.0	75.0	47.0	72.0	25.0
subimage_E6	6498	0.3475	0.3562753036437247	0.1985619866306753	0.3640303918253879	0.40992167101827676	0.22811365497683628	0.3888888888888889	0.4260869565217391	0.283236050309221	149.0	162.0	88.0	51.0	68.0	18.0
subimage_D6	8060	0.3412698412698413	0.3855721393034826	0.1909722222222222	0.3522727272727273	0.4318181818181818	0.21597633136094674	0.36065573770491804	0.45132743362831856	0.2703296703296703	124.0	152.0	76.0	47.0	74.5	27.0
subimage_C6	12824	0.34299516908212563	0.39048685145700074	0.186191931727646	0.3568075117370892	0.4296875	0.2123180909028209	0.3685626379459671	0.4570552147239264	0.26004728132387706	134.0	161.0	80.0	54.0	81.0	27.0
subimage_B6	7764	0.34005037783375314	0.38313253012048193	0.1937532439446367	0.3505747126436782	0.4281609195402299	0.2210242587601078	0.35733961218836563	0.4527027027027027	0.27377065165213216	125.0	152.0	79.0	45.0	73.0	27.0
subimage_A6	11781	0.3466666666666667	0.38133333333333336	0.17478510028653296	0.3580645161290323	0.4314868804664723	0.20977011494252873	0.37185929648241206	0.4582043343653251	0.2686868686868687	128.0	154.0	76.0	52.0	79.0	26.0
subimage_H7	4349	0.34105960264900664	0.38379851143009036	0.20606060606060606	0.347682119205298	0.4264264264264264	0.2261904761904762	0.3581081081081081	0.4403851995868522	0.2701731601731601	117.0	144.0	76.0	41.0	67.0	26.0
subimage_G7	9982	0.3442622950819672	0.3703745791245791	0.1691187379996509	0.36	0.4353932584269663	0.20612813370473537	0.3782051282051282	0.46048109965635736	0.2710234335435752	127.0	154.0	73.0	52.0	79.0	27.0
subimage_F7	8911	0.34349030470914127	0.39254629629629634	0.17216117216117216	0.35174418604651164	0.42946708463949845	0.22039473684210525	0.36363636363636365	0.46916083916083917	0.25503241584903474	119.0	145.0	75.0	44.0	70.0	27.0
subimage_E7	9018	0.3413173652694611	0.37089201877934275	0.18844324038588608	0.35	0.42857142857142855	0.2210242587601078	0.3641182459561776	0.45454545454545453	0.2733485193621868	129.0	157.0	82.0	46.0	76.0	29.0
subimage_D7	9998	0.34594594594594597	0.37889688249400477	0.1754708867291649	0.35537190082644626	0.4240597004098509	0.22070844686648503	0.37341772151898733	0.45751633986928103	0.2681393606393606	131.0	156.0	81.0	48.0	73.0	24.0
subimage_C7	5371	0.34718100890207715	0.38275924122454164	0.17358142613958766	0.35731414868105515	0.4261501210653753	0.21666666666666667	0.3757396449704142	0.4562216767371601	0.26593406593406593	139.0	163.0	84.0	53.0	79.0	26.0
subimage_B7	5488	0.3423913043478261	0.3807374580932688	0.20634920634920634	0.3508771929824561	0.4245810055865922	0.22404371584699453	0.36024844720496896	0.44039735099337746	0.2719947357993943	123.0	149.0	78.0	43.0	69.0	26.0
subimage_A7	13465	0.3423180592991914	0.3940328810537783	0.1893491124260355	0.3525835866261398	0.44077134986225897	0.20588235294117646	0.36473448954049703	0.45348837209302323	0.25775164234923603	121.0	151.0	70.0	49.0	78.0	30.0
subimage_H8	5495	0.3362243878060969	0.38765432098765434	0.21739130434782608	0.3442622950819672	0.4222222222222222	0.23391812865497075	0.3548387096774194	0.4349315068493151	0.26882530934241095	112.0	138.0	76.0	36.0	61.0	26.0
subimage_G8	6885	0.34210526315789475	0.39340933677290507	0.20634920634920634	0.3492537313432836	0.4269340974212034	0.22318840579710145	0.3575911008822401	0.4429338446788111	0.2588777161509841	119.0	145.0	76.0	42.0	69.0	26.0
subimage_F8	5822	0.3452776033069923	0.3893008375444507	0.1966693989071038	0.35384615384615387	0.4297752808988764	0.21584699453551912	0.3612893902666418	0.44666666666666666	0.26018099547511314	126.0	153.0	77.0	48.0	75.0	27.0
subimage_E8	6392	0.3427176014312645	0.3937615189345203	0.19540229885057472	0.35376044568245124	0.43465045592705165	0.21094820205479453	0.3618154876948847	0.4479166666666667	0.2596800908371182	122.0	150.0	73.0	48.0	76.0	27.0
subimage_D8	18048	0.34492753623188405	0.39218351418237196	0.18733743027954977	0.3546511627906977	0.43937351956219883	0.20604395604395603	0.3657101534828807	0.45535714285714285	0.25849331257926894	134.0	166.0	78.0	55.0	87.0	32.0
subimage_C8	9901	0.3452054794520548	0.3819951338199513	0.17704918032786884	0.35555555555555557	0.422680412371134	0.2222222222222222	0.375366568914956	0.4507936507936508	0.2660098522167488	133.0	158.0	84.0	50.0	76.0	24.0
subimage_B8	17844	0.3448275862068966	0.39293598233995586	0.1897018970189702	0.3543956043956044	0.4343163538873995	0.20870562425209413	0.36807478284473394	0.45288753799392095	0.25799500540351084	132.0	162.0	77.0	53.0	82.0	29.0
subimage_A8	5990	0.34419153538716396	0.3451306853849227	0.1971326164874552	0.35359116022099446	0.4329268292682927	0.21341463414634146	0.36023054755043227	0.4486301369863014	0.28547340893258877	118.0	145.0	72.0	46.0	73.0	27.0
subimage_H9	4970	0.3354632587859425	0.3888888888888889	0.2101559813313682	0.3447204968944099	0.4263803680981595	0.2292358803986711	0.3531208271513353	0.4417808219178082	0.2694652240945019	112.0	138.0	74.0	37.0	63.0	26.0
subimage_G9	7650	0.34025974025974026	0.37969094922737306	0.17360674634471882	0.3548387096774194	0.42485549132947975	0.22160626535626538	0.37354800540906014	0.45710341805433824	0.27159083787679383	122.0	147.0	75.0	44.0	68.0	24.0
subimage_F9	6735	0.3427835051546392	0.39466059479184273	0.20416743273886132	0.3502994011976048	0.4307228915662651	0.21835443037974683	0.35865581607102204	0.4444444444444444	0.25707706844990846	120.0	148.0	75.0	45.0	72.0	27.0
subimage_E9	5522	0.34413965087281795	0.387100342563517	0.20376175548589343	0.35175879396984927	0.4262295081967213	0.22192513368983957	0.3582550502617465	0.44108761329305135	0.2662184625901069	129.0	156.0	81.0	47.0	74.0	27.0
subimage_D9	7691	0.34387768716332284	0.3979192878498857	0.1864951768488746	0.35391923990498814	0.42782152230971127	0.2191780821917808	0.3646260720157599	0.4507042253521127	0.25028473804100226	128.0	154.0	79.0	48.0	74.0	26.0
subimage_C9	6081	0.34408602150537637	0.37916666666666665	0.17197452229299362	0.36363636363636365	0.4236842105263158	0.21674876847290642	0.382262996941896	0.4491803278688525	0.26785714285714285	135.0	158.0	81.0	54.0	77.0	21.0
subimage_B9	7351	0.346031746031746	0.3498760323793574	0.19934097670075784	0.35359116022099446	0.4314868804664723	0.21470588235294116	0.3640961698318307	0.44554455445544555	0.2715892711662593	121.0	148.0	74.0	47.0	73.0	27.0
subimage_A9	16163	0.34366986734750515	0.3941828401739315	0.18950437317784258	0.3539325842696629	0.43989071038251365	0.2050561797752809	0.3638814016172507	0.4535272758710124	0.2589676594189658	127.0	157.0	73.0	52.0	83.0	30.0
subimage_H10	17598	0.3389261744966443	0.3694245035593855	0.1921921921921922	0.3501577287066246	0.4353312302839117	0.21529745042492918	0.36585365853658536	0.4523809523809524	0.2747558201766122	119.0	147.0	71.0	44.0	72.0	29.0
subimage_G10	5798	0.3409090909090909	0.39080041290034595	0.2062937062937063	0.35014005602240894	0.4281609195402299	0.22157434402332363	0.35668789808917195	0.44244604316546765	0.26291524051639653	118.0	144.0	75.0	43.0	69.0	26.0
subimage_F10	13797	0.3425	0.3957345971563981	0.18862275449101795	0.3505747126436782	0.44036697247706424	0.207492795389049	0.3643835616438356	0.4567901234567901	0.2579097444705002	123.0	154.0	72.0	49.0	80.0	30.0
