subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	6384	0.3333333333333333	0.3850019379844961	0.21428571428571427	0.34202898550724636	0.42045454545454547	0.23736524809375353	0.35294117647058826	0.4412654385597655	0.2734584450402145	113.0	137.0	79.0	34.0	59.0	26.0
subimage_G1	2929	0.3333333333333333	0.3828361146095718	0.19934640522875818	0.3469387755102041	0.40923076923076923	0.2422360248447205	0.36866494771522706	0.44331046312178385	0.2740963855421687	119.0	140.0	82.0	36.0	56.0	22.0
subimage_F1	12476	0.3422459893048128	0.3716464374409738	0.19420289855072465	0.3535031847133758	0.43333333333333335	0.21409921671018275	0.36769723364430884	0.4489795918367347	0.2677305295368885	126.0	154.0	74.0	48.0	74.0	28.0
subimage_E1	11779	0.33753943217665616	0.37475305640867534	0.17869415807560138	0.34946236559139787	0.43288590604026844	0.21864951768488747	0.371007371007371	0.4642857142857143	0.2733333333333333	112.0	140.0	68.0	41.0	65.0	26.0
subimage_D1	7822	0.3384146341463415	0.379904531742767	0.19642857142857142	0.3619175284054641	0.41603038604262593	0.2247557003257329	0.38609112709832133	0.43041073991909173	0.2689284068718871	131.0	144.0	80.0	46.0	65.0	18.0
subimage_C1	4381	0.33687002652519893	0.3543956043956044	0.22613065326633167	0.3468013468013468	0.412751677852349	0.2408026755852843	0.3595166163141994	0.42745098039215684	0.2810810810810811	104.0	124.0	72.0	31.0	51.0	20.0
subimage_B1	4460	0.3440500407788288	0.375	0.20722461273666096	0.3542319749216301	0.40540540540540543	0.2392638036809816	0.3816793893129771	0.422680412371134	0.26566666666666666	118.0	135.0	81.0	38.0	55.0	17.0
subimage_A1	6084	0.33806969831769657	0.3715786547145649	0.20114942528735633	0.3563218390804598	0.41369455316373127	0.23605309145377384	0.3792958155753583	0.43425076452599387	0.2762111801242236	122.0	140.0	77.0	39.0	56.0	21.0
subimage_H2	14770	0.34226190476190477	0.3910024495447042	0.18840579710144928	0.3519061583577713	0.4425287356321839	0.20441988950276244	0.36033519553072624	0.45743676686217	0.25984251968503935	121.0	153.0	70.0	50.0	81.0	31.0
subimage_G2	29651	0.34201954397394135	0.3964079168682749	0.18153846153846154	0.35396039603960394	0.4477211796246649	0.19745222929936307	0.36257309941520466	0.46206896551724136	0.2566715438101281	122.0	154.0	69.0	53.0	86.0	32.0
