subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9534	0.33922006789107784	0.38303341902313626	0.16964285714285715	0.3488372093023256	0.4329896907216495	0.21794871794871795	0.36146002930641485	0.4759886462882096	0.27114427860696516	108.0	133.0	67.0	40.0	66.0	26.0
subimage_G1	5712	0.3402493660185968	0.39477443609022556	0.19931271477663232	0.3484848484848485	0.43425076452599387	0.21766561514195584	0.3556231003039514	0.4482758620689655	0.2607060300698625	113.0	141.0	71.0	42.0	70.0	28.0
subimage_F1	10215	0.3447204968944099	0.3858779059853351	0.1840272341664998	0.35428571428571426	0.43714285714285717	0.2063953488372093	0.36854453839916596	0.4570552147239264	0.26531954887218046	127.0	156.0	73.0	52.0	81.0	29.0
subimage_E1	9561	0.34104046242774566	0.391304347826087	0.18208955223880596	0.3502824858757062	0.43823529411764706	0.2099125364431487	0.36610169491525424	0.45962732919254656	0.26150121065375304	121.0	150.0	71.0	47.0	77.0	29.0
subimage_D1	3859	0.34615384615384615	0.3600912455969273	0.19601328903654486	0.3559870550161812	0.4259818731117825	0.21965317919075145	0.3801035326411266	0.4456771204561653	0.26903674160019336	118.0	142.0	73.0	45.0	68.0	23.0
subimage_C1	4373	0.3487654320987654	0.359375	0.19781324722568516	0.35978835978835977	0.42165242165242167	0.22157434402332363	0.38217065018603774	0.43928910678719163	0.27014631023552127	124.0	145.0	76.0	48.0	68.0	21.0
subimage_B1	3723	0.3558682719928014	0.34586939045727527	0.19170984455958548	0.3720073664825046	0.3849462365591398	0.24329896907216494	0.3902439024390244	0.42317022600041465	0.2929472814209166	168.0	175.0	111.0	60.0	65.0	7.0
subimage_A1	11633	0.34534534534534533	0.39136660786551836	0.18791946308724833	0.3558282208588957	0.4368932038834951	0.2063953488372093	0.3682539682539683	0.4523809523809524	0.25814808761033015	122.0	150.0	70.0	50.0	77.0	27.0
subimage_H2	6549	0.3393347074581008	0.38995215311004783	0.20303030303030303	0.34916201117318435	0.4318840579710145	0.21902017291066284	0.35656836461126007	0.4451532005258368	0.2651617296561117	116.0	144.0	73.0	43.0	70.0	27.0
subimage_G2	6618	0.34534534534534533	0.3914081145584726	0.19265035677879716	0.3522388059701492	0.4332344213649852	0.2144927536231884	0.3609271523178808	0.4511784511784512	0.2601628142674992	120.5	148.0	73.0	46.0	74.0	27.0
subimage_F2	11175	0.34540389972144847	0.38848379942662414	0.16226415094339622	0.3523035230352303	0.4297752808988764	0.21823204419889503	0.36760637061148566	0.4732824427480916	0.26139088729016785	125.0	152.0	77.0	47.0	74.0	27.0
subimage_E2	16509	0.3462385186273789	0.38913043478260867	0.17464788732394365	0.35768261964735515	0.43922651933701656	0.20199501246882792	0.3691460055096419	0.46130952380952384	0.26328080599328335	135.0	166.0	76.0	59.0	89.0	30.0
