subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G1	1807	0.34097421203438394	0.3814978656938367	0.19863013698630136	0.3525423728813559	0.4247787610619469	0.22327044025157233	0.36459920553469444	0.44483985765124556	0.2654639175257732	117.0	140.0	75.0	43.0	67.0	24.0
subimage_F1	1234	0.34730282679993757	0.38217621763475507	0.19161676646706588	0.36363636363636365	0.4171513102282333	0.21666666666666667	0.388275271273558	0.439217166086345	0.2670954064118229	128.0	148.0	75.0	52.0	70.0	19.0
subimage_E1	2268	0.3397653721682848	0.38648421307636405	0.21545302976171143	0.35	0.41420118343195267	0.2344213649851632	0.3618828320802005	0.43161745937207524	0.2620463749417625	114.0	137.0	77.0	38.0	59.0	21.0
subimage_D1	2639	0.33647058823529413	0.39185750636132316	0.20212037306907607	0.34441087613293053	0.4307692307692308	0.22560975609756098	0.35424354243542433	0.4494936455017171	0.26455763363841356	108.0	135.0	71.0	37.0	65.0	27.0
subimage_C1	2251	0.33746130030959753	0.3703203203203203	0.22440944881889763	0.3485342019543974	0.40293040293040294	0.2483221476510067	0.37404491105278503	0.41696765024187343	0.27304359402609346	98.0	113.0	70.0	28.0	43.0	15.0
subimage_B1	1914	0.3389261744966443	0.375	0.1939981908638625	0.3558282208588957	0.40705128205128205	0.24233128834355827	0.37536110714315724	0.43373493975903615	0.27603346953188057	121.0	135.0	79.0	37.0	53.0	18.0
subimage_A1	1755	0.33116883116883117	0.387504079229274	0.22866111467008327	0.3400673400673401	0.4080267558528428	0.25170068027210885	0.3567388523391813	0.42358988355167393	0.2724358974358974	97.0	116.0	72.0	25.0	45.0	19.0
subimage_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G2	1885	0.3465346534653465	0.38022388359984227	0.18278070918289796	0.3577981651376147	0.4074074074074074	0.23380281690140844	0.3724832214765101	0.4555160142348754	0.26666666666666666	111.0	129.0	74.0	39.0	56.0	16.0
subimage_F2	1996	0.3425867618247971	0.3870217031290857	0.19218241042345277	0.35331230283911674	0.436046511627907	0.21082621082621084	0.3619768436766125	0.44987864077669903	0.2668622737556561	122.0	151.0	73.0	48.0	77.0	28.0
subimage_E2	1881	0.35492957746478876	0.3577586206896552	0.20794392523364486	0.37142857142857144	0.39775910364145656	0.23224043715846995	0.3902439024390244	0.4199395770392749	0.2727272727272727	154.0	163.0	93.0	56.0	62.0	11.0
subimage_D2	1508	0.3382661148291652	0.3920368421052632	0.19448227410289667	0.34472934472934474	0.42901234567901236	0.2266074989515846	0.35329051987767585	0.4578313253012048	0.265039156626506	111.0	137.0	74.0	38.0	65.0	27.0
subimage_C2	2704	0.35815252089459837	0.3514896489648965	0.2262648381626484	0.3716216216216216	0.3817349137931034	0.23732718894009217	0.3946830265848671	0.4019370460048426	0.2815501180792443	162.0	169.0	108.0	57.0	66.0	4.0
subimage_B2	4058	0.34615384615384615	0.3875329699844883	0.18366343258614923	0.35735735735735735	0.42441860465116277	0.21557663892993234	0.37908789386401326	0.4489795918367347	0.2604515516280222	124.0	147.0	75.0	49.0	71.0	23.0
subimage_A2	2482	0.33576777008645997	0.3677456433073786	0.226621103117506	0.34843205574912894	0.39666666666666667	0.25493442410076617	0.37543859649122807	0.41785714285714287	0.2774380409126672	101.0	116.0	73.0	28.0	40.0	15.0
subimage_H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G3	1521	0.3448275862068966	0.3792134831460674	0.1939799331103679	0.3542319749216301	0.4326923076923077	0.21364985163204747	0.36904761904761907	0.446875	0.2682291666666667	119.0	145.0	72.0	47.0	74.0	27.0
subimage_F3	2730	0.35782072256305386	0.35424138766119756	0.2130929226372405	0.37393767705382436	0.38950276243093923	0.23595505617977527	0.391876418403136	0.4033333333333333	0.2837554996857322	136.0	140.0	86.0	49.0	54.0	5.0
subimage_E3	2010	0.33636363636363636	0.389722850678733	0.19928116457785341	0.346031746031746	0.42857142857142855	0.22647058823529412	0.3588850174216028	0.4480943847072879	0.2645758733298196	109.0	134.0	72.0	38.0	64.0	26.0
subimage_D3	2827	0.3425076452599388	0.38313253012048193	0.1717171717171717	0.3565217391304348	0.4323607427055703	0.2129032258064516	0.3724899521163054	0.4611899170939761	0.2695214105793451	116.0	141.0	69.0	46.0	71.0	24.0
subimage_C3	2165	0.3394495412844037	0.3932263458706666	0.19678443420378905	0.3490566037735849	0.4307692307692308	0.22028985507246376	0.3592177212364691	0.44594594594594594	0.25909454881429006	113.0	139.0	71.0	41.0	68.0	26.0
subimage_B3	5305	0.34615384615384615	0.39778287973014137	0.18273112613128653	0.35335689045936397	0.42948717948717946	0.21666666666666667	0.3640552995391705	0.4583333333333333	0.24936768695809833	115.0	139.0	71.0	44.0	69.0	25.0
subimage_A3	2507	0.3375796178343949	0.38946389405591497	0.20962199312714777	0.34394904458598724	0.42857142857142855	0.22784810126582278	0.35294117647058826	0.44333333333333336	0.2664976221822188	110.0	137.0	73.0	37.0	64.0	27.0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	1629	0.3409090909090909	0.3880597014925373	0.19507005708354958	0.3476923076923077	0.43137254901960786	0.22186495176848875	0.3585908852802514	0.4522058823529412	0.2606884057971014	111.0	137.0	71.0	41.0	67.0	27.0
subimage_F4	1916	0.3546325878594249	0.35	0.2202571791027563	0.36627906976744184	0.3700564971751412	0.26027159823958523	0.3885542168674699	0.4058616115067728	0.2828975741239892	125.0	126.0	88.0	36.0	37.0	1.0
subimage_E4	1413	0.34440162772057464	0.3685636856368564	0.19101928127314763	0.3549382716049383	0.4264705882352941	0.2208955223880597	0.38695054945054946	0.4448095382877992	0.2625407308115648	121.0	145.0	75.0	46.0	70.0	24.0
subimage_D4	2863	0.3434586540919808	0.375	0.1794871794871795	0.36227544910179643	0.4166666666666667	0.2222222222222222	0.3880977548518033	0.4420584882194431	0.2700726450605949	124.0	142.0	75.0	47.0	65.0	18.0
subimage_C4	2839	0.3412393087798918	0.38570787956438185	0.17729598707244817	0.35412026726057905	0.43452380952380953	0.2123076923076923	0.37758735930272974	0.4520123839009288	0.26438115049203936	118.0	144.0	70.0	46.0	72.0	26.0
subimage_B4	2693	0.34946236559139787	0.38201725698208894	0.18604651162790697	0.35942028985507246	0.42735042735042733	0.21010638297872342	0.3844181948704562	0.44126074498567336	0.2646438353162865	143.0	166.0	80.0	56.0	83.0	21.0
subimage_A4	1850	0.3414309336797969	0.38872873061932317	0.1950354609929078	0.34796238244514105	0.4299363057324841	0.22290089149166326	0.36210046969870546	0.44845710029439234	0.2627832257624653	111.0	137.0	71.0	40.0	66.0	26.0
subimage_H5	3700	0.33986746044750304	0.3806146572104019	0.16928541827008467	0.34900159479035153	0.4383116883116883	0.21405750798722045	0.375	0.46816925271981447	0.2678132678132678	109.0	137.0	66.0	41.0	69.0	28.0
subimage_G5	1577	0.35698346415542376	0.36760338533413156	0.21800834824090637	0.37037037037037035	0.38917525773195877	0.2398921832884097	0.38394285714285714	0.4092140921409214	0.2694249284413218	141.0	149.0	91.0	50.0	56.0	8.0
subimage_F5	1944	0.34280069556130655	0.3879621611445783	0.20504731861198738	0.35	0.42900302114803623	0.22154767388300323	0.36146154415209725	0.43962848297213625	0.26306968538665093	115.0	141.0	73.0	42.0	68.0	26.0
subimage_E5	2205	0.3455102446787348	0.3724512829962685	0.18548387096774194	0.36363636363636365	0.42048517520215634	0.21621621621621623	0.3857344948254039	0.44537815126050423	0.2713279233841293	135.0	154.0	78.0	53.0	73.0	21.0
subimage_D5	3950	0.34048257372654156	0.3883248730964467	0.1750841750841751	0.3506172839506173	0.4375	0.21323484868153456	0.37037037037037035	0.4633333333333333	0.2646343207537051	114.0	143.0	69.0	44.0	72.0	28.0
subimage_C5	2643	0.3463926572431458	0.36479149418275303	0.17275747508305647	0.36585365853658536	0.421195652173913	0.21897810218978103	0.3927270915010964	0.452050553458586	0.2716018048505358	123.0	141.0	74.0	49.0	67.0	20.0
subimage_B5	2227	0.34531631078592406	0.38098705501618124	0.17391304347826086	0.3626760563380282	0.4230769230769231	0.21951219512195122	0.3746031746031746	0.4582459207459207	0.2679293236239875	117.0	136.0	71.0	46.0	66.0	20.0
subimage_A5	2054	0.3494962713981339	0.3471690590111643	0.20686718684453392	0.3705802211892931	0.3906293946149888	0.24332838773491594	0.3943890722525408	0.4064516129032258	0.2840909090909091	140.0	142.0	88.0	44.0	51.0	6.0
subimage_H6	2408	0.340625	0.39184966216216216	0.20558631020222085	0.34674922600619196	0.4281150159744409	0.22580645161290322	0.3587908496732026	0.4421768707482993	0.2591920936480522	115.0	141.0	74.0	40.0	67.0	27.0
subimage_G6	1821	0.34797297297297297	0.35580524344569286	0.21862348178137653	0.35793357933579334	0.3917525773195876	0.2516778523489933	0.38305084745762713	0.41233766233766234	0.2807486631016043	106.0	117.0	75.0	31.0	41.0	10.0
subimage_F6	2250	0.34793469536207894	0.38820467506237377	0.17432550700144858	0.3585932208381188	0.43575418994413406	0.2068025747890186	0.3764705882352941	0.4565994352561516	0.2590909090909091	127.0	154.0	73.0	53.0	81.0	27.0
subimage_E6	2443	0.35549265524738827	0.3634020618556701	0.19899369650488116	0.368	0.3974025974025974	0.23459715639810427	0.3933649289099526	0.41713841598815693	0.27176724983054074	137.0	147.0	86.0	47.0	59.0	10.0
subimage_D6	2673	0.34701435880508336	0.3839203612479475	0.17729835887065412	0.3549382716049383	0.43103448275862066	0.21282798833819241	0.38484318402685747	0.44807121661721067	0.26506655617133684	130.0	155.0	77.0	51.0	79.0	26.0
subimage_C6	3207	0.3531491672169638	0.37536606632791125	0.17318435754189945	0.3643835616438356	0.42408376963350786	0.21173469387755103	0.3871866295264624	0.4428969359331476	0.2681708211143695	137.0	159.0	78.0	56.0	78.0	20.0
subimage_B6	3137	0.3415384615384615	0.3821253181806495	0.165625	0.35060975609756095	0.43125	0.2204968944099379	0.3806490595458532	0.4565507246376811	0.26696040476449795	118.0	142.0	71.0	42.0	68.0	25.0
subimage_A6	4338	0.3558517106063118	0.3624960021321961	0.19276698631259734	0.3709677419354839	0.4110576923076923	0.2178973852584306	0.38764044943820225	0.423444976076555	0.27882599580712786	154.0	163.0	88.0	58.0	73.0	16.0
subimage_H7	4811	0.33962264150943394	0.38443666076594274	0.1601423487544484	0.35475578406169667	0.43597560975609756	0.21379310344827587	0.37537999537999533	0.4684527119983608	0.2624113475177305	118.0	145.0	70.0	46.0	73.0	27.0
subimage_G7	3853	0.35560033611353165	0.35194004487919656	0.2064516129032258	0.3785310734463277	0.39215686274509803	0.23229461756373937	0.3973730176970811	0.40540540540540543	0.282795484217802	152.0	150.0	93.0	52.0	57.0	4.0
subimage_F7	2703	0.3484848484848485	0.38409337323271747	0.1833810888252149	0.3628571428571429	0.42349726775956287	0.21329639889196675	0.38372093023255816	0.44108761329305135	0.262316752156316	131.0	152.0	76.0	53.0	75.0	21.0
subimage_E7	2152	0.34831460674157305	0.37440849342770477	0.1796098104793757	0.3674956235197199	0.4239766081871345	0.21367521367521367	0.3876038827205638	0.43902439024390244	0.2702626703550491	133.0	151.0	75.0	54.0	73.0	20.0
subimage_D7	3275	0.3407510983291282	0.3895837647546076	0.1877219354123286	0.35014836795252224	0.436950146627566	0.2123076923076923	0.3562977493289283	0.4618181818181818	0.2649220469268202	120.0	148.0	72.0	46.0	75.0	29.0
