subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4124	0.3409090909090909	0.3887827715355805	0.2053872053872054	0.3492063492063492	0.41883116883116883	0.23170731707317074	0.3659574468085106	0.4380952380952381	0.26296753246753246	109.0	132.0	71.0	37.0	58.0	21.0
subimage_G1	1497	0.35686116382036687	0.34781041911476696	0.20198062535967773	0.375	0.3596938775510204	0.2621359223300971	0.38860360129277177	0.4154551915745946	0.28877667624077336	169.0	168.0	124.0	55.0	47.0	-3.0
subimage_F1	1304	0.35523613963039014	0.34577878559756164	0.2334152334152334	0.364803051690529	0.349452372386777	0.2857142857142857	0.38373406637114205	0.3867924528301887	0.2965201278965981	196.0	189.0	154.0	43.0	34.0	-8.0
subimage_E1	776	0.34881651907638833	0.344538661177734	0.24678401455767077	0.35782747603833864	0.36293436293436293	0.2738250102382501	0.3882062182421895	0.3949545677252684	0.29401133947554925	109.0	110.0	82.0	26.0	27.0	1.0
subimage_D1	2395	0.3432343234323432	0.3847980997624703	0.18592617007251153	0.36227544910179643	0.4233983286908078	0.2153846153846154	0.37381939656428137	0.44599518383278774	0.2649631730276892	128.0	149.0	76.0	51.0	72.0	22.0
subimage_C1	1964	0.3384687052078357	0.3732101595452045	0.1864406779661017	0.3559870550161812	0.4219269102990033	0.22327044025157233	0.3797027757307787	0.4481302270011947	0.2759311971372804	114.0	135.0	70.0	41.0	62.0	20.0
subimage_B1	1604	0.33497051796878974	0.3868257586848765	0.2284804708400214	0.3419354838709677	0.41042345276872966	0.24745762711864408	0.3536484301307101	0.42585551330798477	0.2709322625698324	99.0	119.0	72.0	27.0	47.0	20.0
subimage_A1	2819	0.3391003460207612	0.3578565584946823	0.19564415209369485	0.3504823151125402	0.4065573770491803	0.24509803921568626	0.3745467394796017	0.43873517786561267	0.2806211958467597	102.0	119.0	72.0	31.0	47.0	16.0
subimage_H2	2251	0.33746130030959753	0.3892538133846365	0.21299638989169675	0.34355828220858897	0.4253968253968254	0.23102310231023102	0.35157436970164047	0.4416864538445754	0.26648655331403726	108.0	133.0	73.0	34.0	60.0	26.0
subimage_G2	1900	0.35515678493619673	0.3475404250565532	0.205510372465818	0.3664016991567304	0.38907071189679887	0.23994949494949494	0.38131414141414144	0.4243243243243243	0.28918093356745683	159.0	170.0	100.0	53.0	62.0	9.0
subimage_F2	2768	0.3465045592705167	0.3597430169846253	0.19255392815175423	0.35967302452316074	0.40668523676880225	0.2365154010744578	0.37920489296636084	0.43570408765014434	0.28402474838194625	125.0	142.0	82.0	43.0	59.0	17.0
subimage_E2	1850	0.35566767017042555	0.36285097192224625	0.20407708980141762	0.3661067923363005	0.3897485328238024	0.24349881796690306	0.38349514563106796	0.4162303664921466	0.2778421052631579	151.0	160.0	98.0	49.0	59.0	9.0
subimage_D2	1904	0.3392350005559589	0.38356619992102786	0.1926936254152824	0.351665154417448	0.4166666666666667	0.23126017915309446	0.3739008533116619	0.44235861490534384	0.26886436901488575	121.0	143.0	79.0	40.0	62.0	23.0
subimage_C2	1518	0.3517074527252503	0.3428843630123158	0.21125448342227277	0.3675496688741722	0.37357972816533036	0.2575504205938989	0.3929173354735152	0.42517006802721086	0.28362573099415206	115.0	119.0	81.0	35.0	37.0	2.0
