subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4925	0.33611577964519146	0.39463364293085657	0.19461077844311378	0.3482142857142857	0.434375	0.21794871794871795	0.35847919981814047	0.4507936507936508	0.26313295086056376	115.0	144.0	71.0	42.0	69.0	28.0
subimage_G1	4179	0.3261538461538461	0.38636363636363635	0.21660649819494585	0.3333333333333333	0.41009463722397477	0.25748502994011974	0.3491447728516694	0.44360902255639095	0.27901194911987665	104.0	127.0	81.0	24.0	48.0	24.0
subimage_F1	7192	0.3385093167701863	0.39715400202634243	0.19648093841642228	0.35161290322580646	0.43670886075949367	0.21112740306288694	0.36	0.44868035190615835	0.2590730030485892	123.0	152.0	72.0	47.0	75.0	29.0
subimage_E1	329	0.34444444444444444	0.3439184038274493	0.22962962962962963	0.3644578313253012	0.35864978902953587	0.2748091603053435	0.41688402685170534	0.38337316710806796	0.2960109615155487	112.0	106.0	79.0	29.0	27.0	-1.0
subimage_D1	1096	0.3262678689853364	0.3766385463984426	0.25244330382862834	0.3390120733689343	0.3964230502692041	0.2647058823529412	0.35853664601568713	0.40789473684210525	0.2828118202419371	107.0	126.0	84.0	23.0	42.0	18.0
subimage_C1	5293	0.34064560439560443	0.34271523178807944	0.19645999162128194	0.351288056206089	0.4258064516129032	0.22429906542056074	0.36810527251711567	0.44072948328267475	0.29967103134370215	125.0	151.0	80.0	44.0	72.0	26.0
subimage_B1	3631	0.3304093567251462	0.3587642376047211	0.2312145014094875	0.3468354430379747	0.4017857142857143	0.25449101796407186	0.3762140499764262	0.41693300521785304	0.2765957446808511	120.0	140.0	89.0	34.0	50.0	20.0
subimage_A1	702	0.32786885245901637	0.3618156078901973	0.2534474062002871	0.3333333333333333	0.39425824175824176	0.2701413992131174	0.36432160804020103	0.40713659147869674	0.28823529411764703	103.0	121.0	83.0	19.0	38.0	19.0
subimage_H2	7300	0.3355263157894737	0.39534610123119013	0.20138770383010998	0.345	0.42956536469677165	0.225	0.36075949367088606	0.4483870967741935	0.2595654686843211	112.0	140.0	72.0	39.0	66.0	28.0
subimage_G2	8005	0.3350463973433671	0.38461538461538464	0.18	0.346031746031746	0.4351851851851852	0.21725239616613418	0.35941948398576506	0.46875	0.27025662025662023	109.0	137.0	68.0	41.0	69.0	28.0
subimage_F2	4173	0.3333333333333333	0.3586816910954842	0.23295264809991317	0.3413173652694611	0.4106583072100313	0.2484472049689441	0.360041450777202	0.4244604316546763	0.28143681369812024	111.0	134.0	81.0	30.0	52.0	23.0
subimage_E2	6162	0.33879781420765026	0.3818657186422699	0.19938650306748465	0.34951456310679613	0.4375	0.21428571428571427	0.3582554517133956	0.4482758620689655	0.2757847533632287	115.0	144.0	71.0	44.0	73.0	29.0
subimage_D2	2030	0.3288135593220339	0.37126928273843035	0.23174603174603176	0.3476923076923077	0.4036697247706422	0.25073746312684364	0.36250631023850755	0.4176829268292683	0.27875584266690184	116.0	136.0	83.0	34.0	51.0	20.0
subimage_C2	1845	0.33740881458966565	0.35657679360079064	0.2440262910798122	0.3462897526501767	0.396875	0.25722543352601157	0.3653367379508458	0.40716612377850164	0.28376055138232786	108.0	124.0	81.0	28.0	44.0	16.0
subimage_B2	451	0.3311680094486861	0.35508432945799906	0.2545361909144698	0.34810126582278483	0.37943262411347517	0.27531645569620256	0.3695090439276486	0.38640215716486903	0.291107840577302	101.0	113.0	81.0	22.0	31.0	9.0
subimage_A2	6536	0.33938708350473057	0.3865418463617481	0.19416047972587092	0.3487105593733836	0.4369624682717662	0.21367521367521367	0.36046511627906974	0.45482162294035955	0.26701927329272296	117.0	147.0	70.0	45.0	74.0	30.0
subimage_H3	6443	0.3436619718309859	0.3903934593765968	0.19186360779384037	0.36018957345971564	0.42857142857142855	0.21301775147928995	0.3744493392070485	0.4411764705882353	0.25749712643678163	146.0	171.0	84.0	56.0	81.0	27.0
subimage_G3	8702	0.34055727554179566	0.34448160535117056	0.18882978723404256	0.35602094240837695	0.4358974358974359	0.2135635806149391	0.36745862662962375	0.45027624309392267	0.29382260812694694	132.0	162.0	76.0	49.0	75.0	29.0
subimage_F3	5347	0.3373603837843776	0.396658315276273	0.2	0.34507042253521125	0.4365781710914454	0.21846153846153846	0.3557692307692308	0.45195729537366547	0.2570736528107872	111.0	141.0	71.0	41.0	70.0	29.0
subimage_E3	2609	0.34217436116146	0.35327535813517125	0.21764705882352942	0.36523929471032746	0.38461538461538464	0.24	0.39269994316734275	0.43034055727554177	0.2829098293650452	141.0	153.0	92.0	46.0	59.0	5.0
subimage_D3	2772	0.35650623885918004	0.3429726644995652	0.2487130252212507	0.3711507293354943	0.3482587064676617	0.27866101618755545	0.39118393166264903	0.3773333040112596	0.2997443528693528	222.0	207.0	166.0	54.0	42.0	-14.0
subimage_C3	2706	0.33104036718841945	0.36005763688760806	0.23125	0.34185303514376997	0.3961661341853035	0.26366559485530544	0.3689264073164688	0.4158415841584158	0.28122735507246377	106.0	124.0	82.0	24.0	41.0	17.0
subimage_B3	4549	0.34177215189873417	0.3931203931203931	0.18034862004565264	0.35149863760217986	0.43597560975609756	0.21351351351351353	0.3671516543158334	0.45777391622462044	0.26071634783160424	125.0	153.0	77.0	50.0	80.0	29.0
subimage_A3	2250	0.3310580204778157	0.357672321494499	0.22472868711924998	0.3444783197831978	0.4091490351081144	0.2465325869498307	0.36809669924489224	0.43185971005738444	0.2823014169171318	122.0	145.0	87.0	34.0	55.0	22.0
subimage_H4	6035	0.3388704318936877	0.3855721393034826	0.18117709437963944	0.35218508997429304	0.42857142857142855	0.22054380664652568	0.3659998869864949	0.4635529007652868	0.2641211295199966	118.0	142.0	73.0	44.0	69.0	26.0
subimage_G4	13600	0.3371212121212121	0.4054638921381518	0.1837318662404721	0.3476923076923077	0.4454828660436137	0.2073170731707317	0.35987261146496813	0.4634920634920635	0.252429587618956	118.0	150.0	68.0	46.0	77.0	32.0
subimage_F4	7555	0.33797909407665505	0.39669394392425317	0.1949685534591195	0.34911242603550297	0.4309859154929577	0.21866666666666668	0.3646723646723647	0.4536741214057508	0.2570069122242211	117.0	145.0	72.0	44.0	71.0	28.0
subimage_E4	8172	0.33841890088748217	0.3834080717488789	0.16845878136200718	0.3492499812495312	0.43567251461988304	0.21621621621621623	0.3659588375915135	0.4724137931034483	0.2672811059907834	118.0	147.0	73.0	45.0	74.0	29.0
subimage_D4	5314	0.3385093167701863	0.39659367396593675	0.18518518518518517	0.3482758620689655	0.44067724164133737	0.21100917431192662	0.35555555555555557	0.46564885496183206	0.2585306433786329	111.0	141.0	68.0	43.0	73.0	29.0
subimage_C4	7130	0.34036144578313254	0.39612709928253637	0.19793266496018203	0.3468208092485549	0.438953488372093	0.2138728323699422	0.3541666666666667	0.4527027027027027	0.2600787589498806	113.0	143.0	70.0	43.0	73.0	30.0
subimage_B4	6204	0.3360950991967035	0.38084190204608376	0.17882381566976283	0.3511705685618729	0.43529411764705883	0.21652421652421652	0.36696257672760874	0.4612794612794613	0.27045454545454545	114.0	142.0	70.0	43.0	70.0	28.0
subimage_A4	8390	0.34008936261843237	0.39473684210526316	0.1831831831831832	0.3522727272727273	0.44812398340552295	0.20105820105820105	0.36045093590470784	0.46017699115044247	0.26092200610221195	122.0	155.0	67.0	50.0	81.0	32.0
subimage_H5	10901	0.3447204968944099	0.3956043956043956	0.1878048780487805	0.36519607843137253	0.43529411764705883	0.19954648526077098	0.3706293706293706	0.446064139941691	0.2525879917184265	151.0	180.0	82.0	68.0	97.0	29.0
subimage_G5	10670	0.3385093167701863	0.3963254593175853	0.1897590361445783	0.3502994011976048	0.4417910447761194	0.20906522855675397	0.36065573770491804	0.4560810810810811	0.25864258979055504	121.0	152.0	70.0	48.0	78.0	31.0
subimage_F5	8460	0.3442622950819672	0.3904761904761905	0.17992479233296585	0.3524355300859599	0.4421364985163205	0.20489296636085627	0.3638691426613297	0.46358074199683763	0.25783132530120484	119.0	149.0	69.0	49.0	80.0	30.0
