subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	24856	0.3410548175936914	0.40280217278168096	0.15714285714285714	0.358600583090379	0.46153846153846156	0.17875647668393782	0.3687002652519894	0.48148148148148145	0.2523475745438362	130.0	167.0	64.0	65.0	101.0	37.0
subimage_G1	36842	0.3384615384615385	0.41005386167256674	0.14803625377643503	0.3562874251497006	0.4722222222222222	0.17034700315457413	0.3710144927536232	0.4909090909090909	0.24480369515011546	119.0	157.0	57.0	62.0	100.0	38.0
subimage_F1	17392	0.34080215514356466	0.40380047505938244	0.1526479750778816	0.35919540229885055	0.4584450402144772	0.18204488778054864	0.36923076923076925	0.48297213622291024	0.2518225419664269	132.0	169.0	67.0	65.0	101.0	36.0
subimage_E1	19781	0.3402985074626866	0.4044665012406948	0.14457831325301204	0.3588235294117647	0.4678362573099415	0.17073170731707318	0.37142857142857144	0.49240121580547114	0.2542372881355932	126.0	163.0	60.0	65.0	104.0	38.0
subimage_D1	15241	0.345088161209068	0.40045766590389015	0.1564245810055866	0.3617021276595745	0.4585492227979275	0.17886178861788618	0.37383177570093457	0.4757834757834758	0.25	132.0	167.0	65.0	66.0	101.0	35.0
subimage_C1	18605	0.3436619718309859	0.4017278617710583	0.1641025641025641	0.36622807017543857	0.44419642857142855	0.18973214285714285	0.374601106457784	0.46706586826347307	0.24943206878479843	154.0	186.0	80.0	73.0	106.0	33.0
subimage_B1	1954	0.3351544401544401	0.36132864792503344	0.2012317828286642	0.35190244626749323	0.4047308218326495	0.24489795918367346	0.36827750748502996	0.43832999666333	0.2844663262210537	120.0	141.0	81.0	37.0	55.0	19.0
subimage_A1	5508	0.3280757097791798	0.38235294117647056	0.19188101949729858	0.35410300469047506	0.4214659685863874	0.22807017543859648	0.36856871854432827	0.44787644787644787	0.27869059873048546	123.0	145.0	77.0	44.0	65.0	24.0
subimage_H2	17947	0.3440955091714105	0.3883986051502146	0.14512567416302027	0.3594936708860759	0.4610951008645533	0.17777777777777778	0.3726541554959786	0.49117335273331947	0.2636363636363636	135.0	169.0	66.0	65.0	103.0	37.0
subimage_G2	27812	0.3411764705882353	0.4060246323465276	0.13649851632047477	0.35877862595419846	0.4679144385026738	0.1714662646061063	0.375	0.4984984984984985	0.25	126.0	164.0	60.0	65.0	104.0	38.0
subimage_F2	17495	0.34120734908136485	0.4069324890904424	0.15112540192926044	0.3575418994413408	0.46055979643765904	0.18004866180048662	0.37092731829573933	0.4878048780487805	0.2488072291888705	132.0	170.0	67.0	64.0	102.0	38.0
subimage_E2	13605	0.34498834498834496	0.39954541748206135	0.14894836310431017	0.36077481840193704	0.45698924731182794	0.18110236220472442	0.3728729859803306	0.4857142857142857	0.25270943480010544	139.0	174.0	70.0	69.0	106.0	37.0
subimage_D2	17926	0.34408602150537637	0.3995584988962472	0.15029345012234477	0.36384439359267734	0.46153846153846156	0.17424242424242425	0.375	0.48214285714285715	0.25112868534788874	140.0	176.0	66.0	72.0	108.0	37.0
subimage_C2	18948	0.34360189573459715	0.39618138424821003	0.15281501340482573	0.35945945945945945	0.4603174603174603	0.1797752808988764	0.3720316622691293	0.4815950920245399	0.2579185520361991	135.0	172.0	67.0	66.0	103.0	37.0
subimage_B2	21097	0.34210526315789475	0.4046404704624432	0.14857142857142858	0.3594936708860759	0.4650537634408602	0.17403314917127072	0.37283236994219654	0.486849777504987	0.24944018652181463	130.0	168.0	63.0	66.0	104.0	38.0
subimage_A2	4001	0.33994334277620397	0.37636761487964987	0.20270270270270271	0.3645833333333333	0.4076923076923077	0.2275449101796407	0.38443935926773454	0.43278688524590164	0.271523178807947	144.0	159.0	90.0	52.0	67.0	17.0
