subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	20993	0.3421828908554572	0.4072107833338093	0.1622340425531915	0.3619791666666667	0.4557291666666667	0.18090452261306533	0.3702770780856423	0.4764705882352941	0.24585468915059258	139.0	175.0	69.0	69.0	105.0	36.0
subimage_G1	2453	0.3425925925925926	0.36787234982982925	0.1945392491467577	0.35517241379310344	0.4205607476635514	0.22483221476510068	0.37047397047397046	0.4424711102198381	0.2721260656161199	109.0	130.0	70.0	40.0	60.0	20.0
subimage_F1	1973	0.3405298857904806	0.37918685766015225	0.18181818181818182	0.3569553805774278	0.4309859154929577	0.21084337349397592	0.37040624159268226	0.45714285714285713	0.2734210421717874	114.0	140.0	67.0	46.0	68.0	24.0
subimage_E1	2433	0.33906471421823337	0.3797091434494456	0.17391304347826086	0.35816618911174786	0.4289940828402367	0.21220930232558138	0.3787175725134224	0.45756065137919577	0.2727272727272727	116.0	139.0	69.0	47.0	70.0	23.0
subimage_D1	17892	0.3496932515337423	0.39853300733496333	0.16666666666666666	0.37142857142857144	0.4393203883495146	0.18925233644859812	0.380352644836272	0.4626865671641791	0.24697992940284139	153.0	179.0	77.0	74.0	101.0	29.0
subimage_C1	13355	0.3542116630669546	0.38954869358669836	0.15254237288135594	0.37402597402597404	0.44021739130434784	0.18461538461538463	0.3926432359363627	0.4645161290322581	0.25669625929945217	141.0	165.0	69.0	71.0	95.0	25.0
subimage_B1	1935	0.33927215189873416	0.37428070175438594	0.1860220318237454	0.3548387096774194	0.42857142857142855	0.21768707482993196	0.3766741760837179	0.4519738219318445	0.27328199412301146	114.0	137.0	70.0	44.0	67.0	23.0
subimage_A1	3979	0.33636363636363636	0.35464059196617337	0.22758620689655173	0.3586206896551724	0.378839590443686	0.2593856655290102	0.3737024221453287	0.423841059602649	0.28721698297026615	110.0	119.0	80.0	30.0	36.0	5.0
subimage_H2	22360	0.34139784946236557	0.40170849822012616	0.16666666666666666	0.36228287841191065	0.45363408521303256	0.18377733341933822	0.3691588785046729	0.4702702702702703	0.25301204819277107	142.0	177.0	72.0	70.0	105.0	36.0
subimage_G2	3207	0.33576923076923076	0.3873102934470556	0.2024654549624448	0.3507246376811594	0.41621621621621624	0.23314606741573032	0.36757728253055355	0.43762681159420286	0.26998981410746115	124.0	147.0	82.0	42.0	65.0	23.0
subimage_F2	2754	0.34365325077399383	0.3762312853417714	0.1794871794871795	0.3641791044776119	0.41883116883116883	0.2182410423452769	0.38079063054328305	0.44625407166123776	0.275	117.0	135.0	70.0	47.0	64.0	18.0
subimage_E2	2630	0.3468451950867052	0.3819813859609778	0.1958269212272771	0.3630769230769231	0.4140127388535032	0.2222222222222222	0.3757987252872163	0.4332844733984799	0.268193505730238	115.0	132.0	71.0	45.0	61.0	16.0
subimage_D2	17799	0.34831460674157305	0.39138849929873776	0.1625	0.36342592592592593	0.45023696682464454	0.18548387096774194	0.3723404255319149	0.47293447293447294	0.2575483202243765	152.0	188.0	78.0	74.0	110.0	36.0
subimage_C2	4211	0.343179402573092	0.38372093023255816	0.19476633618175826	0.35311572700296734	0.41208791208791207	0.2346368715083799	0.3789173789173789	0.4365072962152459	0.2634965007236464	126.0	146.0	83.0	42.0	62.0	21.0
subimage_B2	3353	0.33430232558139533	0.3891139753019772	0.21062562065541213	0.3484848484848485	0.4177545691906005	0.2344632768361582	0.3613174612258913	0.43478260869565216	0.26730123439635006	125.0	149.0	84.0	41.0	66.0	25.0
subimage_A2	1470	0.33564665219837636	0.3665191167715047	0.20440251572327045	0.3469633636587165	0.41304347826086957	0.23834906664773936	0.37663910978888954	0.44242424242424244	0.28000750798958757	125.0	150.0	86.0	40.0	64.0	24.0
subimage_H3	22462	0.34279787897691827	0.4105011933174224	0.1565253225035834	0.36318407960199006	0.46218487394957986	0.175	0.37150127226463103	0.4773413897280967	0.24343359116657565	139.0	176.0	66.0	72.0	109.0	38.0
subimage_G3	4111	0.33744230659651653	0.3878049273293013	0.19970238095238096	0.3541666666666667	0.41194029850746267	0.233983286908078	0.37427736006683376	0.4305956968529223	0.2676056338028169	126.0	146.0	83.0	42.0	63.0	21.0
subimage_F3	20768	0.346355785597987	0.41623501740771257	0.14492753623188406	0.36363636363636365	0.46419098143236076	0.17117117117117117	0.3720316622691293	0.4886136363636362	0.23625711762163368	136.0	173.0	64.0	71.0	109.0	37.0
subimage_E3	4349	0.345372460496614	0.38786364972083454	0.1826086956521739	0.3562005277044855	0.4253521126760563	0.21787709497206703	0.3738764171619781	0.45125348189415043	0.2612957937584802	131.0	157.0	80.0	51.0	76.0	26.0
subimage_D3	8153	0.34143718856543404	0.3921838460154704	0.13194444444444445	0.3575757575757576	0.4540229885057471	0.18803418803418803	0.37594754148799103	0.4982674186093849	0.25920829085966696	126.0	160.0	66.0	59.0	93.0	34.0
subimage_C3	12556	0.35082872928176795	0.4	0.1448525300115406	0.3700980392156863	0.450242861521775	0.17732558139534885	0.3842239185750636	0.48573681838666066	0.24642833075005055	146.0	174.0	68.0	73.0	103.0	30.0
subimage_B3	3028	0.34014214381404734	0.3736931757691898	0.19746620609787754	0.35843373493975905	0.42136498516320475	0.21965317919075145	0.37613720388881283	0.439456668596796	0.27710843373493976	119.0	140.0	73.0	46.0	67.0	21.0
subimage_A3	3739	0.3545224096621992	0.36673773987206826	0.19010577686175567	0.3752969121140142	0.39655172413793105	0.22691292875989447	0.3920595533498759	0.43597560975609756	0.27126559060895084	148.0	157.0	88.0	57.0	66.0	7.0
subimage_H4	20754	0.34204058470755316	0.4074637869719837	0.15559718219660584	0.3622222222222222	0.4582278481012658	0.17955112219451372	0.3718886452652686	0.47962382445141066	0.24649033737307563	140.0	176.0	69.0	70.0	107.0	37.0
subimage_G4	6758	0.34324324324324323	0.39616691642825785	0.10081418628350884	0.3611111111111111	0.42342342342342343	0.21686746987951808	0.3963254593175853	0.5087285801713586	0.25650115591215067	125.0	145.0	71.0	48.0	69.0	22.0
subimage_F4	2661	0.3408360128617363	0.36771300448430494	0.19614147909967847	0.3623693379790941	0.40728476821192056	0.2316715542521994	0.38580246913580246	0.4267515923566879	0.2761904761904762	119.0	134.0	75.0	43.0	57.0	15.0
subimage_E4	4168	0.35764010887046893	0.3476764199655766	0.20629124380457872	0.3779264214046823	0.35498478701825553	0.26666666666666666	0.4	0.4004424778761062	0.2933039071134029	211.0	202.0	152.5	64.0	51.0	-9.0
subimage_D4	18448	0.34520761509595144	0.3987773527731551	0.1424581005586592	0.3647959183673469	0.46055979643765904	0.17473118279569894	0.375	0.4897360703812317	0.2511076847772883	142.0	179.0	68.0	74.0	111.0	37.0
subimage_C4	10463	0.3435754189944134	0.40083507306889354	0.15581104447959973	0.35945945945945945	0.456	0.184	0.37575407251707826	0.47998850574712637	0.25059101654846333	133.0	168.0	67.0	63.0	99.0	36.0
subimage_B4	20654	0.34408602150537637	0.4117203346855984	0.14600550964187328	0.3641304347826087	0.4679144385026738	0.1675	0.3726027397260274	0.4887459807073955	0.24058426006914066	136.0	174.0	62.0	73.0	111.0	38.0
subimage_A4	5397	0.34746299306922224	0.3773358942492374	0.18082191780821918	0.3633720930232558	0.42	0.2111650485436893	0.38675213675213677	0.4509283819628647	0.2654160872567661	138.0	163.0	81.0	57.0	82.0	21.0
subimage_H5	8541	0.3470715835140998	0.39823008849557523	0.15723270440251572	0.3589108910891089	0.453125	0.18783068783068782	0.3742138364779874	0.4730878186968839	0.2529832935560859	135.0	170.0	69.0	63.0	98.0	35.0
subimage_G5	3342	0.3392334117471342	0.3810802196724527	0.1949685534591195	0.35347432024169184	0.4147727272727273	0.23229461756373937	0.3811074918566775	0.43902439024390244	0.27087269998695024	124.0	145.0	81.0	43.0	64.0	22.0
subimage_F5	20595	0.3469387755102041	0.39848236259228875	0.1567956645591607	0.36246786632390743	0.4573643410852713	0.17971014492753623	0.3743455497382199	0.4746268656716418	0.25225225225225223	142.0	179.0	70.0	71.0	108.0	37.0
subimage_E5	4332	0.33827893175074186	0.3619188050555343	0.19672782691847956	0.3699731903485255	0.3901771444787979	0.24063335561497326	0.40667502321262766	0.42857142857142855	0.2760490851859138	131.0	134.0	84.0	44.0	52.0	6.0
subimage_D5	18569	0.3472906403940887	0.4056769281694803	0.1452513966480447	0.3648293963254593	0.46564885496183206	0.16793893129770993	0.37806882726361507	0.4885170529489353	0.2430027132951462	140.0	177.0	64.0	74.0	112.0	38.0
subimage_C5	21772	0.34615384615384615	0.3968253968253968	0.13687150837988826	0.36363636363636365	0.4682080924855491	0.16715542521994134	0.37910447761194027	0.49101796407185627	0.2524059304135171	135.0	171.0	61.0	71.0	109.0	38.0
subimage_B5	11415	0.34759358288770054	0.4014035489036306	0.1565217391304348	0.36363636363636365	0.4547738693467337	0.18048780487804877	0.37305699481865284	0.4792243767313019	0.24824355971896955	146.0	179.0	73.0	72.0	108.0	37.0
subimage_A5	4497	0.33962264150943394	0.3799381757980237	0.19374969540425946	0.3567961165048544	0.4161849710982659	0.22816901408450704	0.3778306252570958	0.4369230769230769	0.26943346995039935	123.0	143.0	78.0	44.0	64.0	20.0
subimage_H6	20959	0.3470715835140998	0.3924581054937677	0.1286549707602339	0.3641160949868074	0.4580152671755725	0.17679558011049723	0.37650602409638556	0.4968944099378882	0.2600047281323876	143.0	179.0	70.0	73.0	110.0	36.0
