subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9075	0.3469387755102041	0.38961038961038963	0.16393442622950818	0.3675	0.4485294117647059	0.18501170960187355	0.37735849056603776	0.46417941280977054	0.2606197311460469	148.0	179.0	72.0	72.0	103.0	31.0
subimage_G1	801	0.3324468085106383	0.3681462140992167	0.21893491124260356	0.34402332361516036	0.4114441416893733	0.24369747899159663	0.3787878787878788	0.43023255813953487	0.28087167070217917	124.0	150.0	88.0	36.0	60.0	26.0
subimage_F1	1246	0.32402513696422813	0.37757159926137807	0.21785190615835776	0.33865814696485624	0.4090909090909091	0.2523810483667772	0.3667922948073702	0.4261494627865501	0.28847244419240087	101.0	124.0	75.0	26.0	46.0	21.0
subimage_E1	10346	0.3418151158768592	0.3995256748842503	0.15714285714285714	0.3626666666666667	0.4608695652173913	0.17708333333333334	0.3701657458563536	0.4816053511705686	0.254056916559219	133.0	167.0	63.0	67.0	101.0	35.0
subimage_D1	3828	0.33150222195532064	0.38605898123324395	0.20875420875420875	0.3404255319148936	0.4264264264264264	0.23333333333333334	0.3504531722054381	0.4463667820069204	0.27365728900255754	113.0	141.0	77.0	35.0	63.0	28.0
subimage_C1	10441	0.34285714285714286	0.3908355795148248	0.1638418079096045	0.3598014888337469	0.45132743362831856	0.190625	0.3709677419354839	0.46875	0.2627551020408163	134.0	166.0	68.0	61.0	93.0	33.0
subimage_B1	8847	0.33858267716535434	0.3944954128440367	0.15770609318996415	0.35570469798657717	0.45429362880886426	0.19101123595505617	0.36950146627565983	0.4783950617283951	0.2591760972080669	122.0	155.0	64.0	55.0	88.0	33.0
subimage_A1	1233	0.327723224480475	0.2811339119694437	0.2413793103448276	0.33641975308641975	0.40239043824701193	0.26047904191616766	0.3584611614800294	0.4195583596214511	0.36140999642132887	111.0	133.0	86.0	25.0	47.0	22.0
subimage_H2	14188	0.3448275862068966	0.3986539156082586	0.15743440233236153	0.35735735735735735	0.4588607594936709	0.18282548476454294	0.3687150837988827	0.47799940980099226	0.25309106760719663	130.0	166.0	65.0	62.0	98.0	36.0
subimage_G2	873	0.3359915343915344	0.3410981697171381	0.2139806812404677	0.347682119205298	0.4158730158730159	0.23529411764705882	0.3720249083167196	0.43601792500992687	0.3021031514916197	111.0	134.0	75.0	35.0	56.0	22.0
subimage_F2	15355	0.3414024056861673	0.4015983967152214	0.15568862275449102	0.35694050991501414	0.4634146341463415	0.17777777777777778	0.36813186813186816	0.48484848484848486	0.25130356114812075	126.0	163.0	62.0	63.0	100.0	37.0
subimage_E2	8696	0.34100627030293873	0.3923686356126762	0.15915915915915915	0.3593314763231198	0.45454545454545453	0.1861154924640729	0.3708791208791209	0.4752186588921283	0.26116465336134453	129.0	163.0	66.0	61.0	94.0	34.0
subimage_D2	16265	0.34105960264900664	0.4031437196358662	0.15548780487804878	0.35960591133004927	0.4609375	0.1780821917808219	0.3700787401574803	0.4852941176470588	0.25	132.0	167.0	65.0	66.0	102.0	36.0
subimage_C2	21164	0.34124629080118696	0.39914638031521155	0.14929577464788732	0.36134453781512604	0.4659400544959128	0.1724137931034483	0.37228260869565216	0.4875444839857651	0.2537099193030063	129.0	166.0	61.0	67.0	103.0	37.0
subimage_B2	11527	0.3434650455927052	0.39143473064116796	0.15406976744186046	0.35792349726775957	0.46105919003115264	0.18	0.37037037037037035	0.4823529411764706	0.26127624061115745	125.0	161.0	62.0	61.0	96.0	35.0
