subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	984	0.3319711091843686	0.376570638885936	0.24087018806935057	0.3405994550408719	0.4011627906976744	0.25816508601462346	0.357487922705314	0.4136739417989418	0.2777240143369175	113.0	135.0	86.0	28.0	48.0	20.0
subimage_G1	674	0.33868011769651113	0.3242920394797528	0.19789544288047284	0.3581267217630854	0.4025949615665152	0.24180107526881722	0.41810344827586204	0.43890977803291237	0.2916554595315223	129.0	148.0	85.0	44.5	57.0	20.0
subimage_F1	825	0.3345144070177629	0.37006094577160903	0.19802623119454804	0.3507692307692308	0.4255952380952381	0.22397476340694006	0.36798490566037734	0.44554455445544555	0.28181943240752205	113.0	139.0	72.0	41.0	65.0	25.0
subimage_E1	1218	0.3389261744966443	0.3574123896720704	0.22501144665857106	0.3510805042353098	0.38870431893687707	0.25874620507685214	0.40860215053763443	0.40795491590500227	0.2812780688622754	105.0	118.0	76.0	27.0	40.0	12.0
subimage_D1	7637	0.3417085427135678	0.39004716821066204	0.18911174785100288	0.35347432024169184	0.4301369863013699	0.21643835616438356	0.3659942363112392	0.45294117647058824	0.2628070838847923	126.0	154.0	76.0	49.0	76.0	27.0
subimage_C1	9512	0.35435992578849723	0.3786060697691999	0.17933130699088146	0.3775280898876405	0.4130953937829432	0.20787746170678337	0.3885168695185251	0.44683843085106373	0.26634419145564203	171.0	183.0	93.0	72.0	85.0	15.0
subimage_B1	880	0.3267605633802817	0.36187845303867405	0.22004363686538977	0.3423687066878183	0.41343467984529436	0.2439373897707231	0.38723897630147613	0.4315507852077001	0.2802754564977912	116.0	141.0	82.0	34.0	57.0	25.0
subimage_A1	860	0.35547056990667236	0.34183580705009275	0.22144438894438895	0.38380636827716785	0.3536713735558408	0.26121653339698453	0.41615999783127294	0.3706467661691542	0.3003818000163119	187.0	173.0	127.5	58.0	45.0	-13.0
subimage_H2	11815	0.3424354108889213	0.3902439024390244	0.1455865948882099	0.35563380281690143	0.4666666666666667	0.17664670658682635	0.3668639053254438	0.49356079404466496	0.2631578947368421	121.0	158.0	59.0	59.0	95.0	36.0
subimage_G2	1112	0.3333333333333333	0.3724663635946182	0.2172661960758075	0.3450479233226837	0.4124190688275805	0.2425249169435216	0.3718425513880059	0.42970651966095214	0.2813154069767442	108.0	129.0	75.0	32.0	52.5	21.0
