subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	6830	0.32798990825688074	0.3813840045377198	0.21428571428571427	0.3401826484018265	0.41424802110817943	0.24821002386634844	0.35279805352798055	0.4383053346291411	0.28353858784893265	142.0	174.0	101.0	37.0	67.0	31.0
subimage_G1	11752	0.3333333333333333	0.3983324199483285	0.20105198447235	0.3471264367816092	0.43882978723404253	0.2128146453089245	0.35514018691588783	0.4525412181496116	0.2609147504769554	147.0	184.0	89.0	55.0	93.0	38.0
subimage_F1	6845	0.3401015228426396	0.392375539266642	0.20619013875237158	0.35251798561151076	0.42788461538461536	0.21890547263681592	0.3611738148984199	0.44110275689223055	0.26327748439514964	153.0	184.0	96.0	57.0	90.0	33.0
subimage_E1	7711	0.31976744186046513	0.38406645623324165	0.1834862385321101	0.32989690721649484	0.45016077170418006	0.2195845697329377	0.3541666666666667	0.47987616099071206	0.2820782726045884	115.0	157.0	75.0	37.0	78.0	41.0
subimage_D1	10653	0.32463768115942027	0.347008547008547	0.1912568306010929	0.3350253807106599	0.45161290322580644	0.21227621483375958	0.36199295002814064	0.47398843930635837	0.285004914004914	120.0	164.0	76.0	44.0	83.0	42.0
subimage_C1	9165	0.3211009174311927	0.39317069122894366	0.1893491124260355	0.335149863760218	0.45507246376811594	0.21114369501466276	0.34782608695652173	0.4745222929936306	0.2715494733051229	121.0	164.0	75.0	44.0	86.0	43.0
subimage_B1	12599	0.32628398791540786	0.39088485556732283	0.19337016574585636	0.3361581920903955	0.4491017964071856	0.21448467966573817	0.3494318181818182	0.4715909090909091	0.267975478032404	122.0	163.0	77.0	43.0	83.0	40.0
subimage_A1	7889	0.31871345029239767	0.3689142789486147	0.1976401179941003	0.3313253012048193	0.44224422442244227	0.22866894197952217	0.35472906403940885	0.46932515337423314	0.2847826086956522	114.0	152.0	77.0	35.0	71.0	38.0
subimage_H2	10653	0.33430744049648775	0.38637331084112486	0.19760479041916168	0.3493975903614458	0.4401805869074492	0.21108179419525067	0.3575343068410633	0.45604395604395603	0.26946612039079737	150.0	188.0	90.0	57.0	94.0	38.0
subimage_G2	7883	0.33134328358208953	0.3930885529157667	0.1921937521937522	0.3448275862068966	0.44212962962962965	0.21226415094339623	0.35714285714285715	0.46153846153846156	0.26399821029082776	135.0	172.0	84.0	50.0	88.0	38.0
subimage_F2	4329	0.3279094976996282	0.38959415584415585	0.20924574209245742	0.33601609657947684	0.43187066974595845	0.23097826086956522	0.35351089588377727	0.4470284237726098	0.2699235489732249	132.0	168.0	90.0	40.0	77.0	37.0
subimage_E2	9898	0.32425742574257427	0.39347291518175337	0.2086720867208672	0.33238636363636365	0.42477969618567	0.2436548223350254	0.3403141361256545	0.45555555555555555	0.2747747747747748	130.0	167.0	95.0	35.0	71.0	37.0
subimage_D2	11093	0.32753623188405795	0.39737991266375544	0.19116017598175003	0.3370473537604457	0.45161290322580644	0.2113022113022113	0.35170603674540685	0.47126436781609193	0.26394849785407726	129.0	173.0	80.0	47.0	90.0	43.0
subimage_C2	10711	0.32727272727272727	0.395473174366617	0.1904123579726797	0.33604336043360433	0.45251396648044695	0.21067415730337077	0.35198343685300204	0.4727272727272727	0.2633788916206237	125.0	168.0	78.0	46.0	89.0	43.0
subimage_B2	9071	0.3241590214067278	0.3966940996732573	0.18950437317784258	0.33430232558139533	0.45073891625615764	0.21333333333333335	0.3487179487179487	0.4745762711864407	0.26908241029693425	124.0	168.0	79.0	45.0	88.0	43.0
subimage_A2	5077	0.3211009174311927	0.38596491228070173	0.19436619718309858	0.3352112676056338	0.44715447154471544	0.21739130434782608	0.35060757453666397	0.47147147147147145	0.28120808607130793	122.0	163.0	78.0	43.0	83.0	40.0
subimage_H3	8537	0.3289817232375979	0.3900862068965517	0.184	0.34324324324324323	0.44358974358974357	0.2152230971128609	0.3567567567567568	0.46578947368421053	0.2703252032520325	136.0	175.0	84.0	50.0	89.0	39.0
subimage_G3	7132	0.33261168659197415	0.39243027888446214	0.19607843137254902	0.3438320209973753	0.44474765826272133	0.21144278606965175	0.3542168674698795	0.4601990049751244	0.2643270677930724	142.0	183.0	86.0	54.0	95.0	41.0
subimage_F3	5463	0.3333333333333333	0.38702507652129964	0.20558876099235004	0.34375	0.43315508021390375	0.2261072261072261	0.36147186147186144	0.4509222489688904	0.26152569422278965	134.0	169.0	88.0	47.0	80.0	35.0
subimage_E3	7711	0.3231197771587744	0.3887733887733888	0.19382022471910113	0.33181818181818185	0.42710997442455245	0.23918575063613232	0.3407960199004975	0.47398843930635837	0.2782517736947426	131.0	168.0	94.0	35.0	73.0	37.0
subimage_D3	6698	0.3325842696629214	0.3825345659326242	0.2093953488372093	0.3411486096304193	0.40540540540540543	0.2554112554112554	0.3543332762752482	0.4378238341968912	0.2785571142284569	152.0	181.0	113.0	38.0	67.0	29.0
subimage_C3	8143	0.3216392893060677	0.3849214431189992	0.20245398773006135	0.33064516129032256	0.4260204081632653	0.24438902743142144	0.3449873270833969	0.4666666666666667	0.278372591006424	131.0	169.0	95.0	34.0	70.0	37.0
subimage_B3	6258	0.32038834951456313	0.39722378105372214	0.19387755102040816	0.33040291624803564	0.45207530145189073	0.21712538226299694	0.3442622950819672	0.4747233571671774	0.2700972198713608	119.0	162.0	77.0	39.0	82.0	43.0
subimage_A3	4656	0.3181818181818182	0.3911805555555556	0.18495297805642633	0.32972972972972975	0.44565217391304346	0.22408495170643508	0.3473088787460045	0.48641753998896853	0.2751117820354777	117.0	155.0	78.0	36.0	77.0	40.0
