subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9308	0.3411214953271028	0.38901274926446555	0.11950551631081832	0.35276967930029157	0.44919786096256686	0.19831215281624387	0.37542662116040953	0.5092014381682278	0.2660474187713831	126.0	160.0	71.0	56.0	91.0	35.0
subimage_G1	10993	0.34534534534534533	0.4004773217071141	0.16286644951140064	0.3690205011389522	0.44144144144144143	0.18973214285714285	0.37528604118993136	0.4743202416918429	0.25055746076247215	161.0	191.0	81.0	77.0	108.0	31.0
subimage_F1	8673	0.3434650455927052	0.39951684022891454	0.16968821791926486	0.3638968481375358	0.43719806763285024	0.19672131147540983	0.38213399503722084	0.4605048042449448	0.2513089005235602	140.0	167.0	75.0	62.0	89.0	28.0
subimage_E1	3667	0.340442644458388	0.38589434608794976	0.19724036592880503	0.3609625668449198	0.41714285714285715	0.21897810218978103	0.3740648379052369	0.4441059465951099	0.26636568848758463	142.0	163.0	86.0	56.0	78.0	21.0
subimage_D1	20596	0.343944442399028	0.40596983570903383	0.16376445663372657	0.3614457831325301	0.45219638242894056	0.18632075471698112	0.3696808510638298	0.4725942618941919	0.2458628841607565	143.0	177.0	74.0	68.0	104.0	36.0
subimage_C1	13011	0.34097421203438394	0.40473389355742295	0.15472779369627507	0.3567251461988304	0.4633431085043988	0.17834394904458598	0.3692722371967655	0.4853180685955164	0.24944320712694878	130.0	169.0	64.0	63.0	101.0	38.0
subimage_B1	6717	0.3393907991835453	0.3826879271070615	0.15960219003395937	0.3561643835616438	0.42780748663101603	0.21800947867298578	0.3826530612244898	0.46938775510204084	0.263516693163752	131.0	156.0	80.0	51.0	77.0	27.0
subimage_A1	8587	0.3392070484581498	0.3848017078084128	0.14106583072100312	0.35858585858585856	0.45058139534883723	0.19161676646706588	0.37466084515827225	0.49	0.2652027357107963	130.0	162.0	69.0	60.0	93.0	33.0
subimage_H2	21838	0.34441087613293053	0.40540540540540543	0.1717948717948718	0.361244019138756	0.45073891625615764	0.1880952380952381	0.3684210526315789	0.4656084656084656	0.24449520743573605	147.0	183.0	76.0	70.0	106.0	36.0
subimage_G2	9378	0.34285714285714286	0.3866995073891626	0.15877437325905291	0.35802469135802467	0.4485294117647059	0.19298245614035087	0.371571072319202	0.4745762711864407	0.2679655014575152	134.0	167.0	72.0	59.0	92.0	33.0
subimage_F2	5352	0.3423545466648915	0.39149888143176736	0.12951488565622682	0.35225576662143826	0.4492753623188406	0.19894593581179607	0.37423312883435583	0.49838187702265374	0.26303317535545023	129.0	164.0	73.0	56.0	92.0	36.0
subimage_E2	12618	0.3407202216066482	0.39185291886866314	0.15363881401617252	0.35967302452316074	0.4555256064690027	0.18321796026741266	0.37305699481865284	0.47989276139410186	0.2632921492054942	135.0	171.0	69.0	65.0	100.0	35.0
subimage_D2	15772	0.3438291611853603	0.39349523767528	0.16071428571428573	0.3625866050808314	0.45433255269320844	0.1840507053921688	0.37028301886792453	0.473551637279597	0.2592152627789776	147.0	185.0	74.0	72.0	108.0	37.0
subimage_C2	12586	0.34146341463414637	0.3987273593262438	0.151674561682216	0.36082474226804123	0.4595959595959596	0.17866004962779156	0.37055837563451777	0.4840541165587419	0.25535723353475853	139.0	177.0	68.0	70.0	108.0	38.0
subimage_B2	13530	0.33825163398692815	0.39859957829753934	0.15339233038348082	0.3542234332425068	0.4527777777777778	0.19346049046321526	0.36787564766839376	0.4853801169590643	0.25806451612903225	133.0	171.0	72.0	61.0	97.0	37.0
subimage_A2	5101	0.3312883435582822	0.38799076212471134	0.19722222222222222	0.3493150684931507	0.4253731343283582	0.22588832487309646	0.3595505617977528	0.4525316455696203	0.270042194092827	130.0	157.0	84.0	45.0	74.0	28.0
subimage_H3	12657	0.33818879063184254	0.40444198214835336	0.15	0.3567073170731707	0.4629156010230179	0.1802030456852792	0.36883116883116884	0.4897360703812317	0.2510748193151627	132.0	172.0	66.0	66.0	105.0	39.0
subimage_G3	8020	0.3429923846914199	0.3869723471597534	0.170316301703163	0.36443796566245545	0.44175824175824174	0.19489559164733178	0.3761904761904762	0.4645680444335393	0.2623331173592047	160.0	189.0	82.0	70.0	102.0	33.0
subimage_F3	16590	0.34183673469387754	0.40242286218042905	0.12256267409470752	0.35926773455377575	0.46329113924050636	0.1763157894736842	0.3761837587699657	0.504718511120121	0.25240384615384615	134.0	173.0	67.0	69.0	108.0	39.0
subimage_E3	7307	0.3425414364640884	0.3932665103871959	0.18056678646301288	0.3553008595988539	0.43089430894308944	0.2127659574468085	0.36962750716332377	0.4563953488372093	0.2588146615430092	131.0	160.0	78.0	53.0	80.0	27.0
subimage_D3	11543	0.3416666666666667	0.39909297052154197	0.15555555555555556	0.3582887700534759	0.45979899497487436	0.18042813455657492	0.3690773067331671	0.4813822166676827	0.2536945812807882	137.0	176.0	69.0	68.0	106.0	38.0
subimage_C3	12995	0.3384615384615385	0.3978021978021978	0.15060240963855423	0.3582887700534759	0.46264367816091956	0.17962466487935658	0.37037037037037035	0.48484848484848486	0.25396825396825395	133.0	171.0	65.0	65.0	102.0	39.0
subimage_B3	14298	0.34535754848855493	0.40143004317111464	0.15841122932168994	0.36363636363636365	0.45742092457420924	0.1778846153846154	0.37150127226463103	0.47606382978723405	0.24824355971896955	146.0	184.0	71.0	74.0	112.0	38.0
subimage_A3	3596	0.3359375	0.3887676851020458	0.1857177774156754	0.3643123932621543	0.42039800995024873	0.21666666666666667	0.375	0.4488926252319109	0.2642822549850518	147.0	169.0	87.0	60.0	81.0	22.0
subimage_H4	18809	0.3434065934065934	0.406671905697446	0.16377171215880892	0.3634085213032581	0.455188679245283	0.18120805369127516	0.3698630136986301	0.4745308310991957	0.24503311258278146	149.0	186.0	74.0	74.0	111.0	38.0
subimage_G4	11952	0.34383615729982175	0.39772157390134916	0.1415929203539823	0.36175710594315247	0.45566502463054187	0.18206163244235402	0.3763875169774046	0.4861111111111111	0.2546838721635806	140.0	176.0	71.0	69.0	106.0	36.0
subimage_F4	9141	0.34210526315789475	0.39675174013921116	0.125	0.3557422969187675	0.45535714285714285	0.1875	0.37962962962962965	0.49719101123595505	0.25565610859728505	131.0	167.0	69.0	61.0	98.0	36.0
subimage_E4	7062	0.3472530341720942	0.37280744336569577	0.1384180790960452	0.3628808864265928	0.4398034398034398	0.20108695652173914	0.38903394255874674	0.4755415204861546	0.26451538058528556	143.0	171.0	77.0	62.0	90.0	29.0
subimage_D4	11434	0.34710743801652894	0.3945317816795971	0.11526479750778816	0.36097560975609755	0.45569620253164556	0.18206163244235402	0.3862958221311825	0.4984162034950679	0.2536231884057971	139.0	174.0	70.0	67.0	104.0	36.0
subimage_C4	9442	0.34501372574372646	0.39563212325875896	0.11371237458193979	0.3673469387755102	0.46153846153846156	0.1707920792079208	0.38485804416403785	0.5048216101825502	0.25687453508554414	134.0	168.0	62.0	70.0	105.0	34.0
subimage_B4	14861	0.3411458333333333	0.40551181102362205	0.14049586776859505	0.3589041095890411	0.4651741293532338	0.1769436997319035	0.3709677419354839	0.49441340782122906	0.24888888888888888	134.0	175.0	66.0	69.0	108.0	40.0
subimage_A4	3387	0.33732422226218306	0.3870967741935484	0.18152866242038215	0.3591331269349845	0.42710997442455245	0.21345707656612528	0.3669950738916256	0.46153846153846156	0.2642338709677419	146.0	172.0	87.0	59.0	86.0	27.0
subimage_H5	20154	0.3434125269978402	0.40875912408759124	0.13731072616193643	0.36220472440944884	0.4593569485210352	0.17783505154639176	0.37238058370870863	0.4968223413690236	0.2459149518846753	142.0	179.0	70.0	72.0	110.0	38.0
subimage_G5	7671	0.3441907829299484	0.38720163441851396	0.18155190750651845	0.35638297872340424	0.4343163538873995	0.20906801007556675	0.3721260570824524	0.45305655384505356	0.2629197057178142	137.0	166.0	80.0	56.0	85.0	30.0
subimage_F5	8181	0.3362573099415205	0.3991130820399113	0.15753424657534246	0.35135135135135137	0.453781512605042	0.19166666666666668	0.3695652173913043	0.48909657320872274	0.25668449197860965	125.0	161.0	69.0	56.0	93.0	36.0
subimage_E5	7908	0.340625	0.38917999726551816	0.16863905325443787	0.35294117647058826	0.4503105590062112	0.19727878563495002	0.36798338278931747	0.47018067670710095	0.2596905079378307	127.0	162.0	71.0	56.0	91.0	35.0
subimage_D5	11641	0.34598214285714285	0.40077821011673154	0.15931372549019607	0.3673469387755102	0.4535809018567639	0.17857142857142858	0.37411764705882355	0.47368421052631576	0.24948875255623723	154.0	190.0	74.0	78.0	113.0	35.0
subimage_C5	13423	0.3425531914893617	0.40136210447481746	0.15834158415841584	0.35833333333333334	0.4529262086513995	0.18863049095607234	0.3713592233009709	0.47745358090185674	0.25274019342541826	144.0	181.0	75.0	67.0	104.0	37.0
subimage_B5	10781	0.3392461197339246	0.4022727272727273	0.1388101983002833	0.3567251461988304	0.46174863387978143	0.1797752808988764	0.36904761904761907	0.5	0.2543478260869565	132.0	170.0	67.0	65.0	104.0	39.0
subimage_A5	9630	0.3442170049058348	0.3474638482594631	0.16623675557179393	0.3609625668449198	0.44655581947743467	0.19351079028498383	0.37274684361822025	0.46786632390745503	0.28122528558875215	147.0	181.0	77.0	66.0	99.0	34.0
subimage_H6	16814	0.34285714285714286	0.4092827004219409	0.16096660016732095	0.36404494382022473	0.45604395604395603	0.1792452830188679	0.37057781695784575	0.47681641338239833	0.24549422735052895	149.0	186.0	73.0	76.0	113.0	37.0
subimage_G6	14184	0.3448275862068966	0.3861394803236108	0.15064227439227437	0.3601108033240997	0.46134020618556704	0.1763085399449036	0.37179034690799395	0.4861878453038674	0.26899183544388366	138.0	177.0	68.0	69.0	107.0	38.0
subimage_F6	6846	0.34608902333621433	0.3924863938722032	0.1514360313315927	0.3628690146418678	0.4583333333333333	0.1783783783783784	0.37714285714285717	0.4774715033335723	0.257766323024055	136.0	172.0	66.0	68.0	103.0	35.0
subimage_E6	9534	0.3459625976687588	0.38507648615248113	0.15340322472512738	0.3615819209039548	0.45454545454545453	0.18435754189944134	0.37797619047619047	0.47619047619047616	0.2663873480467367	142.0	176.0	71.0	67.0	102.0	35.0
subimage_D6	10426	0.3447488584474886	0.3950892857142857	0.16020671834625322	0.36141304347826086	0.4523518453836302	0.1863013698630137	0.37402597402597404	0.47075819772271904	0.2547457500745601	145.0	178.0	73.0	67.0	103.0	35.0
subimage_C6	10292	0.34580920574214224	0.3968609865470852	0.14246636030516008	0.3613861386138614	0.44885042283298093	0.18974358974358974	0.3798449612403101	0.47606382978723405	0.2540650406504065	142.0	175.0	75.0	66.0	101.0	34.0
subimage_B6	7538	0.33837343445707857	0.3975609756097561	0.13604285906997363	0.35405405405405405	0.46	0.18497884672007936	0.375	0.49685829402515724	0.259618310188797	128.0	165.0	67.0	60.0	99.0	38.0
subimage_A6	3308	0.33075678661616165	0.3439878234398782	0.20234037718700296	0.35833333333333334	0.41944444444444445	0.225	0.3699468594408273	0.4389438943894389	0.2983257229832572	133.0	155.0	82.0	49.0	70.0	22.0
subimage_H7	13310	0.35051546391752575	0.4021522750526052	0.16546762589928057	0.37044534412955465	0.43972422745694023	0.1900647948164147	0.3760504201680672	0.46700685757784927	0.24410624715002266	169.0	201.0	86.0	82.0	113.0	31.0
subimage_G7	13275	0.34323873038158753	0.4025679459726569	0.158311345646438	0.3632075471698113	0.456359102244389	0.18028846153846154	0.3712121212121212	0.4753246753246753	0.25	145.0	183.0	71.0	73.0	110.0	37.0
subimage_F7	9720	0.34558823529411764	0.38493681241425154	0.15902614399451567	0.3633046787846972	0.4472361809045226	0.18943174151486608	0.37637362637362637	0.4701086956521739	0.2656282688284518	140.0	172.0	73.0	66.0	97.0	32.0
subimage_E7	11015	0.3473684210526316	0.39432576138937836	0.16853932584269662	0.3694690265486726	0.4401805869074492	0.19077568134171907	0.37752355664928927	0.4648318042813456	0.25444579459002536	165.0	197.0	84.0	80.0	110.0	31.0
subimage_D7	12235	0.3465553235908142	0.40171159528995	0.14795918367346939	0.36363636363636365	0.4595238095238095	0.1769436997319035	0.3737050975635858	0.48525469168900803	0.24829157175398633	142.0	179.0	69.0	73.0	109.0	38.0
subimage_C7	12140	0.344559585492228	0.4014251781472684	0.14556962025316456	0.3608918991694111	0.45748900293255135	0.1806282722513089	0.373134328358209	0.48695652173913045	0.25090355573551676	141.0	178.0	71.0	69.0	107.0	37.0
subimage_B7	6545	0.34096692111959287	0.3919239904988123	0.17478510028653296	0.3543307086614173	0.4344262295081967	0.21079691516709512	0.3774104683195592	0.45558739255014324	0.26096896398038977	134.0	165.0	79.0	54.0	85.0	30.0
