subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	825	0.3283670405369602	0.34064721506132334	0.22934816114575676	0.34959349593495936	0.3848797250859107	0.268370607028754	0.4122629068462402	0.41435282358820585	0.29938254977933404	125.0	137.0	92.0	29.0	42.0	13.0
subimage_G1	5149	0.33783783783783783	0.3794853227125827	0.18543046357615894	0.35492957746478876	0.4344262295081967	0.21303258145363407	0.3676060511415964	0.4551282051282051	0.27734190185834096	125.0	155.0	77.0	50.0	77.0	29.0
subimage_F1	1250	0.3375	0.3428765645230902	0.23160004688782088	0.3500841750841751	0.39794152955299766	0.25558457380969357	0.3818150065746219	0.4144736842105263	0.3002504308623818	110.0	128.0	81.0	31.0	45.0	16.0
subimage_E1	1650	0.34121854436441895	0.36309036594473487	0.2	0.35714285714285715	0.41732283464566927	0.22636103151862463	0.37055837563451777	0.43906738586616634	0.27636602214821177	130.0	153.0	83.0	48.0	69.0	23.0
subimage_D1	2342	0.3433887237976878	0.38016692578348743	0.18715158485943895	0.35507246376811596	0.43596059113300495	0.20969804471578252	0.36799887640449436	0.45282478239714546	0.2666595593461265	142.0	173.0	83.0	58.0	90.0	32.0
subimage_C1	513	0.3303294332420546	0.34010720893952034	0.21815095846645366	0.3558282208588957	0.3795811518324607	0.2668213457076566	0.3735923958624545	0.4317748917748918	0.3043092929163188	145.0	156.0	107.0	36.0	45.0	6.0
subimage_B1	5902	0.34097421203438394	0.35635414088921885	0.17221003102800686	0.35492592862876743	0.44715447154471544	0.1984924623115578	0.3690462631521857	0.46645367412140576	0.2753273175121974	126.0	159.0	71.0	55.0	87.0	32.0
subimage_A1	2875	0.3333333333333333	0.3679837471783296	0.1888111888111888	0.3465909090909091	0.4265536723163842	0.228125	0.3717796720176539	0.45216740347774825	0.27845955803475647	116.0	143.0	75.0	40.0	66.0	27.0
subimage_H2	1013	0.3333333333333333	0.3386735316591367	0.23657664041694762	0.35507246376811596	0.36095764272559855	0.2734375	0.38106185002736725	0.41757177033492826	0.30384696256342275	164.0	164.0	121.0	32.0	39.0	-1.0
subimage_G2	877	0.35083532219570407	0.3387003000750187	0.22828244686589708	0.3611111111111111	0.38164251207729466	0.2560386473429952	0.39096208507973207	0.4017285831477792	0.3055555555555556	152.0	159.0	105.0	43.0	52.0	7.0
subimage_F2	763	0.34013450190905936	0.35232992066657803	0.22262226445348457	0.35119047619047616	0.40059347181008903	0.24923076923076923	0.3877048918426686	0.41226475279106856	0.2785651629072682	119.0	136.0	84.0	34.0	51.0	16.0
subimage_E2	890	0.3396447399952073	0.3433991683991684	0.2060516733136813	0.3551211138661072	0.39466271018793275	0.2532541789021911	0.396029211295034	0.41792234890826435	0.29724308260712423	111.0	124.5	80.0	31.0	43.0	11.0
subimage_D2	2731	0.3475041898808715	0.3437230138169257	0.18701298701298702	0.35903614457831323	0.4282608695652174	0.2119815668202765	0.3743455497382199	0.44938271604938274	0.2970745878749662	157.0	186.0	92.0	63.0	94.0	29.0
subimage_C2	5018	0.3460559796437659	0.38767395626242546	0.17336683417085427	0.3597122302158273	0.4424083769633508	0.19696969696969696	0.3744232148345456	0.45685279187817257	0.26223315118397084	146.0	177.0	78.0	63.0	96.0	32.0
subimage_B2	3069	0.3526252299268512	0.3791871460292907	0.1828507748490588	0.3623853211009174	0.43243243243243246	0.20327102803738317	0.3812485913905792	0.44987775061124696	0.27103430920224814	163.0	194.0	91.0	71.0	103.0	32.0
subimage_A2	6043	0.34421439541923265	0.35307571063058	0.1815577579406918	0.3620309050772627	0.4332493702770781	0.20460358056265984	0.3744151678313667	0.45272206303724927	0.28432797998036047	149.0	175.0	86.0	62.0	92.0	29.0
subimage_H3	881	0.3333333333333333	0.34318555008210183	0.2275132275132275	0.3525	0.3851851851851852	0.2548076923076923	0.41578947368421054	0.4196078431372549	0.29896907216494845	138.0	147.0	97.0	35.0	48.0	14.0
subimage_G3	659	0.3405693602830534	0.3554991672689564	0.23574532085561498	0.3532934131736527	0.38769230769230767	0.2587601078167116	0.3859828332269277	0.40135515069725597	0.28440279162512466	124.0	138.0	92.0	33.0	45.0	13.0
subimage_F3	2705	0.3414337642329265	0.37975706431402634	0.1865316664289902	0.3605769230769231	0.4257703081232493	0.21483375959079284	0.3743367749861066	0.446875	0.2698469500110108	137.0	161.0	81.0	55.0	79.0	24.0
subimage_E3	1502	0.3604716002420679	0.3495969292463195	0.21410181958962446	0.38405797101449274	0.37817258883248733	0.23744859303371119	0.4023419786539844	0.39951573849878935	0.2824904700396951	158.0	157.0	96.0	59.0	57.0	-2.0
subimage_D3	1416	0.33387918486171764	0.38203121746011914	0.19934640522875818	0.34850515882687466	0.41534391534391535	0.23841927460370493	0.3682459244959245	0.43630573248407645	0.2747152811505714	126.0	151.0	86.0	40.0	63.0	24.0
subimage_C3	3926	0.3324191813520363	0.386892177589852	0.1761006289308176	0.3504531722054381	0.4475920679886686	0.20251192870381324	0.36856193948537425	0.46645367412140576	0.27267608517608516	123.0	157.0	70.0	50.0	84.0	33.0
subimage_B3	903	0.3440269318477037	0.34784347826086953	0.22625365435822953	0.3582554517133956	0.3871794871794872	0.2545454545454545	0.38827828340666626	0.41032655287974434	0.28888308886971525	117.0	132.0	85.0	33.0	42.0	7.0
subimage_A3	6700	0.3362547892720307	0.38915040980107574	0.16822429906542055	0.3515151515151515	0.45081967213114754	0.19940476190476192	0.36549898462431096	0.46959459459459457	0.26808937236708785	123.0	156.0	69.0	52.0	85.0	33.0
subimage_H4	1089	0.3416946778711485	0.3497229626523706	0.22185960143987885	0.3551912568306011	0.40058479532163743	0.24316109422492402	0.4070982873832809	0.41866573033707866	0.2847119364203434	123.0	139.0	84.0	39.0	53.0	16.0
subimage_G4	4494	0.3507568367313758	0.3755352715798963	0.18904109589041096	0.3710144927536232	0.4167482061317678	0.21354166666666666	0.3858267716535433	0.44194825724257736	0.25985057471264356	149.0	169.0	91.0	61.0	82.0	19.0
subimage_F4	7072	0.34395702450560767	0.3499585635359116	0.1676470588235294	0.35656836461126007	0.4462809917355372	0.19656019656019655	0.3726027397260274	0.46743718256030303	0.28781325824792664	139.0	174.0	76.0	61.0	95.0	33.0
