subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	17949	0.31958762886597936	0.3974025974025974	0.2153392330383481	0.3342541436464088	0.4401041666666667	0.22437673130193905	0.34276285085672376	0.4514285714285714	0.2698019801980198	121.0	159.0	81.0	39.0	78.0	38.0
subimage_G1	17641	0.3277310924369748	0.4	0.2127659574468085	0.34345794392523366	0.4346846846846847	0.2209026128266033	0.35083532219570407	0.4441687344913151	0.26265060240963856	143.0	180.0	91.0	51.0	89.0	37.0
subimage_F1	18519	0.32063492063492066	0.4015957446808511	0.21470588235294116	0.3324396782841823	0.44089456869009586	0.22580645161290322	0.3421750663129973	0.45307443365695793	0.26738589727645806	119.0	158.0	80.0	36.0	74.0	38.0
subimage_E1	21146	0.31788079470198677	0.40533495145631065	0.21388888888888888	0.3323943661971831	0.4428969359331476	0.22448979591836735	0.34328358208955223	0.4539249146757679	0.2635816902595214	118.0	156.0	79.0	37.0	75.0	38.0
subimage_D1	9190	0.32674522381815646	0.39799616526937104	0.21452659106741123	0.335978835978836	0.43548387096774194	0.22916666666666666	0.34405940594059403	0.44708090744830353	0.2658397653596789	125.0	161.0	85.0	38.0	74.0	36.0
subimage_C1	7671	0.32064354727398203	0.39225774225774224	0.2267080745341615	0.32967032967032966	0.42857142857142855	0.24157303370786518	0.3435374149659864	0.4430379746835443	0.27228915662650605	113.0	147.0	82.0	30.0	64.0	33.0
subimage_B1	7096	0.3177570093457944	0.38940064102564104	0.22347444222444224	0.329608938547486	0.4308812380728309	0.2410022120807509	0.3460410557184751	0.4458204334365325	0.2758040822638008	109.0	143.0	79.0	29.0	62.0	33.0
subimage_A1	2595	0.32620320855614976	0.3538294918078312	0.2430771382614169	0.34974093264248707	0.3870192307692308	0.26380368098159507	0.3689476143502414	0.4233983286908078	0.2832618025751073	152.0	171.0	116.0	39.0	54.0	18.0
subimage_H2	13098	0.31901510653737053	0.3972602739726027	0.21159420289855072	0.3303834808259587	0.4444444444444444	0.22443890274314215	0.34108527131782945	0.4588235294117647	0.27206145584725533	115.0	155.0	78.0	35.0	74.0	39.0
subimage_G2	19160	0.3255131964809384	0.3994578288056549	0.21148825065274152	0.33753148614609574	0.43958868894601544	0.22193877551020408	0.3471502590673575	0.45307486747008857	0.2642369020501139	133.0	173.0	87.0	45.0	85.0	39.0
subimage_F2	21508	0.31833910034602075	0.40482153816337735	0.20689655172413793	0.3367088607594937	0.44473007712082263	0.21808510638297873	0.3474747474747475	0.4588607594936709	0.2630272952853598	125.0	164.0	81.0	44.0	84.0	39.0
