subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	10372	0.3410067255149222	0.3906770683086473	0.19047619047619047	0.354014598540146	0.43209876543209874	0.21553884711779447	0.3627556273105901	0.45454545454545453	0.26025581779171475	134.0	163.0	81.0	51.0	79.0	29.0
subimage_G1	13885	0.3325012406947891	0.4034740316136877	0.1875	0.3467048710601719	0.44675324675324674	0.20670391061452514	0.35792349726775957	0.4636363636363636	0.25629201680672264	125.0	161.0	73.0	50.0	84.0	35.0
subimage_F1	14962	0.3347746453411481	0.40360131480291345	0.18449197860962566	0.3494318181818182	0.44881889763779526	0.20054945054945056	0.35911602209944754	0.463768115942029	0.25621694896304986	128.0	164.0	73.0	54.0	90.0	35.0
subimage_E1	18551	0.3369447835477509	0.40302267002518893	0.1834319526627219	0.349862258953168	0.4490861618798956	0.1974025974025974	0.3619047619047619	0.46808510638297873	0.25125003125078127	127.0	160.0	72.0	52.0	88.0	35.0
subimage_D1	2809	0.3333333333333333	0.3874339196530396	0.20196466223173862	0.34310850439882695	0.41935483870967744	0.23626373626373626	0.3638651651424684	0.4441489361702128	0.27156511350059737	129.0	157.0	87.0	37.0	65.0	27.0
subimage_C1	2862	0.3371104815864023	0.3560229255909884	0.22507168311026832	0.3515625	0.40051349997363284	0.24866294866294866	0.3742665742665742	0.4281980862174323	0.2835527519328842	139.0	161.0	98.0	42.0	57.5	21.0
subimage_B1	2164	0.3563272523863657	0.34355828220858897	0.26713416198489687	0.3642278314960963	0.3470319634703196	0.2887000768049155	0.3812584853803106	0.35095137420718814	0.29922297503509737	237.0	224.0	186.0	49.0	38.0	-12.0
subimage_A1	7750	0.3392330383480826	0.38636363636363635	0.1875	0.3522727272727273	0.44505494505494503	0.20334261838440112	0.36182336182336183	0.4571072417886822	0.26775184275184266	132.0	167.0	75.0	55.0	90.0	34.0
subimage_H2	11793	0.3372093023255814	0.4015151515151515	0.17994100294985252	0.3464566929133858	0.4520123839009288	0.2012779552715655	0.3558282208588957	0.46932515337423314	0.2563712091630873	120.0	157.0	69.0	49.0	84.0	36.0
subimage_G2	13738	0.3344692602158472	0.4022688968335036	0.1844380403458213	0.3463687150837989	0.4495677233429395	0.20323891948596906	0.36009826910227805	0.4658385093167702	0.2549092409240924	123.0	159.0	72.0	50.0	86.0	36.0
