subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	1329	0.33078529417399466	0.35	0.23127035830618892	0.33974358974358976	0.40924092409240925	0.24923076923076923	0.3857456772692472	0.42636113621939725	0.2846820102678727	113.0	136.0	82.0	31.0	53.0	23.0
subimage_G1	7463	0.3333333333333333	0.3888888888888889	0.19164619164619165	0.3608490566037736	0.43174603174603177	0.20963855421686747	0.3732180100601153	0.4441735252082204	0.26045738581459765	140.0	167.0	79.0	58.0	83.0	27.0
subimage_F1	4777	0.33860759493670883	0.3823392293980529	0.19887955182072828	0.35127478753541075	0.42765273311897106	0.22259136212624583	0.3633879781420765	0.44662921348314605	0.27120202610559124	126.0	153.0	76.0	45.0	70.0	27.0
subimage_E1	3417	0.3344594594594595	0.3852415761927419	0.20915342537119042	0.346031746031746	0.40809968847352024	0.2468354430379747	0.3693284193284193	0.4323529411764706	0.27436033089649864	113.0	132.0	79.0	32.0	52.0	20.0
subimage_D1	895	0.3298038766788767	0.3534514758497317	0.24501088973138663	0.34050179211469533	0.3948339483394834	0.2618296529968454	0.3675926267962026	0.4143346007604563	0.2883789523360075	102.0	120.0	79.0	24.0	39.0	16.0
subimage_C1	190	0.32410223732653637	0.3438198757763975	0.24026974951830443	0.33428599425137184	0.3936240709983727	0.2693454097066364	0.3665328805186786	0.41391058688746546	0.2939349832541475	115.0	138.0	91.0	22.0	41.0	21.0
subimage_B1	11141	0.3333333333333333	0.4014778325123153	0.17770034843205576	0.3469387755102041	0.45664739884393063	0.195906432748538	0.35546875	0.4707792207792208	0.2601010101010101	114.0	149.0	64.0	48.0	83.0	35.0
subimage_A1	7849	0.3357558447053845	0.39337704918032784	0.1840277777777778	0.34770114942528735	0.44785276073619634	0.20498614958448755	0.35782747603833864	0.46287365103619516	0.2683587213044411	116.0	149.0	67.0	45.0	77.0	32.0
subimage_H2	9548	0.34598543927064496	0.3922902494331066	0.19143307593307593	0.36585365853658536	0.4254429562973039	0.2084507042253521	0.37447698744769875	0.4475920679886686	0.25548392266561765	172.0	197.0	97.0	71.0	95.0	27.0
subimage_G2	9488	0.3365695792880259	0.4017653620773077	0.18487394957983194	0.3520408163265306	0.4461942257217848	0.20125786163522014	0.36303630363036304	0.45879120879120877	0.2523288767739702	129.0	164.0	74.0	54.0	85.0	34.0
subimage_F2	5541	0.34017595307917886	0.39054726368159204	0.18584070796460178	0.3491686460807601	0.4360313315926893	0.21465968586387435	0.3681159420289855	0.4556213017751479	0.2621145374449339	130.0	162.0	79.0	50.0	82.0	32.0
subimage_E2	4377	0.328981656094634	0.3961352657004831	0.1881918819188192	0.3373493975903614	0.436241610738255	0.22699386503067484	0.3543307086614173	0.46441947565543074	0.2643211334120425	107.0	139.0	72.0	35.0	66.0	31.0
subimage_D2	11739	0.3361799217731421	0.402375415282392	0.17765042979942694	0.34916201117318435	0.45287958115183247	0.1977401129943503	0.35919540229885055	0.4670487106017192	0.25675675675675674	125.0	161.0	70.0	53.0	89.0	36.0
subimage_C2	9323	0.3353658536585366	0.39780399437075187	0.17664670658682635	0.3489010989010989	0.4548022598870056	0.19578313253012047	0.36082474226804123	0.46846846846846846	0.256837929389601	119.0	155.0	66.0	51.0	86.0	36.0
subimage_B2	8682	0.3344155844155844	0.39740588525398657	0.17717717717717718	0.3460490463215259	0.453781512605042	0.20055710306406685	0.3567251461988304	0.47058823529411764	0.2598961366724907	119.0	156.0	68.0	48.0	84.0	36.0
subimage_A2	5003	0.3302115024039338	0.39510837748176847	0.19565991025839394	0.34011627906976744	0.4362017804154303	0.22424242424242424	0.3502994011976048	0.4583041958041957	0.26814490583424516	112.0	144.0	74.0	38.0	70.0	32.0
subimage_H3	11877	0.3380281690140845	0.40033542976939207	0.18157894736842106	0.35475578406169667	0.44680851063829785	0.19910514541387025	0.3629032258064516	0.4601063829787234	0.2523435421802124	138.0	174.0	76.0	61.0	97.0	35.0
subimage_G3	1148	0.3354174856513877	0.35879977441640315	0.24134648370497427	0.34256055363321797	0.3978298406718468	0.2596491228070175	0.36391749681671787	0.4156734312686152	0.2822166006395876	101.0	117.0	77.0	25.0	41.0	17.0
subimage_F3	6239	0.33993399339933994	0.3905875835098582	0.19109947643979058	0.3545706371191136	0.43373493975903615	0.21212121212121213	0.3676092544987147	0.4498408187965375	0.2606380040212496	131.0	159.0	77.0	50.0	76.0	28.0
subimage_E3	2210	0.3324670392996809	0.3872134238310709	0.20193685306740722	0.34441087613293053	0.4263803680981595	0.22981366459627328	0.3577574571467135	0.4483511220580186	0.27086635446685875	111.0	138.0	75.0	37.0	63.0	26.0
subimage_D3	5209	0.3333333333333333	0.4	0.1799136690647482	0.3457142857142857	0.44574780058651026	0.20903954802259886	0.355596082404593	0.4664429530201342	0.25947158853421903	115.0	149.0	70.0	46.0	79.0	33.0
subimage_C3	10981	0.33658536585365856	0.3994910941475827	0.16510903426791276	0.349862258953168	0.4585635359116022	0.19101123595505617	0.36482084690553745	0.47692307692307695	0.2526041666666667	120.0	158.0	66.0	55.0	91.0	37.0
subimage_B3	5349	0.3355631378887193	0.3954748849814079	0.1793103448275862	0.34844192634560905	0.4472049689440994	0.2040133779264214	0.35786802030456855	0.4691780821917808	0.26341757134596006	113.0	145.0	67.0	46.0	79.0	32.0
subimage_A3	1513	0.3352714506624315	0.3533089199330892	0.2526446769883524	0.34256055363321797	0.38652482269503546	0.26997840172786175	0.379256605463502	0.3972787233061206	0.28452288635917156	101.0	115.0	80.0	22.0	35.0	13.0
subimage_H4	12798	0.34277486771072746	0.40330043093407875	0.1736842105263158	0.35731414868105515	0.44902912621359226	0.19365079365079366	0.3648960739030023	0.46757679180887374	0.24934485462044517	140.0	176.0	75.0	63.0	99.0	35.0
subimage_G4	2317	0.3395462144733699	0.3736500059080704	0.22154930645039037	0.35081967213114756	0.40923076923076923	0.24096385542168675	0.375	0.4215754594520735	0.2695214105793451	113.0	131.0	77.0	35.0	54.0	19.0
subimage_F4	1105	0.33448275862068966	0.35543834555098636	0.24359630523262898	0.3425076452599388	0.39365079365079364	0.2627986348122867	0.3832549634273772	0.4033118279569892	0.2825434129781956	103.0	119.0	79.0	24.0	39.0	16.0
subimage_E4	3745	0.3407821229050279	0.36678649311707784	0.2085889570552147	0.35331230283911674	0.39156626506024095	0.2565789473684211	0.38233804914370806	0.4253466252057801	0.27586206896551724	115.0	127.0	82.0	31.0	43.0	13.0
subimage_D4	3713	0.3311897106109325	0.39504808676079395	0.1932545221478422	0.33881578947368424	0.43333333333333335	0.22796352583586627	0.35370336567489014	0.4567822558562146	0.2650273224043716	105.0	135.0	71.0	35.0	64.0	29.0
subimage_C4	4741	0.3315508021390374	0.39400921658986177	0.19434628975265017	0.3449367088607595	0.4273743016759777	0.22674418604651161	0.3641791044776119	0.45454545454545453	0.2647058823529412	114.0	142.0	75.0	39.0	66.0	28.0
subimage_B4	2290	0.34461525224424244	0.37660265966962847	0.21017189298043729	0.36	0.4144736842105263	0.22413793103448276	0.3826086956521739	0.4349336165693043	0.2665067474108772	122.0	136.0	75.0	45.0	60.0	18.0
subimage_A4	1275	0.3322854251815404	0.36425589485890997	0.24651578320428827	0.34415584415584416	0.38562091503267976	0.2698412698412698	0.36142510752532975	0.4066666666666667	0.2861597823398466	106.0	120.0	84.0	23.0	36.0	13.0
subimage_H5	1704	0.33447455732480286	0.3475614985330625	0.216308055628444	0.3431503968879777	0.39935064935064934	0.2578706456902921	0.3969079593842121	0.41603053435114506	0.28824614005099897	110.0	127.0	82.0	28.0	45.0	19.0
subimage_G5	5884	0.33647798742138363	0.4050632911392405	0.17090372217777985	0.34674922600619196	0.43661971830985913	0.21766561514195584	0.36933500950269244	0.4645355753832075	0.2515527950310559	112.0	142.0	69.0	41.0	70.0	29.0
subimage_F5	4271	0.3414933780787439	0.39245405322961946	0.19236835719485562	0.35428571428571426	0.4247787610619469	0.22	0.3734567901234568	0.44787004233992916	0.25860096267655647	126.0	151.0	78.0	48.0	73.0	25.0
subimage_E5	1817	0.3455614973262032	0.35933062007402033	0.2376307881684226	0.3611940298507463	0.38636363636363635	0.2514450867052023	0.3734229738956878	0.4	0.28282170010861485	125.0	134.0	86.0	38.0	47.0	9.0
subimage_D5	5140	0.3352932601612073	0.401001885902876	0.1790507676937638	0.34615384615384615	0.4475416558749892	0.20644251217671675	0.3531789164941339	0.4717607973421927	0.25822854360829045	116.0	150.0	70.0	47.0	81.0	34.0
subimage_C5	11606	0.3355048859934853	0.4051342100522428	0.17065101878154953	0.3523035230352303	0.4596100278551532	0.18825344952795933	0.3626062322946176	0.4732142857142857	0.2527482269503546	123.0	160.0	65.0	55.0	91.0	37.0
subimage_B5	1683	0.35812133072407043	0.3582858894630814	0.20354207480465672	0.37740384615384615	0.39896373056994816	0.22028985507246376	0.39323412174066247	0.42405955193619194	0.27734216852226723	153.0	161.0	89.0	62.0	71.0	8.0
subimage_A5	1849	0.34074074074074073	0.3664513356529936	0.21956261423079346	0.35051546391752575	0.412987012987013	0.23544303797468355	0.3675776696005055	0.42699724517906334	0.2745580199292832	137.0	161.0	91.0	45.0	68.0	24.0
subimage_H6	11131	0.34210526315789475	0.4	0.17579250720461095	0.3548387096774194	0.4529262086513995	0.19230769230769232	0.36284450063211127	0.4657142857142857	0.25234995586937337	134.0	171.0	72.0	60.0	96.0	36.0
subimage_G6	2947	0.34625537732540246	0.36589756097560977	0.19548289645392986	0.36085626911314983	0.42048517520215634	0.2177650429799427	0.37532133676092544	0.4406981382978723	0.2778711152510796	128.0	151.0	78.0	50.0	72.0	21.0
subimage_F6	2354	0.3333333333333333	0.3582118535858693	0.22727272727272727	0.34355828220858897	0.4067796610169492	0.24925816023738873	0.37557079366462603	0.4230769230769231	0.28125	114.0	136.0	83.0	32.0	51.0	21.5
subimage_E6	4765	0.3419354838709677	0.3818945054945055	0.18157181571815717	0.35625	0.4296875	0.21451104100946372	0.37823834196891193	0.44935064935064933	0.26717125921448126	129.0	154.0	76.0	49.0	75.0	26.0
subimage_D6	7060	0.3430635715498218	0.3885429651537001	0.1864406779661017	0.36181620352474625	0.4293126421620749	0.209366391184573	0.37897310513447435	0.445	0.26031034335860953	142.0	164.0	80.5	55.0	82.0	26.0
subimage_C6	2009	0.33951878137441577	0.38486868551520836	0.17647058823529413	0.35276073619631904	0.428169014084507	0.21763085399449036	0.36616639729084893	0.46717019417749345	0.2668352022426912	120.0	147.0	75.0	46.0	73.0	27.0
subimage_B6	1934	0.3408835135925168	0.3609465111160026	0.24268502307814738	0.3501683501683502	0.3952702702702703	0.2550335570469799	0.3702460470413035	0.40327868852459015	0.2783559742346024	106.0	120.0	77.0	29.0	42.0	14.0
subimage_A6	1393	0.3333333333333333	0.3525285605483625	0.21359274289806637	0.34551495016611294	0.419672131147541	0.234375	0.3771414792935077	0.4393091334894613	0.2871109631155475	102.0	124.0	69.0	34.0	55.0	22.0
