subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	1078	0.32106759373349764	0.35068578714197407	0.2341676897675797	0.32978723404255317	0.4128787878787879	0.25539568345323743	0.37201260539988074	0.4315903067020068	0.28964237516869096	95.0	120.0	72.0	22.0	45.0	24.0
subimage_G1	2356	0.3094108465674008	0.3872749709639954	0.22309275907522327	0.3382992102683608	0.41237113402061853	0.24921135646687698	0.3557422969187675	0.4467666473233715	0.27457239647493603	107.0	129.0	79.0	28.0	51.0	23.0
subimage_F1	2364	0.3166975308641975	0.3754028630322632	0.23958333333333334	0.34375	0.39697515510192416	0.2578947368421053	0.3639130159419503	0.4158809105209586	0.29364572779466397	98.0	114.0	73.0	25.0	39.0	16.0
subimage_E1	2039	0.33717249897076984	0.3689839572192513	0.22093023255813954	0.35327635327635326	0.4090909090909091	0.23646723646723647	0.37089480503197225	0.4325153374233129	0.27294117647058824	121.0	142.0	81.0	39.0	61.0	20.0
subimage_D1	14257	0.32996632996632996	0.39660056657223797	0.15755627009646303	0.3445121951219512	0.4624624624624625	0.19142857142857142	0.35571000344855025	0.4918032786885246	0.2639239382815107	113.0	151.0	63.0	49.0	88.0	38.0
subimage_C1	7159	0.3315053356542799	0.3839818400783233	0.16666666666666666	0.3504531722054381	0.4426229508196721	0.20809248554913296	0.36626506024096384	0.48120300751879697	0.26623981232919774	118.0	152.0	70.0	49.0	80.0	32.0
subimage_B1	3944	0.3460803802938634	0.3759736434108527	0.19410933773619518	0.35707041437264564	0.4146919431279621	0.22715043070091057	0.38291911959935176	0.43902439024390244	0.2654462242562929	143.0	165.0	90.0	51.0	73.0	22.0
subimage_A1	3212	0.3372242797233266	0.3670227710433896	0.19946808510638298	0.35519166196320784	0.4124293785310734	0.2376108368016958	0.3801690120585908	0.43874643874643876	0.2727272727272727	139.0	164.0	93.0	46.0	67.0	23.0
subimage_H2	863	0.3209942084942085	0.378955857385399	0.2324021620497895	0.3333333333333333	0.4064748201438849	0.2585669781931464	0.3657420013614704	0.4259036144578313	0.2882576454005025	95.0	117.0	73.0	20.0	41.0	21.0
subimage_G2	1613	0.3273376623376623	0.3782232532352898	0.24305555555555555	0.33633633633633636	0.40189873417721517	0.26031746031746034	0.3603797457075904	0.4166666666666667	0.28291386033321514	108.0	129.0	84.0	24.0	45.0	22.0
subimage_F2	2385	0.3418181818181818	0.3473878457939819	0.210687900078064	0.37346437346437344	0.3944954128440367	0.22869955156950672	0.39303482587064675	0.41379310344827586	0.29334446270226566	157.0	165.0	94.0	59.0	69.0	7.0
subimage_E2	2540	0.33810888252148996	0.3780487804878049	0.20846905537459284	0.3531789311605825	0.4131316539211276	0.23929002149861045	0.3695709990749306	0.43506607427660055	0.26730428412769675	124.0	147.0	85.0	40.0	60.0	20.0
subimage_D2	7429	0.34254613847419774	0.3836477987421384	0.15856297430898836	0.3566666666666667	0.44862155388471175	0.19032258064516128	0.3770491803278688	0.4810606060606061	0.2652223453078018	129.0	155.0	68.0	53.0	85.0	31.0
subimage_C2	12514	0.3333333333333333	0.406007867079142	0.1747404521725478	0.34782608695652173	0.456587136462302	0.1951219512195122	0.35784313725490197	0.4772727272727273	0.2516756337428993	127.0	165.0	70.0	52.0	90.0	39.0
subimage_B2	16468	0.3386317165201627	0.40249325726141083	0.17702932491599632	0.3522167487684729	0.4507042253521127	0.19464720194647203	0.36257309941520466	0.4713864347379334	0.2541427595628415	138.0	176.0	77.0	60.0	100.0	38.0
subimage_A2	16416	0.3372093023255814	0.40834833607182447	0.17455352339967725	0.35097493036211697	0.4583333333333333	0.18925831202046037	0.3615447256326735	0.47277936962750716	0.24539015032315847	128.0	167.0	68.0	58.0	98.0	38.0
subimage_H3	2214	0.32472961122478805	0.38060694402819023	0.2576271186440678	0.33222591362126247	0.3959731543624161	0.27205276552115565	0.3526338767615363	0.40588673930154523	0.2866113062285453	102.0	122.0	84.0	18.0	38.0	20.0
subimage_G3	2888	0.3315431574583603	0.3647497269845309	0.21548669979538146	0.3672922252010724	0.3925729442970822	0.2371967654986523	0.3888888888888889	0.4250085999312006	0.2798149054142205	143.0	149.0	89.0	49.0	59.0	8.0
subimage_F3	1487	0.3490550574505401	0.35479545244903604	0.23977086221457367	0.3618421052631579	0.3819241982507289	0.2536443148688047	0.379946587537092	0.40350877192982454	0.2789366272824919	118.0	124.0	82.0	35.0	41.0	6.0
subimage_E3	3137	0.3343465045592705	0.3531489416958837	0.2365446091252543	0.34421364985163205	0.39710144927536234	0.25825825825825827	0.36782430213464695	0.4153846153846154	0.2837188565221444	112.0	130.0	85.0	28.0	46.0	17.0
subimage_D3	8115	0.3263888888888889	0.39431502281633785	0.17647058823529413	0.33916083916083917	0.44166666666666665	0.22073578595317725	0.3552961402325973	0.47540983606557374	0.26685640383538173	103.0	134.0	67.0	36.0	67.0	31.0
subimage_C3	4943	0.3485342019543974	0.3524310805619805	0.20408767057118707	0.3592233009708738	0.3983516483516483	0.24269005847953215	0.3806818181818182	0.4314229691876751	0.27961575701982366	119.0	133.0	80.0	40.0	52.0	14.0
subimage_B3	9599	0.33894163434604613	0.38492714115195376	0.1561433758077856	0.3543859649122807	0.44495412844036697	0.2012987012987013	0.3673469387755102	0.49242653117275476	0.2645739910313901	130.0	160.0	72.0	53.0	83.0	32.0
subimage_A3	10917	0.3388704318936877	0.383400822295177	0.16791044776119404	0.35507246376811596	0.4343891402714932	0.20794392523364486	0.3674540682414698	0.47794117647058826	0.2696907331182555	143.0	169.0	84.0	54.0	84.0	31.0
