subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	14292	0.33433734939759036	0.39950752552106783	0.18285861341024998	0.36511627906976746	0.43805309734513276	0.19825708061002179	0.37130801687763715	0.4563106796116505	0.24932710627154073	161.0	194.0	86.0	74.0	106.0	32.0
subimage_G1	16853	0.33420777793046585	0.4046463677775114	0.185378590078329	0.34834123222748814	0.44938271604938274	0.20224719101123595	0.3580373212086767	0.4624277456647399	0.2553994439295644	130.0	165.0	75.0	53.0	89.0	37.0
subimage_F1	22584	0.33593980230844794	0.4056429828510621	0.1834862385321101	0.34972677595628415	0.44642857142857145	0.20294117647058824	0.36	0.4633333333333333	0.25251775177517743	129.0	163.0	75.0	53.0	88.0	35.0
subimage_E1	13844	0.3292428237550189	0.39540816326530615	0.1831831831831832	0.34195402298850575	0.44931506849315067	0.2093706955922865	0.3515151515151515	0.4695121951219512	0.26902173913043476	118.0	155.0	71.0	45.0	81.0	37.0
subimage_D1	4808	0.3343949044585987	0.39165868590132136	0.20435967302452315	0.3459655799703193	0.422680412371134	0.23055555555555557	0.36836886834650356	0.4410958904109589	0.261825887359977	126.0	153.0	83.0	42.0	69.0	28.0
subimage_C1	16682	0.3311897106109325	0.4099232177991165	0.181058495821727	0.3473389355742297	0.45430809399477806	0.19662921348314608	0.3577023498694517	0.47142616642616636	0.24997165532879756	126.0	165.0	71.0	54.0	94.0	38.0
subimage_B1	20205	0.3342776203966006	0.41138257575757575	0.1792717086834734	0.34844192634560905	0.45427728613569324	0.19584569732937684	0.35883905013192613	0.46956521739130436	0.2482758620689655	123.0	161.0	70.0	54.0	92.0	37.0
subimage_A1	17117	0.3333333333333333	0.40816326530612246	0.18092105263157895	0.3485714285714286	0.455026455026455	0.19559228650137742	0.35809018567639256	0.4697406340057637	0.25	123.0	161.0	69.0	53.0	91.0	38.0
subimage_H2	3066	0.3333333333333333	0.3823691014867485	0.206266318537859	0.34541577825159914	0.40667409048079395	0.25	0.3648559977300135	0.43643897538925164	0.2752688172043011	142.0	167.0	102.0	40.0	63.5	25.0
subimage_G2	7391	0.3353658536585366	0.38826081408702307	0.1942675159235669	0.3492957746478873	0.43034055727554177	0.22058823529411764	0.36666666666666664	0.4511784511784512	0.26382366459503204	114.0	142.0	73.0	41.0	68.0	26.0
subimage_F2	12819	0.3292645403377111	0.3931997344618704	0.18082191780821918	0.3487179487179487	0.4463768115942029	0.20595533498759305	0.3618602169420092	0.4666666666666667	0.26622205338173427	132.0	168.0	76.0	53.0	88.0	37.0
