subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2398	0.3375401809539176	0.3922001527883881	0.19736842105263158	0.3494760807548826	0.43157894736842106	0.21875	0.3563692985215477	0.4506578947368421	0.2656461148648649	125.0	153.0	80.0	46.0	76.0	29.0
subimage_G1	9120	0.34375	0.3984975757301131	0.18461538461538463	0.3561976089849861	0.4450402144772118	0.1981671792826176	0.36492890995260663	0.4597014925373134	0.2532231381520485	141.0	172.0	79.0	60.0	94.0	34.0
subimage_F1	3252	0.3356563725252916	0.37875886524822694	0.20236010746711136	0.3484042553191489	0.41638784759133884	0.2334384858044164	0.38222222222222224	0.43850325800279255	0.27215710541642396	107.0	130.0	71.0	35.0	56.0	21.0
subimage_E1	11658	0.34025974025974026	0.3995381062355658	0.18032786885245902	0.35340314136125656	0.44923857868020306	0.19726027397260273	0.36387434554973824	0.46355685131195334	0.2536694575900983	132.0	167.0	73.0	58.0	93.0	35.0
subimage_D1	16243	0.33865814696485624	0.4086043584818176	0.18006430868167203	0.353099730458221	0.45	0.1951219512195122	0.3634085213032581	0.46607669616519176	0.2466032356040414	130.0	167.0	71.0	58.0	92.0	36.0
subimage_C1	4650	0.33749710921239323	0.3969465648854962	0.17829457364341086	0.3469387755102041	0.44166666666666665	0.21067041198501874	0.35294117647058826	0.47388059701492535	0.2620931193201936	121.0	153.0	74.0	47.0	79.0	33.0
subimage_B1	12738	0.33962264150943394	0.404693930610258	0.1744186046511628	0.35171508733822066	0.45526315789473687	0.19298245614035087	0.3608815426997245	0.46920821114369504	0.24822944175926387	124.0	160.0	68.0	55.0	92.0	36.0
subimage_A1	13112	0.3403192023077888	0.4049814049586777	0.17647058823529413	0.3522388059701492	0.45257452574525747	0.19553072625698323	0.3620689655172414	0.4658753709198813	0.24841031351032283	123.0	158.0	67.0	54.0	88.0	34.0
subimage_H2	3680	0.3390173828195584	0.39330443594914866	0.19387755102040816	0.347600317892213	0.43699731903485256	0.21502590673575128	0.36250563063063057	0.45757832562917305	0.2613941192059829	128.0	161.0	79.0	48.0	80.0	33.0
subimage_G2	3341	0.3403805496828753	0.3923766816143498	0.18562874251497005	0.35294117647058826	0.43640897755610975	0.2109375	0.3617021276595745	0.45565749235474007	0.26258205689277897	136.0	168.0	81.0	54.0	87.0	32.0
