experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,A,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,B,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,C,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,D,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,E,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,F,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,G,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,H,1,MOCK,N2C3,col0,0,0.1,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,A,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,B,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,C,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,D,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,E,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,F,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,G,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,H,2,MOCK,N2C3,col0,0,0.01,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,A,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,B,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,C,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-26,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,D,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,E,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-28,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
2023-05-03_age_concentration,age_concentration_n2c3001_cropped,F,3,MOCK,N2C3,col0,0,0.001,2023-04-24,2023-04-27,2023-05-03,2023-05-10,12_12,140,23_20,0.5,0.5,5.8,
