experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,1,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,1,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,C,1,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,D,1,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E,1,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,F,1,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,G,1,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,H,1,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,2,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,2,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,C,2,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,D,2,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E,2,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,F,2,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,G,2,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,H,2,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,3,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,3,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,C,3,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,D,3,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E,3,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,F,3,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,G,3,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,H,3,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,4,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,4,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,C,4,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,D,4,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E,4,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,F,4,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,G,4,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,H,4,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,5,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,5,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,C,5,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,D,5,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,E,5,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,F,5,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,G,5,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,H,5,MOCK,N2C3,,0,0.001,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,A,6,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
2023-05-16_basiceffects_n2c3,MYC_275_003_cropped,B,6,MOCK,MOCK,,0,0,2023-05-08,2023-05-11,2023-05-16,2023-05-23,12_12,140,23_20,0.5,0.5,5.8,myc275
