experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-06-07_ccpwn,ccpwn001_a,A,1,CHAO,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,B,1,CHAO,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,C,1,CHAO,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,D,1,CHAO,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,E,1,CHAO,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,F,1,CHAO,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,G,1,CHAO,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,H,1,CHAO,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,A,2,CH267,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,B,2,CH267,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,C,2,CH267,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,D,2,CH267,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,E,2,CH267,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,F,2,CH267,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,G,2,CH267,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,H,2,CH267,MOCK,col0,0.01,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,A,3,MOCK,N2C3,col0,0,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,B,3,MOCK,N2C3,col0,0,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,C,3,MOCK,N2C3,col0,0,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,D,3,MOCK,N2C3,col0,0,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,E,3,MOCK,MOCK,col0,0,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,F,3,MOCK,MOCK,col0,0,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,G,3,MOCK,MOCK,col0,0,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,H,3,MOCK,MOCK,col0,0,0,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
2023-06-07_ccpwn,ccpwn001_a,A,4,WCS365,N2C3,col0,0.01,0.01,2023-05-29,2023-06-02,2023-06-07,2023-06-14,16_8,60,23_23,0.5,0.5,5.8,
