experiment,plate,row,col,protect,protect_v2,path,path_v2,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,A,1,WCS365,WCS365,MOCK,N2C3,col0,0.01,0,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,B,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,0.009,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,C,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,9E-05,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,D,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,9E-07,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,E,1,WCS365,WCS365,MOCK,N2C3,col0,0.01,0,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,F,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,0.009,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,G,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,9E-05,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,H,1,WCS365,WCS365,N2C3,N2C3,col0,0.01,9E-07,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,A,2,WCS365,WCS365,MOCK,N2C3,col0,0.001,0,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
2023-06-14_age_concentration_Pf5_PROPER,N2C3_WCS365_5day_002_a,B,2,WCS365,WCS365,N2C3,N2C3,col0,0.001,0.009,2023-06-05,2023-06-09,2023-06-14,2023-06-21,12_12,110,23_23,0.5,0.5,5.8,5
