subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4955	0.3371824480369515	0.3898305084745763	0.191685303514377	0.3524229074889868	0.4339152119700748	0.21271393643031786	0.3620178041543027	0.45671641791044776	0.26651528145953535	135.0	164.0	82.0	53.0	85.0	31.0
subimage_G1	2882	0.3291933152942624	0.367063696880666	0.19074192083443206	0.34498834498834496	0.42939481268011526	0.22686567164179106	0.3753837130611324	0.458215000978783	0.27563946216385243	124.0	154.0	80.0	42.0	72.0	31.0
subimage_F1	1816	0.3333333333333333	0.37929088503152486	0.23330670926517572	0.3404255319148936	0.4037854889589905	0.25696594427244585	0.3568539532914033	0.41875564079422384	0.2779187088718416	109.0	130.0	82.0	27.0	47.0	21.0
subimage_E1	4992	0.344209591746922	0.3917784092243384	0.19148936170212766	0.3577981651376147	0.4261501210653753	0.21640941080474618	0.3740053050397878	0.4410232711668592	0.25813449023861174	147.0	174.0	88.0	57.0	85.0	28.0
subimage_D1	2929	0.3395638629283489	0.383733958699759	0.23322683706070288	0.3464788732394366	0.4035608308605341	0.2492753623188406	0.359375	0.41509433962264153	0.2693333333333333	114.0	133.0	82.0	32.0	50.0	19.0
subimage_C1	7293	0.3389830508474576	0.3922572013880179	0.177470557131183	0.3517915309446254	0.4503105590062112	0.19814241486068113	0.3638968481375358	0.46588885891556514	0.25971419270102486	129.0	165.0	71.0	56.0	91.0	36.0
subimage_B1	4330	0.33687002652519893	0.3885331599832067	0.19294117647058823	0.35959018970757783	0.43392070484581496	0.20698924731182797	0.3696682464454976	0.4483318075475537	0.264769820971867	154.0	181.0	87.0	58.0	87.0	31.0
subimage_A1	2449	0.35630826319123904	0.1930945311751748	0.22938144329896906	0.37303370786516854	0.35571687840290384	0.26159554730983303	0.3891992551210428	0.4005012719776433	0.43530698456532735	173.0	170.0	133.0	55.0	51.0	-14.0
subimage_H2	9695	0.3384615384615385	0.39949748743718594	0.17318435754189945	0.34916201117318435	0.45645645645645644	0.19382022471910113	0.359375	0.47298584298584295	0.2573119831486971	126.0	162.0	69.0	53.0	89.0	37.0
subimage_G2	8190	0.33442037470725994	0.3860476568151512	0.1754089068825911	0.3477088948787062	0.4576719576719577	0.19476744186046513	0.36137919866753027	0.4723127035830619	0.26579712624016416	122.0	159.0	68.0	52.0	89.0	38.0
subimage_F2	1466	0.3552576894304388	0.34410925967345113	0.2692307692307692	0.363905325443787	0.3489827856025039	0.28724221328888455	0.3751509661835749	0.35566188197767146	0.2990930153707052	238.0	229.0	187.0	50.0	40.0	-10.0
subimage_E2	2563	0.3442664453206059	0.3678607262302915	0.1928020565552699	0.3575	0.4252577319587629	0.21658986175115208	0.371624454854825	0.44584382871536526	0.2727272727272727	149.0	177.0	90.0	59.0	87.0	28.0
