subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	1869	0.34495736331179366	0.37696864209314734	0.22265582570504294	0.3565459610027855	0.40458015267175573	0.2388451443569554	0.3654131054131054	0.41961906858967296	0.2709716700691236	135.0	153.0	91.0	43.0	62.0	18.0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	1003	0.3311897106109325	0.37825425347643793	0.24600638977635783	0.33980582524271846	0.40061162079510704	0.26006191950464397	0.3578346855983773	0.40789473684210525	0.2790400285493368	108.0	127.0	82.0	26.0	44.0	19.0
subimage_E1	2116	0.34005037783375314	0.36704846079846076	0.21049213943950784	0.3542234332425068	0.4082439559661605	0.23640841916703986	0.37151388544654135	0.43258426966292135	0.2752596186584951	136.0	158.0	91.0	46.0	66.0	22.0
subimage_D1	2044	0.33136094674556216	0.3754284174600323	0.24846050870147257	0.33900719493939835	0.39171974522292996	0.267741935483871	0.36472452791035487	0.4037854889589905	0.2834816556541064	109.0	126.0	86.0	23.0	39.0	17.0
subimage_C1	2834	0.3322330171358629	0.3871988220177635	0.23163178215809796	0.3448275862068966	0.4017094017094017	0.2543352601156069	0.358695652173913	0.4172661870503597	0.2721384104586014	116.0	135.0	85.0	30.0	49.0	19.0
subimage_B1	3026	0.35714285714285715	0.34551495016611294	0.21529745042492918	0.37427658649182083	0.38528775146422206	0.2428227252030271	0.3946859369118714	0.4067796610169492	0.2928907752968429	162.0	167.0	104.0	56.0	60.0	4.0
subimage_A1	3922	0.3557692307692308	0.18719551282051283	0.25196850393700787	0.37479541734860883	0.3458401305057096	0.2894736842105263	0.3922310246508103	0.35699538521764	0.4409423662297804	202.0	185.0	146.0	45.0	33.0	-21.0
subimage_H2	3362	0.3402073705415334	0.35507246376811596	0.18556701030927836	0.35106382978723405	0.40725279342649945	0.24471299093655588	0.37208593306863297	0.45295202533225887	0.283609576427256	128.0	153.0	88.0	41.0	58.0	21.0
subimage_G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F2	3001	0.3382352941176471	0.36594202898550726	0.22435897435897437	0.3493975903614458	0.389937106918239	0.26063829787234044	0.3737704918032787	0.4163934426229508	0.28065395095367845	117.0	131.0	87.0	31.0	43.0	14.0
subimage_E2	3203	0.33043478260869563	0.3841862390249487	0.2099644128113879	0.34294871794871795	0.41214057507987223	0.24464831804281345	0.36363636363636365	0.4371048356866175	0.2766318303971334	111.0	134.0	80.0	33.0	55.0	22.0
subimage_D2	5515	0.34871178253943785	0.36785120147874306	0.1948608137044968	0.36465324384787473	0.41839080459770117	0.21428571428571427	0.3812785388127854	0.43686868686868685	0.27065026362038663	163.0	182.0	92.0	63.0	87.0	23.0
subimage_C2	3223	0.33061335103146955	0.39529958960328315	0.1640625	0.340625	0.4447852760736196	0.21492537313432836	0.35340797820256287	0.48828125	0.2636700219831077	113.0	148.0	72.0	42.0	77.0	35.0
subimage_B2	2716	0.34909847047002346	0.35973074990167375	0.22498306233062332	0.3586626139817629	0.38194353148610716	0.26153846153846155	0.3738019169329074	0.4114114114114114	0.2796420581655481	118.0	126.0	86.0	32.0	40.0	8.0
