subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2741	0.3313253012048193	0.3855721393034826	0.19775280898876405	0.3495702005730659	0.4228723404255319	0.22910216718266255	0.37735849056603776	0.4385026737967914	0.2682926829268293	131.0	155.0	85.0	42.0	69.0	27.0
subimage_G1	3034	0.33234110414186463	0.3886044446835988	0.1984732824427481	0.3442622950819672	0.4222972972972973	0.23417721518987342	0.36611570799412785	0.4411764705882353	0.2718421052631579	115.0	141.0	79.0	37.0	62.0	26.0
subimage_F1	459	0.32737481590574374	0.3645014124752411	0.22887323943661972	0.34219269102990035	0.3987538940809969	0.25732899022801303	0.37571844618613215	0.42214532871972316	0.28989851004102785	106.0	125.0	79.0	27.0	44.0	19.0
subimage_E1	1398	0.3371380008093889	0.3548223626852659	0.23572506362182735	0.34591194968553457	0.3981336352026007	0.2539474777694673	0.38650628060464115	0.412468471810089	0.2776280323450135	119.0	137.0	87.0	32.0	48.0	19.0
subimage_D1	1144	0.34580141927159697	0.3571714285714286	0.23599486861895072	0.35782747603833864	0.3879454503517472	0.25316455696202533	0.37461664354075497	0.4024656235182551	0.2824858757062147	113.0	122.0	79.0	33.0	41.0	9.0
subimage_C1	1534	0.3420483429761069	0.36059814169570265	0.20991954022988504	0.36183556555404417	0.3896383256134868	0.24579072592892579	0.37591087111322097	0.43068357720727823	0.28183485685727555	166.0	181.0	113.0	53.0	66.0	10.0
subimage_B1	1175	0.3445409921412103	0.35647746210748893	0.23070736234275108	0.3532110091743119	0.3970223325062035	0.25060240963855424	0.37262641898864807	0.4081246552675124	0.272590714007023	146.0	163.0	102.0	42.0	59.0	18.0
subimage_A1	1546	0.3314801705166284	0.3860847891356398	0.22700215552976288	0.338368580060423	0.4176829268292683	0.24404761904761904	0.3554968732906583	0.42857142857142855	0.2722477808667674	112.0	138.0	80.0	31.0	56.0	26.0
subimage_H2	2197	0.32714895580939196	0.3859550284161107	0.23636363636363636	0.3404255319148936	0.4048913043478261	0.2535211267605634	0.3580645161290323	0.4194528875379939	0.2766190614981055	114.0	137.0	85.0	29.0	50.0	22.0
subimage_G2	2814	0.3389814814814815	0.373777996731712	0.20938146840375016	0.35058147396889794	0.41851540501380574	0.23218997361477572	0.3662447191362854	0.4403409090909091	0.26932185430463573	134.0	159.0	88.0	45.0	70.0	26.0
subimage_F2	1286	0.34234234234234234	0.3476567261203429	0.24918032786885247	0.353125	0.3855072463768116	0.26400077895988355	0.36421725239616615	0.3954800033625454	0.2921209255757036	116.0	127.0	87.0	30.0	40.0	11.0
subimage_E2	1408	0.3364485981308411	0.3679583177918687	0.23628691983122363	0.3453111091547574	0.395863880742913	0.2586750788643533	0.37161040691775327	0.40748287472425404	0.2761783192774266	110.0	128.0	82.0	28.0	44.0	16.0
subimage_D2	2352	0.33636363636363636	0.36561894108873977	0.21291671777259905	0.3554987212276215	0.41853932584269665	0.2261443457067353	0.36585365853658536	0.43294215833219785	0.27707567870994076	129.0	149.0	82.0	45.0	68.0	23.0
subimage_C2	3865	0.345010989010989	0.3870297444490993	0.18882134814338203	0.35678391959798994	0.4295774647887324	0.21375921375921375	0.3686615599027477	0.4483746089773597	0.2646813725490196	151.0	181.0	90.0	60.0	90.0	30.0
subimage_B2	7046	0.34127457665643823	0.3924125445132717	0.17771084337349397	0.35233160621761656	0.44783715012722647	0.20052426890941072	0.36056338028169016	0.4668587896253602	0.26094487398333166	132.0	167.0	74.0	56.0	90.0	35.0
subimage_A2	1483	0.3333333333333333	0.36507791424672315	0.2462593027810419	0.3408239700374532	0.3968253968253968	0.2621359223300971	0.36590918138510325	0.4070175438596491	0.2822999557913351	105.0	122.0	81.0	24.0	41.0	17.0
subimage_H3	6349	0.33933933933933935	0.3979829908933544	0.1876750700280112	0.34870317002881845	0.4418604651162791	0.20930232558139536	0.36197277607361966	0.4576271186440678	0.25541751421269493	124.0	156.0	74.0	48.0	80.0	33.0
subimage_G3	6298	0.3378016085790885	0.391156241673328	0.18823529411764706	0.3472222222222222	0.44080604534005036	0.21036585365853658	0.363159913851124	0.4617737003058104	0.26504132747100834	126.0	159.0	77.0	49.0	83.0	34.0
subimage_F3	7273	0.34023668639053256	0.3912037037037037	0.17647058823529413	0.351010101010101	0.44375	0.20512820512820512	0.36079545454545453	0.46869402985074626	0.2631578947368421	129.0	162.0	76.0	55.0	90.0	35.0
subimage_E3	4849	0.34688606216205703	0.3877711714607103	0.19256626744581581	0.35947712418300654	0.43067226890756305	0.20604395604395603	0.37655870654475954	0.44558536105463364	0.2610060146097716	160.0	186.0	91.0	63.0	94.0	29.0
subimage_D3	9010	0.336231884057971	0.3974517097966728	0.18062142625957492	0.34916201117318435	0.45092431368081887	0.2	0.3605867529310838	0.46598639455782315	0.25710980536173333	122.0	156.0	70.0	51.0	85.0	35.0
subimage_C3	4909	0.34132375249501	0.38572626534890686	0.16987179487179488	0.3533834586466165	0.44166666666666665	0.20618556701030927	0.36728395061728397	0.47086583184257597	0.2661693118645044	134.0	166.0	77.0	56.0	90.0	33.0
subimage_B3	8715	0.34232197380635493	0.39450896140595365	0.17962466487935658	0.35526315789473684	0.44722222222222224	0.19887955182072828	0.36548668625879416	0.46236559139784944	0.2597216689241229	138.0	173.0	76.0	59.0	94.0	36.0
subimage_A3	1225	0.35294117647058826	0.3491175270352989	0.22556390977443608	0.3626666666666667	0.39635535307517084	0.23880597014925373	0.38372093023255816	0.415	0.287155289923456	146.0	163.0	95.0	49.0	61.0	13.0
subimage_H4	3324	0.335243553008596	0.3572160754962577	0.20952380952380953	0.34756966159405184	0.41566265060240964	0.23953763781628942	0.36807817589576547	0.43613707165109034	0.27998988195615515	119.0	143.0	82.0	37.0	59.0	24.0
subimage_G4	921	0.3333333333333333	0.35607675906183367	0.23978201634877383	0.34540389972144847	0.39655172413793105	0.25507246376811593	0.3783783783783784	0.4110429447852761	0.2846153846153846	121.0	139.0	89.0	32.0	49.0	19.0
subimage_F4	2266	0.34132135728542917	0.35556647020301246	0.20529933363264727	0.36402591206048596	0.40175312784130923	0.23714285714285716	0.3834753787878788	0.4316029435290354	0.27884111433639736	152.0	165.0	95.0	50.0	64.0	16.0
subimage_E4	2687	0.34069400630914826	0.3768751426614928	0.21712538226299694	0.3519061583577713	0.4	0.2485207100591716	0.37276492738031203	0.42563775510204077	0.2699866806042622	120.0	136.0	84.0	35.0	50.0	16.0
subimage_D4	400	0.3386026810283827	0.34545454545454546	0.23712146307798482	0.35596018106879196	0.3726937269372694	0.2698179956244472	0.39114983420834465	0.3967434437543133	0.29749502996531857	117.0	128.0	90.0	29.0	33.0	3.0
subimage_C4	3070	0.3390804597701149	0.3432797826716494	0.1957986454070834	0.3560260354065231	0.4189189189189189	0.22546419098143236	0.3815350877192982	0.43731778425655976	0.29422285987565755	133.0	155.0	84.0	47.0	71.0	23.0
subimage_B4	2347	0.32752613240418116	0.38127188715953303	0.23697456492637217	0.3389261744966443	0.3970149253731343	0.2621082621082621	0.36354199433784207	0.417708935801041	0.2796430108849394	105.0	122.0	81.0	24.0	41.0	18.0
subimage_A4	1444	0.3296763019589107	0.3519388336984904	0.25478166340029396	0.3402985074626866	0.3895705521472393	0.27102803738317754	0.37559025093499926	0.4006498997744926	0.2895776411657559	109.0	125.0	86.0	22.0	38.0	16.0
subimage_H5	2038	0.32440115700985267	0.375	0.23647041526448198	0.3344262295081967	0.40066225165562913	0.2659753564008883	0.35932432432432426	0.4212475844365608	0.2882205513784461	99.0	120.0	79.0	21.0	40.0	20.0
subimage_G5	4753	0.3343108504398827	0.3952214597629445	0.19230769230769232	0.3472222222222222	0.4378531073446328	0.215625	0.36507936507936506	0.45161290322580644	0.2624803149606299	125.0	157.0	77.0	46.0	78.0	33.0
subimage_F5	2367	0.33993399339933994	0.37577114427860697	0.24003647416413373	0.3487654320987654	0.3949843260188088	0.2564102564102564	0.36172660879151164	0.4079512431385211	0.27367613406918834	111.0	126.0	82.0	29.0	44.0	15.0
subimage_E5	2773	0.3570057581573896	0.34887459807073956	0.1975	0.3669950738916256	0.4101876675603217	0.21739130434782608	0.3821789442091573	0.435188365113258	0.2885078103669623	153.0	175.0	89.0	61.0	73.0	15.0
subimage_D5	3462	0.3389379480605802	0.3802197802197802	0.1984354134693959	0.35454545454545455	0.4074074074074074	0.23564954682779457	0.3813122229489136	0.4318899124131682	0.27488013081677337	124.0	142.0	83.0	41.0	60.0	18.0
subimage_C5	4243	0.34177215189873417	0.37882663902565433	0.17507380599139805	0.3551020408163265	0.4360313315926893	0.2116991643454039	0.3746312684365782	0.46381102212051867	0.2688888888888889	130.0	160.0	76.0	53.0	81.0	30.0
subimage_B5	3562	0.34772256269058827	0.38019952565598764	0.2012326718753994	0.3634085213032581	0.41451990632318503	0.2175	0.38571428571428573	0.4348958333333333	0.2652582159624413	150.0	171.0	91.0	59.0	82.0	20.0
subimage_A5	3255	0.335166579321704	0.38163251707479595	0.20504731861198738	0.34523809523809523	0.4126984126984127	0.23976608187134502	0.3686891453299675	0.4451895508123606	0.2690614170057951	111.0	135.0	76.0	34.0	54.0	22.0
subimage_H6	8535	0.334375	0.39655172413793105	0.1839080459770115	0.3473389355742297	0.45108695652173914	0.20180722891566266	0.355637201140601	0.46458923512747874	0.2632811192556147	124.0	160.0	70.0	50.0	84.0	36.0
subimage_G6	4497	0.3488719194724054	0.38703630939387323	0.19491525423728814	0.361244019138756	0.4289044289044289	0.2080536912751678	0.3790322580645161	0.44169675939935577	0.25681983790284	155.0	183.0	90.0	65.0	93.0	28.0
subimage_F6	2469	0.3383923270755551	0.38022822500472675	0.21132830103650294	0.3520710059171598	0.40773809523809523	0.24089635854341737	0.3774430605672603	0.4290322580645161	0.26705062739975455	119.0	138.0	81.0	38.0	56.0	19.0
subimage_E6	4798	0.34358759490044405	0.38209606986899564	0.17980295566502463	0.3608918991694111	0.4277853466545565	0.21251398210290828	0.3835051203617502	0.44584869770702956	0.26378058103975527	141.0	164.0	81.0	56.0	81.0	25.0
subimage_D6	2972	0.3567362428842505	0.3444293387042632	0.27316722512273045	0.36906584992343033	0.3481717011128776	0.2824074074074074	0.37603993344425957	0.3547307029014346	0.2981418219461698	233.0	219.0	177.0	54.0	41.0	-13.0
subimage_C6	7125	0.34292035398230086	0.39258839956224767	0.17902254871951842	0.3524590163934426	0.4464751958224543	0.2	0.3648577711569837	0.4653179190751445	0.2574468085106383	134.0	169.0	75.0	58.0	93.0	35.0
subimage_B6	3532	0.34668396226415094	0.38208326968447137	0.20466321243523317	0.357487922705314	0.42401960784313725	0.21672419009625837	0.3764580967522144	0.43799472295514513	0.265797029261932	149.0	176.0	91.0	58.0	87.0	27.0
subimage_A6	375	0.33303121852970796	0.34736908358509566	0.22262521588946457	0.3598233995584989	0.3793859649122807	0.2743362831858407	0.3974254171582673	0.39243498817966904	0.29370770371743765	123.0	126.0	89.0	27.0	34.0	2.0
subimage_H7	895	0.3292307692307692	0.3443915828907908	0.24228893324043127	0.34285714285714286	0.396875	0.26229508196721313	0.36495531907636686	0.40853907454454647	0.2981341556053993	107.0	127.0	83.0	26.0	43.0	18.0
subimage_G7	6023	0.3436708556020993	0.3917572740295423	0.17096774193548386	0.3553008595988539	0.4470588235294118	0.19811320754716982	0.36656891495601174	0.46794871794871795	0.26302199265136583	124.0	155.0	69.0	54.0	86.0	32.0
subimage_F7	4224	0.3449141465744881	0.3794698506133755	0.20088300220750552	0.36341463414634145	0.4175311538213202	0.21866666666666668	0.381057268722467	0.435956822469084	0.2632827163912736	155.0	176.0	92.0	60.0	82.0	23.0
subimage_E7	1205	0.33523384130320544	0.36074681238615663	0.23853211009174313	0.3542319749216301	0.3895131086142322	0.25663716814159293	0.3680503923998348	0.4037153114137558	0.28698541041973286	115.0	128.0	83.0	32.0	43.0	12.0
subimage_D7	2617	0.35714285714285715	0.34368747226187996	0.25585284280936454	0.37801204819277107	0.349768875192604	0.272	0.3912260960443443	0.3537190082644628	0.2979408635998524	239.0	221.0	173.0	68.0	50.0	-17.0
subimage_C7	1929	0.33414316238044506	0.3741490601559932	0.22201388888888887	0.345565749235474	0.39634146341463417	0.2577639751552795	0.3743965204784342	0.42507645259938837	0.28121684350132625	114.0	132.0	86.0	30.0	46.0	17.0
subimage_B7	2085	0.35614525139664804	0.34285714285714286	0.2781065088757396	0.36324786324786323	0.3458646616541353	0.29080118694362017	0.37312981918203547	0.35	0.3002907074159713	249.0	236.0	199.0	50.0	37.0	-12.0
subimage_A7	1816	0.3333333333333333	0.359568491513268	0.22841225626740946	0.3544764000209545	0.3962765957446808	0.24813895781637718	0.37441299313986454	0.42209631728045327	0.27928483139825566	135.0	152.0	95.0	41.0	56.0	17.0
subimage_H8	3105	0.33856502242152464	0.3857758620689655	0.19831534614372204	0.35674157303370785	0.418732782369146	0.2236180904522613	0.36768149882903983	0.44376899696048633	0.2667996674979218	137.0	161.0	87.0	51.0	75.0	24.0
subimage_G8	3317	0.34625895624413955	0.3509084918376516	0.21105721617811835	0.37037037037037035	0.38443935926773454	0.24708624708624707	0.3858353303663129	0.4238534933825792	0.2795360257387181	160.0	167.0	105.0	54.0	59.0	6.0
subimage_F8	7298	0.3409090909090909	0.38155136268343814	0.1525974025974026	0.3504273504273504	0.444743935309973	0.20679886685552407	0.3716012084592145	0.4811465644922403	0.2717655117125212	124.0	157.0	73.0	51.0	85.0	33.0
subimage_E8	1852	0.33901497562108196	0.36716852795090005	0.2267952671075117	0.36363636363636365	0.3888888888888889	0.2478005108490931	0.37790697674418605	0.4101694915254237	0.27686013697884676	128.0	136.0	86.0	41.0	49.0	8.0
subimage_D8	3115	0.3555240793201133	0.34268833087149186	0.27218392052548723	0.36515151515151517	0.34763313609467456	0.28717201166180756	0.375982527301092	0.3523700769051503	0.30113636363636365	252.0	238.0	197.0	54.0	41.0	-12.0
