subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	6626	0.3264724784515349	0.38848920863309355	0.21405750798722045	0.33974358974358976	0.42565597667638483	0.23319372941118044	0.35264152194087234	0.44707919896932846	0.2729454390451833	118.0	147.0	81.0	35.0	66.0	29.0
subimage_G1	1719	0.35478487186953994	0.3426356589147287	0.28222882834747715	0.361198738170347	0.3463338533541342	0.29243353783231085	0.3687600644122383	0.35039370078740156	0.3016845329249617	226.0	215.0	181.0	42.0	33.0	-9.0
subimage_F1	2457	0.3304834758262087	0.3631123919308357	0.24913002253444813	0.35714285714285715	0.38047138047138046	0.2647058823529412	0.36721311475409835	0.39557657532341073	0.2857142857142857	110.0	117.0	81.0	29.0	35.0	7.0
subimage_E1	3506	0.32608695652173914	0.3853485556132157	0.22674747381106888	0.33630952380952384	0.41847826086956524	0.24545454545454545	0.3576082053595227	0.4323529411764706	0.27688806548440825	116.0	144.0	84.0	32.0	59.0	28.0
subimage_D1	6706	0.33827893175074186	0.3881278538812785	0.18798955613577023	0.35175879396984927	0.437125748502994	0.21134581881533102	0.3677808927533424	0.4528301886792453	0.2656381617945278	130.0	162.0	77.0	51.0	82.0	31.0
subimage_C1	6469	0.32857142857142857	0.3890853901657899	0.18571428571428572	0.3633879781420765	0.42028985507246375	0.21608040201005024	0.3793103448275862	0.4681818181818182	0.2575150501672241	139.0	156.0	82.0	55.0	72.0	22.0
subimage_B1	9596	0.33568904593639576	0.3807098215346593	0.1804733727810651	0.34782608695652173	0.45017182130584193	0.20327868852459016	0.3605769230769231	0.46808510638297873	0.2760318914685149	119.0	155.0	68.0	48.0	81.0	35.0
subimage_A1	7352	0.33727810650887574	0.21626892850297105	0.1873015873015873	0.35085296113211206	0.4262295081967213	0.2268370607028754	0.37119366420749217	0.46010036116127234	0.41416309012875535	116.0	142.0	78.0	41.0	68.0	27.0
subimage_H2	6143	0.3342696629213483	0.3928655462184874	0.16938651833735538	0.34595959595959597	0.4336569579288026	0.22255192878338279	0.3753943217665615	0.4629504504504504	0.2618173867979529	117.0	146.0	74.0	42.0	72.0	30.0
subimage_G2	4290	0.3300653594771242	0.3965471756672874	0.2070063694267516	0.3416149068322981	0.4326647564469914	0.2256660350503401	0.3514524041867739	0.44983818770226536	0.2631041890440386	114.0	145.0	76.0	39.0	69.0	31.0
