subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	6693	0.34146341463414637	0.3894738970030828	0.19047619047619047	0.362962962962963	0.42819148936170215	0.21068249258160238	0.3774403470715835	0.4425287356321839	0.2597553737228134	152.0	177.0	87.0	62.0	87.0	27.0
subimage_G1	11628	0.3371757925072046	0.3859787731178963	0.1619142316017316	0.35410764872521244	0.4491525423728814	0.19571865443425077	0.3704641257574427	0.47896440129449835	0.26578419039951695	125.0	158.0	70.0	55.0	89.0	34.0
subimage_F1	8102	0.33544303797468356	0.391754925674565	0.19117647058823528	0.3501442119874656	0.4405797101449275	0.2116991643454039	0.3611111111111111	0.4537037037037037	0.2621575023299161	128.0	159.0	75.0	49.0	81.0	32.0
subimage_E1	2506	0.349561090736213	0.35690654229622776	0.21792913468066216	0.36389435931921166	0.38542781941470383	0.2506493681732008	0.3956262425447316	0.41	0.2791004298152743	152.0	163.0	103.0	47.0	56.0	8.0
subimage_D1	3679	0.3333333333333333	0.38063063063063063	0.213753155396991	0.35185185185185186	0.40970350404312667	0.2361963190184049	0.37254901960784315	0.43154761904761907	0.26782243134834927	135.0	156.0	90.0	43.0	65.0	22.0
subimage_C1	4113	0.32612709030100334	0.38372093023255816	0.23426512226512228	0.3498542274052478	0.3993993993993994	0.2523076923076923	0.36033519553072624	0.41480052399666545	0.27705958971019207	120.0	136.0	86.0	33.0	49.0	17.0
subimage_B1	6684	0.33578607523862997	0.3534971644612476	0.1780821917808219	0.36127167630057805	0.42149961560638094	0.2219354451963553	0.38229235553179214	0.46688741721854304	0.2737226277372263	125.0	147.0	76.0	49.0	68.0	21.0
subimage_A1	5779	0.33753148614609574	0.3864795240205076	0.21176470588235294	0.34626865671641793	0.42028985507246375	0.23323615160349853	0.35625	0.4393939393939394	0.270456237311076	121.0	148.0	81.0	40.0	65.0	26.0
subimage_H2	4396	0.35462164526509826	0.3551540943480196	0.20866691491342393	0.3758465701487518	0.3963963963963964	0.22524752475247525	0.39414414414414417	0.4244791666666667	0.28324319630851674	160.0	166.0	94.0	59.0	72.0	6.0
subimage_G2	7777	0.3258426966292135	0.3698240602480036	0.18793850254652766	0.34069400630914826	0.43636363636363634	0.2247191011235955	0.364741641337386	0.46688741721854304	0.27389088895042923	116.0	147.0	74.0	39.0	70.0	32.0
