subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2778	0.3283376064462961	0.3651616507975385	0.2178971479237476	0.3409090909090909	0.4041916167664671	0.2542857142857143	0.3616375099224522	0.44203561329091556	0.28163299606709474	117.0	139.0	86.0	31.0	51.0	23.0
subimage_G1	8664	0.33636363636363636	0.40411655874190566	0.1827294077213885	0.34375	0.4573170731707317	0.19862973521510108	0.35613106756974683	0.47157190635451507	0.25123837335063814	117.0	156.0	67.0	48.0	84.0	37.0
subimage_F1	2017	0.33442410048967425	0.3788402918108025	0.2283752133698543	0.34593023255813954	0.40718562874251496	0.24695121951219512	0.36253188377033396	0.4213878546938432	0.2828984225269055	116.0	136.0	83.0	33.0	54.0	21.0
subimage_E1	11082	0.32142857142857145	0.38676870280000203	0.17878888219947825	0.33451957295373663	0.44648318042813456	0.21967213114754097	0.35322140964725973	0.4773662551440329	0.26941747572815533	107.0	143.0	69.0	36.0	69.0	35.0
subimage_D1	5772	0.32081911262798635	0.37900563924599734	0.21906163317772817	0.3387096774193548	0.40787857235225655	0.2542955326460481	0.36904761904761907	0.42835010060362166	0.28291316526610644	115.0	134.0	84.0	28.0	50.0	22.0
subimage_C1	3857	0.3303407601572739	0.3854391284815813	0.20687317358270016	0.3408360128617363	0.41883116883116883	0.24057971014492754	0.364296788482835	0.441730397512396	0.2717472025691203	113.0	139.0	80.0	34.0	59.0	26.0
subimage_B1	7105	0.33666666666666667	0.3805970149253731	0.19536423841059603	0.346875	0.4208955223880597	0.23224043715846995	0.3661073682717538	0.4462756077206773	0.27044814340588985	113.0	138.0	75.0	37.0	60.0	24.0
subimage_A1	4586	0.33211678832116787	0.38015028115182203	0.20340021601861086	0.3633879781420765	0.41330166270783847	0.22537035685616288	0.3764988009592326	0.4436295283663705	0.26506024096385544	139.0	156.0	84.0	51.0	67.0	18.0
subimage_H2	4108	0.32613335100742313	0.38267148014440433	0.2253968253968254	0.3409789092958805	0.4110032362459547	0.24573378839590443	0.3597276634138234	0.43109540636042404	0.27931985678262444	111.0	133.0	79.0	29.0	53.0	22.0
subimage_G2	7498	0.3263888888888889	0.3909852804192726	0.18541033434650456	0.3371757925072046	0.44807121661721067	0.21428571428571427	0.353099730458221	0.47637200288062354	0.27093382562672325	113.0	151.0	71.0	41.0	78.0	37.0
subimage_F2	2874	0.35621007337931576	0.3478964401294498	0.21702043341259256	0.3696631830518087	0.360745043639096	0.2635786623756433	0.3807829181494662	0.4173521441096764	0.28847077746575434	191.0	186.0	137.0	56.0	52.0	-6.0
subimage_E2	4805	0.3267089123819682	0.37285153131287324	0.22727272727272727	0.34726688102893893	0.39464882943143814	0.25742574257425743	0.36254739350754084	0.4297454279929636	0.2765273311897106	105.0	120.0	79.0	28.0	42.0	14.0
subimage_D2	4792	0.33103661509555127	0.3921891511095456	0.2	0.3409090909090909	0.4265927977839335	0.23186381669500444	0.36	0.45149815304747165	0.26451939302046906	110.0	139.0	75.0	35.0	62.0	27.0
subimage_C2	3666	0.3231965422347331	0.37898089171974525	0.24	0.3434650455927052	0.40057227534713125	0.25666666666666665	0.3582626430716779	0.4207910516605166	0.27836307180967373	108.0	125.0	80.0	27.0	44.0	18.0
subimage_B2	2927	0.3269230769230769	0.3497966785406399	0.24685132330046705	0.3609271523178808	0.3704918032786885	0.2711864406779661	0.37809125106176433	0.3929824561403509	0.290000987069391	109.0	113.0	82.0	27.0	31.0	2.0
subimage_A2	7458	0.34052476218633704	0.37707678380380216	0.16887417218543047	0.3520710059171598	0.4338461538461538	0.21525885558583105	0.375	0.46393421345397906	0.27209302325581397	121.0	147.0	74.0	47.0	75.0	28.0
subimage_H3	12927	0.3283052966583314	0.4025948717948718	0.18534770725781963	0.34048257372654156	0.4532967032967033	0.20552147239263804	0.35709046454767707	0.47058823529411764	0.25721595497678174	117.0	155.0	69.0	45.0	83.0	38.0
subimage_G3	5320	0.3344370860927152	0.36057528780743064	0.19825072886297376	0.35	0.42153846153846153	0.23076923076923078	0.37401007575902145	0.44025157232704404	0.2813414895451719	123.0	148.0	78.0	41.0	65.0	26.0
subimage_F3	5965	0.35417412045319024	0.349025974025974	0.20244504667268895	0.37028824833702884	0.37044534412955465	0.24946695095948826	0.3910957851580028	0.43221221195491527	0.28916506576030737	174.0	178.0	117.0	60.0	57.0	-1.0
subimage_E3	8517	0.3323529411764706	0.38686131386861317	0.15622923588039866	0.3465909090909091	0.44011976047904194	0.21476510067114093	0.3624014776073003	0.4883720930232558	0.2652582159624413	115.0	149.0	72.0	45.0	77.0	33.0
