subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9150	0.33807829181494664	0.40021582733812955	0.17973945611463932	0.35344827586206895	0.4473684210526316	0.2	0.3638968481375358	0.46178343949044587	0.2532097649186256	120.0	150.0	65.0	50.0	80.0	31.0
subimage_G1	9996	0.3333333333333333	0.3987823967662677	0.18789808917197454	0.34516129032258064	0.44193548387096776	0.21102406767544382	0.3575949367088608	0.4645161290322581	0.26038781163434904	109.0	141.0	66.0	42.0	73.0	31.0
subimage_F1	5636	0.3404255319148936	0.39810941088197177	0.18545454545454546	0.35119047619047616	0.44339622641509435	0.20527859237536658	0.35976744537916844	0.4595813983488132	0.25424939467312346	112.0	141.0	66.0	46.0	75.0	29.0
subimage_E1	3780	0.3377049180327869	0.3740437767023711	0.20105820105820105	0.3546511627906977	0.41317365269461076	0.23315957216940364	0.38168373893564733	0.42946708463949845	0.26944527611443775	122.0	141.0	79.0	41.0	60.0	21.0
subimage_D1	5758	0.3410545084055018	0.39035423746267117	0.1999107142857143	0.34935897435897434	0.43769968051118213	0.21362229102167182	0.35917312661498707	0.45	0.25988167053364264	115.0	145.0	70.0	44.0	73.0	29.0
subimage_C1	9083	0.33740086787370943	0.3951739571018409	0.1806853582554517	0.3486238532110092	0.44554455445544555	0.2063953488372093	0.36038883550816725	0.46540880503144655	0.2599842519685039	111.0	142.0	64.0	45.0	75.0	30.0
subimage_B1	2512	0.3391448633116817	0.3870375005005406	0.19607843137254902	0.35	0.42718446601941745	0.22291021671826625	0.3627556273105901	0.45630771319934815	0.2617030114226376	118.0	143.0	75.0	42.0	67.0	26.0
subimage_A1	2609	0.3573825503355705	0.3418803418803419	0.2704824355971897	0.36952714535901926	0.3469387755102041	0.2834507042253521	0.38016144065561086	0.35073068893528186	0.2991735537190083	212.0	198.0	162.0	49.0	36.0	-13.0
subimage_H2	13934	0.337037037037037	0.3988318882466282	0.17834394904458598	0.3488372093023256	0.45095438705986374	0.19937694704049844	0.36	0.4675324675324675	0.2560240963855422	111.0	144.0	63.0	47.0	81.0	32.0
subimage_G2	4595	0.3343530311223824	0.3994871079398614	0.19318181818181818	0.3438395415472779	0.44329896907216493	0.21352313167259787	0.35671266581086863	0.45652173913043476	0.25847143577124904	109.0	140.0	67.0	40.0	71.0	31.0
subimage_F2	12860	0.33411161118049876	0.39997663551401874	0.1831831831831832	0.3470031545741325	0.44518272425249167	0.2073170731707317	0.3611111111111111	0.46503496503496505	0.2601638759334302	113.0	146.0	67.0	45.0	75.0	31.0
subimage_E2	4417	0.3410801375840649	0.3704918032786885	0.22822016647520002	0.36101083032490977	0.3923611111111111	0.24752475247524752	0.3741496598639456	0.4107744107744108	0.27578522716357695	112.0	122.0	77.0	35.0	44.0	10.0
subimage_D2	10359	0.336283185840708	0.4005428192362012	0.18032786885245902	0.3468208092485549	0.44755244755244755	0.20512820512820512	0.3621621621621622	0.46688741721854304	0.254635835567471	113.0	144.0	66.0	44.0	76.0	32.0
subimage_C2	8003	0.338844933610121	0.39461883408071746	0.1828605141171513	0.35081967213114756	0.439873417721519	0.20987654320987653	0.3628808864265928	0.4622356495468278	0.25935103829212014	121.0	152.0	71.0	48.0	79.0	31.0
subimage_B2	6820	0.34009981370387465	0.3973511166253102	0.1691158709860756	0.3501577287066246	0.44673539518900346	0.2037037037037037	0.3597560975609756	0.4782608695652174	0.25485526315789464	107.0	136.0	63.0	45.0	74.0	29.0
subimage_A2	2851	0.3377049180327869	0.3591891152741693	0.19941772752699471	0.35106382978723405	0.4019933554817276	0.2440677966101695	0.3760165720423507	0.43655533941569175	0.27928782367424665	111.0	129.0	78.0	34.0	50.0	18.0
subimage_H3	4885	0.33762893055497556	0.4011399430028499	0.18791946308724833	0.34810126582278483	0.44089456869009586	0.21160409556313994	0.35507246376811596	0.45977011494252873	0.25856089962768786	110.0	139.0	67.0	43.0	72.0	29.0
subimage_G3	10215	0.3381294964028777	0.40050006498369217	0.1779935275080906	0.3489736070381232	0.44932432432432434	0.2012012012012012	0.3619679831288344	0.46855345911949686	0.254320987654321	114.0	147.0	65.0	47.0	80.0	33.0
subimage_F3	3661	0.34098360655737703	0.3693467336683417	0.22105263157894736	0.35365853658536583	0.3968253968253968	0.24918032786885247	0.38524590163934425	0.4105960264900662	0.27123287671232876	113.0	128.0	80.0	33.0	48.0	14.0
subimage_E3	3821	0.34494773519163763	0.36721311475409835	0.2125748502994012	0.3610223642172524	0.4015748031496063	0.23986486486486486	0.37577639751552794	0.42513368983957217	0.26865671641791045	117.0	127.0	77.0	38.0	50.0	14.0
subimage_D3	8740	0.3387096774193548	0.38876378180669946	0.16987179487179488	0.3512658227848101	0.4421965317919075	0.20698924731182797	0.36507936507936506	0.471875	0.2606789981910366	119.0	150.0	71.0	49.0	81.0	31.0
subimage_C3	5067	0.34502923976608185	0.3831967213114754	0.19230769230769232	0.35428571428571426	0.4396551724137931	0.20606060606060606	0.367386402074642	0.4519230769230769	0.26300338862136613	121.0	149.0	70.0	50.0	79.0	29.0
