subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	9167	0.3312302839116719	0.39655172413793105	0.19061858504398826	0.3487654320987654	0.4444444444444444	0.20597014925373133	0.35735735735735735	0.4567901234567901	0.2610802990113335	117.0	149.0	69.0	47.0	79.0	32.0
subimage_G1	861	0.32793522267206476	0.37943262411347517	0.25752508361204013	0.337037037037037	0.38869257950530034	0.2737226277372263	0.35064935064935066	0.39915966386554624	0.2867647058823529	93.0	108.0	77.0	17.0	31.0	14.0
subimage_F1	6845	0.33448275862068966	0.3940149625935162	0.1962962962962963	0.3462532299741602	0.42565597667638483	0.22903225806451613	0.35733924284395197	0.45395958610975673	0.2596473749358451	110.0	137.0	74.0	37.0	63.0	26.0
subimage_E1	1391	0.3386697177726926	0.3835294117647059	0.22911694510739858	0.34748010610079577	0.4050632911392405	0.2475	0.3566265060240964	0.4166666666666667	0.2728342245989305	136.0	157.0	96.0	38.0	61.0	23.0
subimage_D1	4618	0.33416370954297553	0.39184600369479594	0.19269102990033224	0.34256055363321797	0.44	0.21725239616613418	0.35563380281690143	0.46000958466453673	0.264925541392167	108.0	139.0	68.0	39.0	70.0	30.0
subimage_C1	8148	0.334375	0.39316239316239315	0.18269230769230768	0.3475409836065574	0.4452296819787986	0.2090032154340836	0.35727146814404426	0.46474358974358976	0.2644540179356427	111.0	143.0	65.0	44.0	75.0	31.0
subimage_B1	2921	0.33753943217665616	0.3491773308957952	0.21573604060913706	0.34686346863468637	0.41812865497076024	0.23529411764705882	0.3764478764478765	0.43205574912891986	0.286231884057971	117.0	142.0	80.0	37.0	59.0	23.0
subimage_A1	1023	0.3265895953757225	0.37029451476793246	0.25741438049130355	0.3354632587859425	0.39375	0.27070063694267515	0.3543096903096903	0.40476190476190477	0.29138758570913026	107.0	125.0	86.0	21.0	39.0	19.0
subimage_H2	6756	0.33641975308641975	0.3963539010708822	0.20359281437125748	0.34294871794871795	0.4383116883116883	0.21835443037974683	0.3537679876914413	0.450354609929078	0.26034823783265404	110.0	140.0	70.0	39.0	70.0	30.0
subimage_G2	9318	0.3357664233576642	0.39950889164598846	0.1839080459770115	0.3483483483483483	0.44984802431610943	0.20212765957446807	0.35877862595419846	0.4633538373506902	0.2574648253331848	116.0	148.0	66.0	46.0	78.0	33.0
subimage_F2	5505	0.3389504563233377	0.38557853406489406	0.1662779397473275	0.3532934131736527	0.44072948328267475	0.20857142857142857	0.3692709904474611	0.4715613225519665	0.2637834686379337	122.0	152.0	71.0	50.0	80.0	30.0
subimage_E2	3662	0.35429804101239815	0.347012071548154	0.21680216802168023	0.36926200278795346	0.38506756756756755	0.24498886414253898	0.3820742622157717	0.421195652173913	0.2893772893772894	154.0	163.0	104.0	53.0	59.0	6.0
subimage_D2	8940	0.33663366336633666	0.39904872537291003	0.17812082715133531	0.3501577287066246	0.4512987012987013	0.20116618075801748	0.3590504451038576	0.46745745323978233	0.2563380281690141	116.0	150.0	65.0	50.0	82.0	34.0
subimage_C2	13025	0.33451957295373663	0.4057324986465569	0.1791044776119403	0.34870317002881845	0.4506578947368421	0.19877675840978593	0.36069419739435604	0.46835443037974683	0.2530213253184485	114.0	148.0	64.0	49.0	83.0	33.0
subimage_B2	2134	0.3276825246748455	0.38014837368904353	0.23935913935913936	0.33881578947368424	0.40344827586206894	0.2578397212543554	0.35653421240199573	0.4164739027283511	0.27974342105263156	97.0	117.0	74.0	23.0	41.0	18.0
subimage_A2	2703	0.3272058823529412	0.35612602805999033	0.2361162361623616	0.3384615384615385	0.4	0.2604166666666667	0.3668912890795543	0.41935483870967744	0.28287628500531725	110.0	128.0	84.0	25.0	44.0	19.0
subimage_H3	5825	0.3358817772558231	0.39079394805578826	0.2013029874416013	0.34519572953736655	0.43478260869565216	0.21768707482993196	0.3546511627906977	0.4551971326164875	0.2663528772827046	114.0	143.0	71.0	40.0	70.0	29.0
subimage_G3	2478	0.3333333333333333	0.38028169014084506	0.19642857142857142	0.3585434173669468	0.41189931350114417	0.22470132271369647	0.37471342207000335	0.44285714285714284	0.27596439169139464	131.0	157.0	82.0	48.0	69.0	20.0
subimage_F3	2423	0.3566666666666667	0.3422850700390347	0.24770809311341724	0.3822525597269625	0.3489583333333333	0.26837606837606837	0.4005724954293328	0.3528368794326241	0.3001628702876939	222.0	202.0	155.0	65.0	46.0	-19.0
subimage_E3	1119	0.3560081632653061	0.34487879822465006	0.2315035799522673	0.3724832214765101	0.3504587155963303	0.2707641196013289	0.39396293027360985	0.3985251174887074	0.2969289814705844	193.0	182.0	142.0	53.0	44.0	-11.0
subimage_D3	8154	0.3344225037257824	0.3970561037633689	0.1854234183457799	0.34626452226402615	0.4485981308411215	0.20496894409937888	0.35907938374475196	0.4635972305839855	0.2594428862825089	113.0	146.0	66.0	45.0	76.0	33.0
subimage_C3	2304	0.3476391734676159	0.3572077922077922	0.21054736842105262	0.36103896103896105	0.4062880170316302	0.23342557273790504	0.37723011120615907	0.42736699363388336	0.28454429202511045	138.0	155.5	88.0	48.0	64.0	17.0
subimage_B3	5847	0.3333333333333333	0.38442394454021933	0.19223269766445256	0.3495440729483283	0.43506493506493504	0.21935483870967742	0.37037037037037035	0.4554140127388535	0.2653412224840796	119.0	149.0	72.0	45.0	72.0	30.0
subimage_A3	2284	0.34164537757003094	0.37158655763861187	0.21813803759979397	0.3574386787678397	0.4044453658450518	0.23529411764705882	0.38258575197889183	0.42212592300190405	0.2692307692307692	127.0	146.0	82.0	41.0	59.0	15.0
subimage_H4	8625	0.3391812865497076	0.38864983454746005	0.17120622568093385	0.3557422969187675	0.4349112426035503	0.2096317280453258	0.367601246105919	0.46417445482866043	0.26600481271969056	122.0	149.0	71.0	50.0	76.0	27.0
subimage_G4	2034	0.35170603674540685	0.349099668298847	0.24369747899159663	0.36470588235294116	0.36855036855036855	0.26605504587155965	0.38742393509127787	0.3856099937832888	0.28712697982807217	148.0	150.0	108.0	40.0	42.0	1.0
subimage_F4	2902	0.334384858044164	0.349269419306184	0.23694277811703007	0.34219269102990035	0.3896551724137931	0.2682926829268293	0.375739355481189	0.40417760488759485	0.2844007386346982	104.0	119.0	82.0	23.0	37.0	15.0
