subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	362	0.31945160366552117	0.3654496878371052	0.2716128017614217	0.3284402187087564	0.38666666666666666	0.28391079251294304	0.35423322866769036	0.3958333333333333	0.29676881720430104	93.0	110.0	81.0	13.0	29.0	16.0
subimage_G1	4957	0.32792207792207795	0.3821174524400331	0.1927710843373494	0.34110787172011664	0.42996742671009774	0.23178807947019867	0.3588957055214724	0.45247354222867814	0.27957530944448955	110.0	138.0	73.0	33.0	62.0	28.0
subimage_F1	7265	0.3284132841328413	0.3856812933025404	0.19230769230769232	0.3375796178343949	0.4371069182389937	0.22614840989399293	0.3498233215547703	0.4635819559806471	0.2761394101876676	105.0	135.0	69.0	34.0	65.0	31.0
subimage_E1	1523	0.33010019915359723	0.368965830607052	0.24590607000443065	0.351123595505618	0.3877551020408163	0.2626865671641791	0.3684210526315789	0.3994073955612417	0.2861428372449335	121.0	135.0	90.0	31.0	43.0	13.0
subimage_D1	7948	0.3259493670886076	0.3924825268817204	0.21003134796238246	0.3353846153846154	0.43448275862068964	0.22988505747126436	0.3463855421686747	0.45161290322580644	0.2727272727272727	105.0	137.0	71.0	33.0	64.0	31.0
subimage_C1	10028	0.32627566695683347	0.39762611275964393	0.20382165605095542	0.33543311773342327	0.4401294498381877	0.22483221476510068	0.345679012345679	0.45484949832775917	0.26848983939691906	101.0	133.0	67.0	33.0	63.0	31.0
subimage_B1	2629	0.31444134121314055	0.3860663877937946	0.2330508474576271	0.32413793103448274	0.40860215053763443	0.2661596958174905	0.3416666666666667	0.4393305439330544	0.286190855927698	91.0	115.0	75.0	17.0	40.0	24.0
subimage_A1	1552	0.33229375571954284	0.2744641151932452	0.2443399981147292	0.3541666666666667	0.3816568047337278	0.2693498452012384	0.47732412060301505	0.3973509933774834	0.3018675751222921	118.0	126.0	89.0	29.0	34.0	10.0
subimage_H2	7566	0.3236363636363636	0.39221556886227543	0.2087912087912088	0.3324022346368715	0.4356060606060606	0.2323943661971831	0.34701492537313433	0.45229681978798586	0.27296420536718624	96.0	126.0	66.0	29.0	57.0	29.0
subimage_G2	5576	0.3258892914194432	0.38609112709832133	0.1845537711728987	0.3400673400673401	0.43652022212393726	0.22297297297297297	0.35906040268456374	0.4603324348607367	0.27884615384615385	108.0	138.0	70.0	36.0	66.0	30.0
subimage_F2	5294	0.32802547770700635	0.3862854296839627	0.21911671683462025	0.3355048859934853	0.43154761904761907	0.23333333333333334	0.3432343234323432	0.4426229508196721	0.2785469205695659	107.0	137.0	74.0	32.0	62.0	31.0
subimage_E2	2774	0.3339631782945736	0.36182281104098357	0.22974490767180658	0.35347432024169184	0.39233038348082594	0.2551928783382789	0.37913908083402675	0.4140792753067485	0.2756892230576441	118.0	132.0	86.0	32.0	45.0	13.0
