subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2712	0.31599330855018587	0.39080572257930746	0.22916666666666666	0.3236363636363636	0.4306569343065693	0.2462686567164179	0.33428126264670177	0.44482758620689655	0.2809317139606248	92.0	122.0	69.0	21.0	51.0	30.0
subimage_G1	3160	0.31775544650392273	0.3951612903225806	0.2175641258868474	0.3262411347517731	0.43680235694427155	0.23702501202501203	0.3396271553669766	0.45418560606060593	0.27638634348211644	91.0	123.0	66.0	25.0	55.0	31.0
subimage_F1	7482	0.3210232514256961	0.3930952629836757	0.2089041095890411	0.33093525179856115	0.436426116838488	0.23443223443223443	0.34296028880866425	0.45588235294117646	0.2748683445087413	95.0	126.0	65.0	27.0	57.0	30.0
subimage_E1	5320	0.3260269678361317	0.3931352560213339	0.20375548589341694	0.3353846153846154	0.44256756756756754	0.22304832713754646	0.34492753623188405	0.4564459930313589	0.27202825181030255	99.0	130.0	66.0	32.0	64.0	32.0
subimage_D1	1599	0.3575745668869441	0.3509092203124444	0.23372593176444095	0.3755020080321285	0.35827664399092973	0.2664015904572565	0.3995744680851064	0.36515513126491644	0.2908779813342551	165.0	156.0	115.0	48.0	40.0	-8.0
subimage_C1	3056	0.35466544789762344	0.3532608695652174	0.23988214214971276	0.36750483558994196	0.36007827788649704	0.26846943305564985	0.378698224852071	0.3973722193920869	0.28716471647164715	182.0	175.5	130.0	46.0	44.0	-4.0
subimage_B1	2012	0.3333333333333333	0.359375	0.23456971734790374	0.34210526315789475	0.4032258064516129	0.252767678418236	0.37453796390875044	0.41499599839935974	0.28208351239077495	107.0	127.0	81.0	28.0	48.0	19.0
subimage_A1	3017	0.31952798663324977	0.3921662337662338	0.22040816326530613	0.3311036789297659	0.43389830508474575	0.23469387755102042	0.34314885717600646	0.4456298048492016	0.2769732441471572	97.0	127.0	69.0	28.0	57.0	30.0
subimage_H2	2487	0.33520025179007	0.3820119782893505	0.20699987001169895	0.34770114942528735	0.4233983286908078	0.22933333333333333	0.36024307730860794	0.4403882374384835	0.2719845824411135	124.0	151.0	81.0	42.0	69.0	27.0
subimage_G2	7425	0.321656050955414	0.39145672540167953	0.21502440456530517	0.32974910394265233	0.43252595155709345	0.23711340206185566	0.34513274336283184	0.4505419495180587	0.27714285714285714	98.0	128.0	69.0	27.0	57.0	30.0
subimage_F2	7491	0.3192307692307692	0.39384615384615385	0.21011673151750973	0.3283018867924528	0.4344262295081967	0.23745819397993312	0.3481247069854665	0.456	0.2729845035699421	94.0	124.0	67.0	26.0	56.0	30.0
subimage_E2	2156	0.3236363636363636	0.37962962962962965	0.24776119402985075	0.3411764705882353	0.3981191222570533	0.2628398791540785	0.3545099100827896	0.4084084084084084	0.2869766505636071	109.0	127.0	83.0	25.0	42.0	18.0
subimage_D2	8384	0.3229166666666667	0.39601979896923717	0.2	0.33220338983050846	0.44224422442244227	0.2271186440677966	0.34686346863468637	0.45985401459854014	0.26815933936718467	97.0	130.0	65.0	31.0	62.0	32.0
subimage_C2	6754	0.32209737827715357	0.3895131834946705	0.20279720279720279	0.3333333333333333	0.44	0.2276923076923077	0.35126158782377365	0.458041958041958	0.2706959471850357	97.0	129.0	65.0	31.0	61.0	30.0
subimage_B2	187	0.3349299346056319	0.3494493734249318	0.26170106002634386	0.3577981651376147	0.3625	0.2801556420233463	0.3665594855305466	0.37959249909844933	0.2932083633741889	115.0	116.0	88.0	25.0	26.0	1.0
subimage_A2	1205	0.3379501385041551	0.3477634155895025	0.2442505561289578	0.36507936507936506	0.35797665369649806	0.2711864406779661	0.37619009900990097	0.40335205905566646	0.29450506857483605	183.0	177.0	135.0	44.0	44.0	-4.0
subimage_H3	6966	0.3230445116681072	0.3860355497985032	0.21101662099368523	0.3321678321678322	0.4326923076923077	0.23529411764705882	0.3522727272727273	0.4521452145214521	0.2773109243697479	100.0	129.5	70.0	29.0	58.0	30.0
subimage_G3	7582	0.32614596724030687	0.39411979390296265	0.20879685383110042	0.3333333333333333	0.4389438943894389	0.22772277227722773	0.34539226726726724	0.4551971326164875	0.2720903872063734	100.0	131.0	67.0	31.0	63.0	32.0
subimage_F3	4824	0.335423197492163	0.3572815533980582	0.2086706159393627	0.3501683501683502	0.42258064516129035	0.23076923076923078	0.3824884792626728	0.4472843450479233	0.2768361581920904	113.0	139.5	74.0	41.0	60.0	23.0
subimage_E3	1357	0.32796383680628055	0.3659081618749148	0.24828980543266257	0.33793103448275863	0.3862928348909657	0.2735562310030395	0.37299622425082446	0.40069686411149824	0.28826921578304804	99.0	114.0	80.0	19.0	33.0	14.0
