od_conv_slope	experiment	fluor	od_conv_intercept
102374827.240558	overnight_275	neon	0
47037572.0970922	exponential_275	neon	0
37988684.3174102	overnight_200	neon	0
27682101.1420189	exponential_200	neon	0
7088367.95023527	overnight_275	crim	0
4826700.47009108	exponential_275	crim	0
1361636.35215183	overnight_200	crim	0
2638974.87441422	exponential_200	crim	0
102212641.96155	overnight_275_winter	neon	16002.2224118872
45036639.3181379	exponential_275_winter	neon	209776.183900723
37907200.561149	overnight_200_winter	neon	15421.3660746069
27431380.9484105	exponential_200_winter	neon	42592.3297845726
0.973976041182606	allLog10_winter	neon	7.60930797801767
7030214.33505268	overnight_275_winter	crim	6295.03772953676
4802497.74056861	exponential_275_winter	crim	2537.39470541241
1352295.75010759	overnight_200_winter	crim	759.730396947035
2595787.16157255	exponential_200_winter	crim	7651.05807201166
0.988557410367271	allLog10_winter	crim	6.49370760451684
