UniqueID	plate	experiment	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	plate_alias	note	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	neon_raw	crim_raw	neon_CFU	crim_CFU	Neon.100	Crim.100	X	Abs600	Neon.btm.raw	Crim.btm.raw	crim_raw_blanks	neon_raw_blanks	crim_raw_blanked	neon_raw_blanked	ratio_cn_fluor	CN_FC_fluor	ratio_cn_CFU	CN_FC_CFU	yoffset_ave	CN_FC_fluor_offset	NN_FC_fluor	NN_FC_fluor_offset	NN_FC_CFU
2023-08-08_fluor_fluor_A_001_cropped_A_1	fluor_A_001_cropped	2023-08-08_fluor	A	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.02	1	1	1-1	14575000	14575000	29150000	7.16360859322827	7.16360859322827	7.46463857399364	5	A1	764	0.3310380134165	0.348087501389897	0.225438184663537	0.344997829257161	0.395104895104895	0.257142857142857	0.394658135610936	0.428070175438596	0.287268177649679	108	125	81	30	44	17	0.231060606060606	0.352	0.490196078431373	224.925591941982	234.537796725828	45927	63968	1066.66666666667	3866.66666666667	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	60872.4607843137	30960.137254902	1.96615603745993	0.975377820934176	3.62499999999999	1.85798099512757	-1.293638561443	2.26901638237718	-0.975377820934176	-2.26901638237718	-1.85798099512757
2023-08-08_fluor_fluor_A_001_cropped_B_1	fluor_A_001_cropped	2023-08-08_fluor	B	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.0101	100	1	100-1	14575000	145750	14720750	7.16360859322827	5.16361154314283	7.16792996671589	5	B1	947	0.320549450549451	0.365063493650635	0.240748366836032	0.342431761786601	0.398373983739837	0.259776536312849	0.362957322805039	0.419113625648279	0.28671427087661	128	148	96	32	51	21	0.230769230769231	0.351351351351351	0.580392156862745	276.84317537244	241.362838162546	123170	2291	4266.66666666667	133.333333333333	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	1	108203.137254902	9.2418762095985e-06	-16.7233828038832	0.0312499999999999	-5	-1.293638561443	-15.4297442424402	16.7233828038832	15.4297442424402	5
2023-08-08_fluor_fluor_A_001_cropped_C_1	fluor_A_001_cropped	2023-08-08_fluor	C	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.010001	10000	1	10000-1	14575000	1457.5	14576457.5	7.16360859322827	3.16390643345775	7.16365202050215	5	C1	1954	0.339152119700748	0.364105444242056	0.220939495158767	0.352760736196319	0.408602150537634	0.238219895287958	0.376393720568395	0.426700026511135	0.276154884693977	127	149	86	42	61	20	0.224867724867725	0.422818791946309	0.584313725490196	332.40582293492	312.916638419698	209159	1781	2733.33333333333	0	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	1	194192.137254902	5.14953908091228e-06	-17.5671252623566	0	-Inf	-1.293638561443	-16.2734867009136	17.5671252623566	16.2734867009136	Inf
2023-08-08_fluor_fluor_A_001_cropped_D_1	fluor_A_001_cropped	2023-08-08_fluor	D	1	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	0.01	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.01	1	0	1-0	14575000	0	14575000	7.16360859322827	0	7.16360859322827	5	D1	1041	0.327814569536424	0.364532019704433	0.23202614379085	0.339563862928349	0.402555910543131	0.258064516129032	0.361493123772102	0.421768707482993	0.288073394495413	115	137	87	28	49	22	0.24	0.364963503649635	0.537254901960784	280.661697863606	264.338778303373	134731	2293	1833.33333333333	0	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	1	119764.137254902	8.34974494803594e-06	-16.8698364397403	0	-Inf	-1.293638561443	-15.5761978782973	16.8698364397403	15.5761978782973	Inf
2023-08-08_fluor_fluor_A_001_cropped_E_1	fluor_A_001_cropped	2023-08-08_fluor	E	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.02	1	1	1-1	14575000	14575000	29150000	7.16360859322827	7.16360859322827	7.46463857399364	5	E1	2178	0.324373629051913	0.38958988380041	0.218534698647671	0.337243401759531	0.416909620991254	0.246200607902736	0.351727145148356	0.436305732484076	0.278065601345669	115	143	84	31	58	27	0.245762711864407	0.412587412587413	0.56078431372549	373.884809787581	338.494614255739	118779	113072	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	109976.460784314	103812.137254902	1.05937960331436	0.0832196371946965	NA	NA	-1.293638561443	1.3768581986377	-0.0832196371946965	-1.3768581986377	NA
2023-08-08_fluor_fluor_A_001_cropped_F_1	fluor_A_001_cropped	2023-08-08_fluor	F	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.0101	100	1	100-1	14575000	145750	14720750	7.16360859322827	5.16361154314283	7.16792996671589	5	F1	1922	0.325235222065962	0.385027478631846	0.24	0.337748344370861	0.407523510971787	0.256172839506173	0.354368203154611	0.418600936176536	0.278504717021624	107	130	81	26	48	22	0.244897959183673	0.376923076923077	0.509803921568627	302.12609414994	303.136549314321	308886	4845	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	1749.46078431373	293919.137254902	0.00595218399405038	-7.39236516090411	NA	NA	-1.293638561443	-6.0987265994611	7.39236516090411	6.0987265994611	NA
2023-08-08_fluor_fluor_A_001_cropped_G_1	fluor_A_001_cropped	2023-08-08_fluor	G	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	0.01	1e-06	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.010001	10000	1	10000-1	14575000	1457.5	14576457.5	7.16360859322827	3.16390643345775	7.16365202050215	5	G1	1760	0.33157060518732	0.385699404761905	0.212882295775453	0.350974930362117	0.418498389694042	0.228610783156238	0.363852119402182	0.433962264150943	0.272078173374613	128	152	83	44	68	24	0.22463768115942	0.453947368421053	0.596078431372549	376.508085292204	330.982039588768	149894	2293	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	1	134927.137254902	7.4114075222008e-06	-17.0418210143145	NA	NA	-1.293638561443	-15.7481824528715	17.0418210143145	15.7481824528715	NA
2023-08-08_fluor_fluor_A_001_cropped_H_1	fluor_A_001_cropped	2023-08-08_fluor	H	1	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	col0	0.01	0	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.01	1	0	1-0	14575000	0	14575000	7.16360859322827	0	7.16360859322827	5	H1	1273	0.358911149825784	0.346349189427917	0.248102949681897	0.381742738589212	0.355769230769231	0.25891181988743	0.394073952364326	0.367741935483871	0.293722302732447	196	183	134	62	50	-11	0.131720430107527	0.316326530612245	0.768627450980392	86.9447439839813	129.382059499972	121516	4082	NA	NA	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	986.460784313726	106549.137254902	0.00925827096988851	-6.75504149680075	NA	NA	-1.293638561443	-5.46140293535775	6.75504149680075	5.46140293535775	NA
2023-08-08_fluor_fluor_A_001_cropped_A_2	fluor_A_001_cropped	2023-08-08_fluor	A	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	0.01	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	0.0101	1	100	1-100	145750	14575000	14720750	5.16361154314283	7.16360859322827	7.16792996671589	5	A2	2016	0.331283595130012	0.386781279847182	0.227985294117647	0.340361445783133	0.403846153846154	0.256211419753086	0.35495206211083	0.423339416058394	0.275	108	129	82	27	47	20	0.24113475177305	0.364341085271318	0.505882352941176	287.509413144511	290.335918706031	16415	73751	66.6666666666667	5200	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	70655.4607843137	1448.13725490196	48.7905828989235	5.60853081406774	78	6.28540221886225	-1.293638561443	6.90216937551074	-5.60853081406774	-6.90216937551074	-6.28540221886225
2023-08-08_fluor_fluor_A_001_cropped_B_2	fluor_A_001_cropped	2023-08-08_fluor	B	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	col0	1e-04	1e-04	2023-08-31	2023-08-03	2023-08-08	2023-08-15	12_12	110	23_23	0.5	0.5	5.8	NA	WCS365Neon-N2C3Crim-A	NA	2e-04	1	1	1-1	145750	145750	291500	5.16361154314283	5.16361154314283	5.46464004895348	5	B2	7024	0.338086994471923	0.39234932520866	0.180762958936601	0.350946607740086	0.444767441860465	0.201210356698162	0.363636363636364	0.470059880239521	0.257428852803117	128	161	72	53	87	34	0.228464419475655	0.552795031055901	0.631372549019608	596.230180929453	485.808335493176	75555	47102	2400	2400	NA	NA	NA	NA	NA	NA	3095.53921568627	14966.862745098	44006.4607843137	60588.137254902	0.726321401814566	-0.461320003695066	1	0	-1.293638561443	0.832318557747936	0.461320003695066	-0.832318557747936	0
