UniqueID	plate	experiment	row	col	StrainMix	protect	lacZ_protect	fluor_protect	path	lacZ_path	fluor_path	plant	protect_od	path_od	date_ster	date_germ	date_inoc	date_process	light_dn	light_lx	temp_dn	MS	MES	pH	notes	plate_alias	note	totalOD	ratio_protect	ratio_path	ratio	protect_cells	path_cells	total_cells	protect_cells_log	path_cells_log	total_cells_log	plant_age	well	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median	hue	saturation	value	Healthiness_rgb	Healthiness_hsv	neon_raw	crim_raw	neon_CFU	crim_CFU	Neon.100	Crim.100	X	Abs600	Neon.btm.raw	Crim.btm.raw	crim_raw_blanks	neon_raw_blanks	crim_raw_blanked	neon_raw_blanked	ratio_cn_fluor	CN_FC_fluor	ratio_cn_CFU	CN_FC_CFU	yoffset_ave	CN_FC_fluor_offset	WN_FC_fluor	WN_FC_fluor_offset
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_E_1	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	E	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	0.01	0.01	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.02	1	1	1-1	14575000	14575000	29150000	7.16360859322827	7.16360859322827	7.46463857399364	5	E1	1	0.354074074074074	0.336296296296296	0.30962962962963	0.354074074074074	0.336296296296296	0.30962962962963	0.354074074074074	0.336296296296296	0.30962962962963	239	227	209	30	18	-12	0.0999999999999999	0.125523012552301	0.937254901960784	-1.80617997398389	3.77861919243491	50010	57540	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	54477.5	37058.7777777778	1.47002959262913	0.555845197721208	NA	NA	-1.293638561443	1.84948375916421	-0.555845197721208	-1.84948375916421
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_F_1	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	F	1	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	0.01	1e-04	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.0101	100	1	100-1	14575000	145750	14720750	7.16360859322827	5.16361154314283	7.16792996671589	5	F1	16	0.354131711409396	0.331186415037253	0.307593680641091	0.355919091189473	0.333045977011494	0.310771580077863	0.358603723564863	0.33610561970359	0.313898483663538	214.5	202	186.5	27	13	-14	0.0922619047619047	0.130536130536131	0.841176470588235	-18.4567338206741	14.8189264035456	138323	3928	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	865.5	125371.777777778	0.00690346755339231	-7.1784630871937	NA	NA	-1.293638561443	-5.8848245257507	7.1784630871937	5.8848245257507
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_H_1	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	H	1	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	NOPLANT	0.01	0	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.01	1	0	1-0	14575000	0	14575000	7.16360859322827	0	7.16360859322827	5	H1	13	0.354147387339098	0.312413059487767	0.283418803418803	0.358108108108108	0.340531561461794	0.302325581395349	0.390322808504627	0.343862901362901	0.306302073890732	211	202	177	30	22	-9	0.122549019607843	0.161137440758294	0.827450980392157	4.58451214271295	22.6328601042306	155315	3143	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	80.5	142363.777777778	0.000565452822737369	-10.7883057182735	NA	NA	-1.293638561443	-9.49466715683048	10.7883057182735	9.49466715683048
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_E_2	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	E	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	1e-04	0.01	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.0101	1	100	1-100	145750	14575000	14720750	5.16361154314283	7.16360859322827	7.16792996671589	5	E2	9	0.354013216708444	0.326729544412691	0.303879232092361	0.354775828460039	0.335164835164835	0.30952380952381	0.357363895750752	0.341508761474054	0.31824543778712	194	183	169	25	14	-10	0.0933333333333334	0.128865979381443	0.76078431372549	-6	12.0274914089347	18616	142647	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	139584.5	5664.77777777778	24.6407724143342	4.62297557579288	NA	NA	-1.293638561443	5.91661413723588	-4.62297557579288	-5.91661413723588
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_F_2	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	F	2	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	1e-04	1e-04	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	2e-04	1	1	1-1	145750	145750	291500	5.16361154314283	5.16361154314283	5.46464004895348	5	F2	22	0.354187726801452	0.332639165089012	0.291737117552335	0.355959085019436	0.343575939461092	0.301522600906096	0.362062144619676	0.346826662681368	0.311633161512027	223	214	187	34	27	-8	0.125	0.161434977578475	0.874509803921569	14.9790061961935	27.4788128344357	281036	108151	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	105088.5	268084.777777778	0.391997266204762	-1.35108450189021	NA	NA	-1.293638561443	-0.0574459404472074	1.35108450189021	0.0574459404472074
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_G_3	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	G	3	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	1e-06	1e-06	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	2e-06	1	1	1-1	1457.5	1457.5	2915	3.16390643345775	3.16390643345775	3.46478751964594	5	G3	7	0.354672193043943	0.340424007166318	0.295297835064448	0.356870229007634	0.34315424610052	0.299826689774697	0.361633221594649	0.346597979084852	0.303371379947772	202	196	171	32	25	-8	0.134408602150538	0.153465346534653	0.792156862745098	8.12780988292749	18.628093791088	453804	79588	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	76525.5	440852.777777778	0.173585160074855	-2.5262844789111	NA	NA	-1.293638561443	-1.2326459174681	2.5262844789111	1.2326459174681
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_G_4	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	G	4	MOCK-N2C3	MOCK	NA	neon	N2C3	NA	crim	NOPLANT	0	1e-06	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	1e-06	0	1	0-1	0	1457.5	1457.5	0	3.16390643345775	3.16390643345775	5	G4	12	0.353967611336032	0.336213829497215	0.302126150402418	0.355920031055901	0.3390625	0.305294060559006	0.356824532888499	0.342350230414747	0.307680784266373	226.5	215.5	194.5	31.5	21	-10	0.109375	0.141280353200883	0.888235294117647	1.11394335230684	17.2132526846531	19385	140091	NA	NA	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	137028.5	6433.77777777778	21.2982954545455	4.41266606817056	NA	NA	-1.293638561443	5.70630462961357	-4.41266606817056	-5.70630462961357
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_E_5	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	E	5	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	0.01	0.01	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.02	1	1	1-1	14575000	14575000	29150000	7.16360859322827	7.16360859322827	7.46463857399364	5	E5	1	0.354037267080745	0.324534161490683	0.321428571428571	0.354037267080745	0.324534161490683	0.321428571428571	0.354037267080745	0.324534161490683	0.321428571428571	228	209	207	21	2	-19	0.0158730158730158	0.0921052631578948	0.894117647058824	-10.8370798439033	0.440102332842076	68836	67556	333	2400	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	64493.5	55884.7777777778	1.15404413445919	0.206698398461621	7.20720720720721	2.84944032342462	-1.293638561443	1.50033695990462	-0.206698398461621	-1.50033695990462
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_H_5	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	H	5	WCS365-MOCK	WCS365	L	neon	MOCK	NA	crim	NOPLANT	0.01	0	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.01	1	0	1-0	14575000	0	14575000	7.16360859322827	0	7.16360859322827	5	H5	34	0.356054911453688	0.335790594136402	0.278373739473303	0.363711869525823	0.339362047069632	0.296907363849283	0.380667279151943	0.342952240011478	0.307145282906301	232	214.5	189	42.5	26.5	-16	0.0988372093023256	0.185344827586207	0.909803921568627	-8.49237424392652	28.285729260727	192451	4714	11000	0	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	1651.5	179499.777777778	0.00920056849343051	-6.76406127813222	0	-Inf	-1.293638561443	-5.47042271668922	6.76406127813222	5.47042271668922
2023-09-14_fluor_Ncrim_WneonLacZ_A_001_crop_E_6	Ncrim_WneonLacZ_A_001_crop	2023-09-14_fluor	E	6	WCS365-N2C3	WCS365	L	neon	N2C3	NA	crim	NOPLANT	1e-04	0.01	2023-09-05	2023-09-09	2023-09-14	2023-09-21	12_12	110	23_23	0.5	0.5	5.8	NA	Ncrim_WneonLacZ_A_001_crop	NA	0.0101	1	100	1-100	145750	14575000	14720750	5.16361154314283	7.16360859322827	7.16792996671589	5	E6	3	0.354274306486696	0.331759184768034	0.310129019323415	0.356902356902357	0.332743362831858	0.311447811447811	0.357231391557136	0.332748942237652	0.313091683799648	204	190	177	27	12	-14	0.0802469135802469	0.132352941176471	0.8	-9.6329598612474	6.39442801247019	22354	119130	0	1100	NA	NA	NA	NA	NA	NA	3062.5	12951.2222222222	116067.5	9402.77777777778	12.3439586410635	3.62573322810822	Inf	Inf	-1.293638561443	4.91937178955122	-3.62573322810822	-4.91937178955122
