experiment,transfer_h,strain_number,abs_600,strain,fluor,plant_quality,plant,bio_rep,tech_rep,CFU,dilution,mL_plated,total_volume,CFU_mL,CFU_well
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,1,A,66,-1,0.005,0.5,132000,66000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,1,B,89,-1,0.005,0.5,178000,89000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,1,C,64,-1,0.005,0.5,128000,64000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,2,A,9,1,0.005,0.5,180,90
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,2,B,12,1,0.005,0.5,240,120
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,bad,col0,2,C,14,1,0.005,0.5,280,140
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,1,A,45,-2,0.005,0.5,900000,450000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,1,B,34,-2,0.005,0.5,680000,340000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,1,C,38,-2,0.005,0.5,760000,380000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,2,A,59,-1,0.005,0.5,118000,59000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,2,B,78,-1,0.005,0.5,156000,78000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,2,C,63,-1,0.005,0.5,126000,63000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,3,A,28,-2,0.005,0.5,560000,280000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,3,B,33,-2,0.005,0.5,660000,330000
2024_03_Peffect_Trial5,6,strain 1,NA,N2C3,crim,good,col0,3,C,31,-2,0.005,0.5,620000,310000
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,1,A,81,1,0.005,0.5,1620,810
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,1,B,68,1,0.005,0.5,1360,680
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,1,C,68,1,0.005,0.5,1360,680
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,2,A,140,1,0.005,0.5,2800,1400
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,2,B,120,1,0.005,0.5,2400,1200
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,2,C,120,1,0.005,0.5,2400,1200
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,3,A,10,-1,0.005,0.5,20000,10000
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,3,B,8,-1,0.005,0.5,16000,8000
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,bad,col0,3,C,11,-1,0.005,0.5,22000,11000
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,1,A,181,1,0.005,0.5,3620,1810
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,1,B,151,1,0.005,0.5,3020,1510
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,1,C,157,1,0.005,0.5,3140,1570
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,2,A,213,1,0.005,0.5,4260,2130
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,2,B,211,1,0.005,0.5,4220,2110
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,2,C,206,1,0.005,0.5,4120,2060
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,3,A,165,1,0.005,0.5,3300,1650
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,3,B,153,1,0.005,0.5,3060,1530
2024_03_Peffect_Trial5,6,strain 1,NA,WCS365,neon,good,col0,3,C,169,1,0.005,0.5,3380,1690
2024_03_Peffect_Trial5,6,strain 2,0.03,WCS365,neon,NA,overnight,1,A,62,-4,0.005,0.275,124000000,34100000
2024_03_Peffect_Trial5,6,strain 2,0.03,WCS365,neon,NA,overnight,1,B,60,-4,0.005,0.275,120000000,33000000
2024_03_Peffect_Trial5,6,strain 2,0.03,WCS365,neon,NA,overnight,1,C,56,-4,0.005,0.275,112000000,30800000
2024_03_Peffect_Trial5,6,strain 2,0.01,WCS365,neon,NA,overnight,1,A,142,-3,0.005,0.275,28400000,7810000
2024_03_Peffect_Trial5,6,strain 2,0.01,WCS365,neon,NA,overnight,1,B,149,-3,0.005,0.275,29800000,8195000
2024_03_Peffect_Trial5,6,strain 2,0.001,WCS365,neon,NA,overnight,1,A,147,-2,0.005,0.275,2940000,808500
2024_03_Peffect_Trial5,6,strain 2,0.001,WCS365,neon,NA,overnight,1,B,148,-2,0.005,0.275,2960000,814000
2024_03_Peffect_Trial5,6,strain 2,0.001,WCS365,neon,NA,overnight,1,C,159,-2,0.005,0.275,3180000,874500
2024_03_Peffect_Trial5,6,strain 2,0.0001,WCS365,neon,NA,overnight,1,A,138,-1,0.005,0.275,276000,75900
2024_03_Peffect_Trial5,6,strain 2,0.0001,WCS365,neon,NA,overnight,1,B,117,-1,0.005,0.275,234000,64350
2024_03_Peffect_Trial5,6,strain 2,0.0001,WCS365,neon,NA,overnight,1,C,166,-1,0.005,0.275,332000,91300
2024_03_Peffect_Trial5,6,strain 2,0.03,N2C3,crim,NA,overnight,1,A,99,-4,0.005,0.275,198000000,54450000
2024_03_Peffect_Trial5,6,strain 2,0.03,N2C3,crim,NA,overnight,1,B,88,-4,0.005,0.275,176000000,48400000
2024_03_Peffect_Trial5,6,strain 2,0.03,N2C3,crim,NA,overnight,1,C,83,-4,0.005,0.275,166000000,45650000
2024_03_Peffect_Trial5,6,strain 2,0.01,N2C3,crim,NA,overnight,1,A,56,-4,0.005,0.275,112000000,30800000
2024_03_Peffect_Trial5,6,strain 2,0.01,N2C3,crim,NA,overnight,1,B,39,-4,0.005,0.275,78000000,21450000
2024_03_Peffect_Trial5,6,strain 2,0.01,N2C3,crim,NA,overnight,1,C,38,-4,0.005,0.275,76000000,20900000
2024_03_Peffect_Trial5,6,strain 2,0.001,N2C3,crim,NA,overnight,1,A,41,-3,0.005,0.275,8200000,2255000
2024_03_Peffect_Trial5,6,strain 2,0.001,N2C3,crim,NA,overnight,1,B,38,-3,0.005,0.275,7600000,2090000
2024_03_Peffect_Trial5,6,strain 2,0.001,N2C3,crim,NA,overnight,1,C,41,-3,0.005,0.275,8200000,2255000
2024_03_Peffect_Trial5,6,strain 2,0.0001,N2C3,crim,NA,overnight,1,A,30,-2,0.005,0.275,600000,165000
2024_03_Peffect_Trial5,6,strain 2,0.0001,N2C3,crim,NA,overnight,1,B,44,-2,0.005,0.275,880000,242000
2024_03_Peffect_Trial5,6,strain 2,0.0001,N2C3,crim,NA,overnight,1,C,36,-2,0.005,0.275,720000,198000
