plate,experiment,well,row,col,abs600nm,neon_top,crim_top,readtime
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A1,A,1,0.0863,132144,2176,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A2,A,2,0.162,294902,4384,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A3,A,3,0.1501,580477,7143,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A4,A,4,0.1772,863862,7704,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A5,A,5,0.1436,392007,3305,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A6,A,6,0.1536,351342,6062,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A7,A,7,0.1018,16020,57060,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A8,A,8,0.0928,14433,41080,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A9,A,9,0.124,14365,44403,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A10,A,10,0.091,14638,36410,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A11,A,11,0.0955,14017,33100,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A12,A,12,0.0989,14158,23729,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B1,B,1,0.0938,83872,72337,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B2,B,2,0.1114,204199,84760,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B3,B,3,0.1159,185206,95804,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B4,B,4,0.0905,101636,61013,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B5,B,5,0.0881,131357,62944,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B6,B,6,0.0838,154885,69839,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B7,B,7,0.1057,22519,184664,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B8,B,8,0.0889,18857,63484,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B9,B,9,0.0872,16648,78101,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B10,B,10,0.0894,20442,78644,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B11,B,11,0.0915,17613,54075,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B12,B,12,0.0957,14714,31430,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C1,C,1,0.1269,43555,100938,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C2,C,2,0.1165,40379,182139,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C3,C,3,0.1354,81295,209513,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C4,C,4,0.1428,184861,176140,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C5,C,5,0.1363,75572,178914,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C6,C,6,0.1025,47211,119823,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C7,C,7,0.1088,22536,131152,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C8,C,8,0.0982,22050,109339,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C9,C,9,0.0896,20946,138338,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C10,C,10,0.0984,18939,101348,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C11,C,11,0.0964,18596,73169,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C12,C,12,0.1052,14930,55771,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D1,D,1,0.3831,44811,357994,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D2,D,2,0.152,56500,311051,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D3,D,3,0.1522,87971,271827,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D4,D,4,0.1614,76964,376817,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D5,D,5,0.1443,47444,327912,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D6,D,6,0.1908,75367,491980,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D7,D,7,0.1441,30356,374801,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D8,D,8,0.1676,25308,262948,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D9,D,9,0.1675,35540,436394,7
PlateA_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D10,D,10,0.141,23786,205472,7
