subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	112	0.3541855436573311	0.3407484328787588	0.2788961957790623	0.3570280202113	0.3432822648482425	0.29958114914174117	0.3710829722405108	0.35040166166403186	0.30437263805924664	214.5	204.5	177.0	34.0	26.0	-9.0
subimage_G1	2	0.35713011437277564	0.3403007635827025	0.3005702175806611	0.358129566604706	0.3408314700239162	0.3010389633713778	0.3591290188366364	0.34136217646512995	0.30150770916209446	207.0	197.0	174.0	33.0	23.0	-10.0
subimage_F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E1	1443	0.337037037037037	0.3639214032127667	0.23333333333333334	0.3468013468013468	0.39416058394160586	0.2597402597402597	0.3685641596438225	0.4157564200355962	0.27960526315789475	100.0	113.0	74.0	24.0	37.0	13.0
subimage_D1	5697	0.34035087719298246	0.3951563878811648	0.17218543046357615	0.3517915309446254	0.44339622641509435	0.20503597122302158	0.36363636363636365	0.46964789596368545	0.2563524738172625	105.0	133.0	61.0	42.0	69.0	27.0
subimage_C1	6001	0.3519061583577713	0.37889688249400477	0.1994949494949495	0.3643410852713178	0.41421568627450983	0.22193211488250653	0.37995337995337997	0.42819148936170215	0.265	143.0	160.0	86.0	54.0	73.0	19.0
subimage_B1	8776	0.336996336996337	0.39883969284491383	0.15254237288135594	0.34726688102893893	0.4309210526315789	0.2236842105263158	0.3638989674640986	0.488	0.25357151653981624	104.0	130.0	67.0	38.0	63.0	26.0
subimage_A1	9784	0.3367003367003367	0.33448275862068966	0.1811320754716981	0.3483606557377049	0.426056338028169	0.22916666666666666	0.3833922261484099	0.4596774193548387	0.29429570145088496	100.0	124.0	67.0	35.0	57.0	23.0
subimage_H2	6	0.35569381176978654	0.340697793075298	0.28635000820786655	0.36071287196874513	0.34236968639517606	0.296711952015827	0.36716789272054307	0.34659807161595857	0.30275097491876757	216.5	206.5	177.0	38.0	27.0	-11.0
subimage_G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E2	6	0.35683209381228514	0.3127185904899377	0.3210425846040278	0.3596408338546034	0.3162591767896118	0.3246270146532334	0.365401162656578	0.31729640232720746	0.3263439611781578	242.5	213.0	218.0	23.5	-6.0	-29.5
subimage_D2	5990	0.34310850439882695	0.39210801074612284	0.2	0.3514376996805112	0.4310850439882698	0.21739130434782608	0.3595505617977528	0.44516129032258067	0.26013488543976354	116.0	143.0	72.0	44.0	71.0	26.0
subimage_C2	11413	0.3432040324348017	0.38995023085686875	0.16666666666666666	0.36085626911314983	0.4301369863013699	0.2096317280453258	0.3788047606989111	0.4594594594594595	0.26126982088977335	131.0	158.0	75.0	54.0	79.0	26.0
subimage_B2	3191	0.35627164743630607	0.3429312988267855	0.27522935779816515	0.36807817589576547	0.34627831715210355	0.2857142857142857	0.37585620455078583	0.3494809688581315	0.29949238578680204	219.0	206.0	170.0	49.0	36.0	-13.0
subimage_A2	9794	0.33797909407665505	0.39572192513368987	0.19207317073170732	0.3502994011976048	0.43097643097643096	0.21794871794871795	0.3669724770642202	0.45229681978798586	0.2598980802415876	113.0	139.0	69.0	42.0	67.0	26.0
subimage_H3	3	0.35412583182093166	0.3357181747472128	0.30703007518796993	0.356140350877193	0.33575317604355714	0.30714285714285716	0.3570426065162907	0.3367332123411978	0.3100246305418719	200.0	188.0	172.0	28.0	16.0	-11.0
subimage_G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F3	25	0.355018941115859	0.3432283317622176	0.24165801315334023	0.36886993603411516	0.34901960784313724	0.28091872791519434	0.399520348118479	0.35948601662887375	0.30123116256031984	183.0	178.0	145.0	44.0	35.0	-9.0
subimage_E3	5	0.35672161476245823	0.33838339999765404	0.28767284929385306	0.358814352574103	0.3391167192429022	0.30265210608424337	0.3702840566884226	0.34204309401772437	0.30477834965963807	227.0	215.0	192.0	36.0	23.0	-13.0
subimage_D3	18450	0.33714285714285713	0.38951125737801884	0.16764460945903745	0.3504043126684636	0.4337748344370861	0.2166172106824926	0.37345102709902156	0.46932017009590044	0.2647058823529412	113.0	140.0	68.0	42.0	69.0	27.0
subimage_C3	11903	0.3506849315068493	0.37203791469194314	0.1724137931034483	0.3618421052631579	0.42857142857142855	0.21069182389937108	0.3821656050955414	0.45187165775401067	0.2709664843111363	137.0	161.0	76.0	56.0	82.0	25.0
subimage_B3	10203	0.34177572766931275	0.3844521044992743	0.16854363080631968	0.3546511627906977	0.4310850439882698	0.21448467966573817	0.3769968051118211	0.45918367346938777	0.2659234153495193	122.0	147.0	73.0	48.0	74.0	26.0
subimage_A3	4554	0.3396825396825397	0.38720800889877643	0.20379629629629628	0.34796238244514105	0.4272151898734177	0.22542568542568542	0.3583061889250814	0.4452296819787986	0.26413580246913576	108.0	133.0	70.0	38.0	63.0	25.0
subimage_H4	2	0.3582916019373116	0.32911678698711505	0.3035036096134515	0.36033537421182493	0.333660787718176	0.3060038380699991	0.3623791464863383	0.33820478844923696	0.30850406652654666	119.5	110.5	101.5	18.0	9.0	-9.0
subimage_G4	5	0.35347290640394086	0.33604417200879694	0.288344118766654	0.3554817275747508	0.34054054054054056	0.3017241379310345	0.3716178149980967	0.34443349753694585	0.307890365448505	99.0	96.0	84.0	14.0	10.0	-6.0
subimage_F4	87	0.3558790678303012	0.3392124964008062	0.21796078590483534	0.4027777777777778	0.3515151515151515	0.24281984334203655	0.4284313725490196	0.3598442333980862	0.304900963104719	145.0	128.0	86.0	55.0	40.0	-17.0
subimage_E4	4	0.3542433227755689	0.34118052279653466	0.30164223177744387	0.35545633480147787	0.34150817885279666	0.3030024361518481	0.356616847122209	0.3418920202386503	0.30447132556102163	217.5	209.0	185.5	32.0	23.5	-8.5
subimage_D4	9456	0.34285714285714286	0.38497652582159625	0.15272727272727274	0.3564356435643564	0.434375	0.21021021021021022	0.38028169014084506	0.47178839164016356	0.26498271889400926	115.0	139.0	68.0	48.0	72.0	25.0
subimage_C4	5905	0.33969465648854963	0.38830327249162977	0.18214285714285713	0.3484848484848485	0.43333333333333335	0.21830985915492956	0.3619331911869225	0.4634146341463415	0.26495726495726496	105.0	132.0	65.0	39.0	64.0	26.0
subimage_B4	5581	0.33876221498371334	0.38961038961038963	0.20915032679738563	0.346875	0.4241486068111455	0.22955974842767296	0.3548387096774194	0.44039735099337746	0.26649076517150394	112.0	137.0	74.0	38.0	63.0	25.0
subimage_A4	9746	0.3365155677655678	0.40156473927902103	0.18018813866870403	0.3482758620689655	0.4397163120567376	0.21254355400696864	0.35895469561113735	0.46308724832214765	0.25554679284963194	103.0	131.0	62.0	39.0	65.0	27.0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F5	1	0.35344827586206895	0.3017241379310345	0.3448275862068966	0.35344827586206895	0.3017241379310345	0.3448275862068966	0.35344827586206895	0.3017241379310345	0.3448275862068966	41.0	35.0	40.0	1.0	-5.0	-6.0
subimage_E5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D5	12698	0.33955223880597013	0.39400921658986177	0.16707492795389048	0.356353591160221	0.4346590909090909	0.21065989847715735	0.375366568914956	0.4636363636363636	0.2563304510607951	127.0	156.0	74.0	53.0	80.0	29.0
subimage_C5	5137	0.3398839685687009	0.38950276243093923	0.21262458471760798	0.34782608695652173	0.4249201277955272	0.22741433021806853	0.35735735735735735	0.43769968051118213	0.26304824561403506	111.0	135.0	72.0	38.0	63.0	25.0
subimage_B5	10133	0.34579439252336447	0.37901498929336186	0.17163193931333431	0.36	0.4276923076923077	0.21492537313432836	0.3783783783783784	0.45724907063197023	0.26666666666666666	123.0	147.0	72.0	48.0	70.0	24.0
subimage_A5	6937	0.34195031516499813	0.3834681141759905	0.19633186650820675	0.35697399527186763	0.4214046822742475	0.22131147540983606	0.3743984248002381	0.4409221902017291	0.2636563436563436	131.0	156.0	81.0	50.0	73.0	24.0
subimage_H6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F6	2	0.3549409414625673	0.3382994615250999	0.3036798679867987	0.35634010769498004	0.3384401598054542	0.30521973249956574	0.35773927392739274	0.33858085808580857	0.3067595970123328	209.5	199.0	179.5	30.0	19.5	-10.5
subimage_E6	3	0.3541159664733319	0.3389466412562983	0.3016942938775758	0.3555926544240401	0.3393829401088929	0.3055091819699499	0.3589712436638196	0.34012386102119857	0.3058086501557579	206.0	198.0	178.0	30.0	20.0	-10.0
subimage_D6	4041	0.34759358288770054	0.38082191780821917	0.20496894409937888	0.35555555555555557	0.4262295081967213	0.21823204419889503	0.3677811550151976	0.4376899696048632	0.26376146788990823	126.0	150.0	77.0	48.0	74.0	25.0
subimage_C6	1650	0.34037427162707307	0.3439987071955603	0.25259206035566734	0.3589160264574175	0.3580446037435285	0.2775800711743772	0.39262741685269964	0.3872053872053872	0.2972972972972973	113.0	116.0	87.0	26.0	27.0	-2.0
subimage_B6	8410	0.34355828220858897	0.3918729798500791	0.196875	0.35403726708074534	0.4246781647136491	0.21979723063314394	0.3698630136986301	0.4458204334365325	0.2584027740444062	122.0	147.0	75.0	45.0	70.0	24.0
subimage_A6	10860	0.33418367346938777	0.3860103626943005	0.1916905077311841	0.3487654320987654	0.4255952380952381	0.22456140350877193	0.3680395816518698	0.4552238805970149	0.2675167507651584	113.0	138.0	73.0	40.0	65.0	25.0
subimage_H7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D7	3809	0.3524355300859599	0.35820917407277675	0.19827586206896552	0.3611111111111111	0.4265129682997118	0.21405750798722045	0.37989648373315804	0.4375	0.2734971361276163	132.0	156.0	78.0	53.0	77.0	24.0
subimage_C7	3443	0.34568441526866034	0.366768202876041	0.17539582272032603	0.36555891238670696	0.4214876033057851	0.21505376344086022	0.3853211009174312	0.4461492399815753	0.2729528535980149	129.0	149.0	75.0	51.0	71.0	19.0
subimage_B7	7979	0.339842661908078	0.390826571691877	0.17793594306049823	0.3523809523809524	0.43130990415335463	0.21818181818181817	0.3704918032786885	0.45714285714285713	0.2594650706069391	107.0	131.0	66.0	40.0	64.0	24.0
subimage_A7	5953	0.34615384615384615	0.3693739724702621	0.20505263530996348	0.3563714902807775	0.4128686327077748	0.22938144329896906	0.3808432029640114	0.42857142857142855	0.27040786028558317	136.0	156.0	87.0	48.0	70.0	21.0
subimage_H8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
