subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2476	0.35365853658536583	0.34765625	0.21492537313432836	0.36712328767123287	0.3773180023066438	0.2507042253521127	0.38424821002386633	0.42120343839541546	0.2901821925500717	141.0	148.0	96.0	47.0	47.0	4.0
subimage_G1	1955	0.3419107492528084	0.35491306328632294	0.21708210720673937	0.3536977491961415	0.41569767441860467	0.23248407643312102	0.37563079190243626	0.4278127090301003	0.2788435357104078	118.0	139.0	77.0	41.0	60.0	21.0
subimage_F1	7331	0.34049079754601225	0.39104367572031024	0.17482258696503983	0.3486590038314176	0.4308176100628931	0.22073578595317725	0.36923076923076925	0.4642857142857143	0.258974358974359	111.0	136.0	70.0	40.0	66.0	26.0
subimage_E1	14377	0.3400673400673401	0.3994442861214021	0.19325153374233128	0.3498452012383901	0.4358974358974359	0.21359223300970873	0.3652173913043478	0.4521056896108772	0.2542927689594356	116.0	144.0	70.0	45.0	73.0	28.0
subimage_D1	7928	0.3391304347826087	0.39091976710458365	0.17204301075268819	0.34831460674157305	0.4294294294294294	0.2222222222222222	0.36917562724014336	0.4666666666666667	0.2611850541108888	111.0	136.0	70.0	40.0	65.0	26.0
subimage_C1	6816	0.33840967409131795	0.3872549019607843	0.19883040935672514	0.3492957746478873	0.4251497005988024	0.2245508982035928	0.3669633607475845	0.44642857142857145	0.26303317535545023	126.0	152.0	80.0	44.0	71.0	27.0
subimage_B1	11199	0.33986928104575165	0.3854875283446712	0.18055555555555555	0.3484848484848485	0.4326923076923077	0.2197452229299363	0.36645962732919257	0.4623287671232877	0.2651723666584653	110.0	136.0	68.0	40.0	66.0	26.0
subimage_A1	5354	0.34053785634231054	0.38737142205496633	0.21374045801526717	0.34782608695652173	0.41975308641975306	0.23229064841968067	0.35744000299283585	0.43683604194132647	0.2633695063361957	107.0	130.0	71.0	35.0	57.5	22.0
subimage_H2	3157	0.35661487236403994	0.3425823613668918	0.2532935442615018	0.3786610878661088	0.34942084942084944	0.2703252032520325	0.39294593739038186	0.3630715581966338	0.29908139627765795	188.0	174.0	135.0	54.0	40.0	-14.0
subimage_G2	3241	0.34050179211469533	0.351010101010101	0.24124513618677043	0.35646687697160884	0.36971830985915494	0.2716049382716049	0.3738738738738739	0.40625	0.2885085574572127	110.0	115.0	84.0	26.0	31.0	4.0
subimage_F2	5430	0.3447204968944099	0.37906976744186044	0.16557258966199365	0.35597826086956524	0.425531914893617	0.22056602097032166	0.38517340662216987	0.45454545454545453	0.26937399104158616	127.0	149.0	78.0	48.0	72.0	23.0
subimage_E2	8368	0.3460514729843099	0.38119534753363227	0.16666666666666666	0.3586136235161108	0.42143747773423584	0.22024562989752863	0.38258826962357745	0.45686900958466453	0.26635514018691586	127.0	149.0	77.0	48.0	71.0	22.0
subimage_D2	4172	0.35662076886636457	0.3532664567249086	0.2110979184989739	0.3682983682983683	0.4068181818181818	0.2234762979683973	0.39423805225513375	0.42036553524804177	0.28541801577418013	161.0	177.0	98.0	62.0	79.0	16.0
subimage_C2	8200	0.3435890273599771	0.3898712722591719	0.178125	0.35127478753541075	0.4329268292682927	0.2169811320754717	0.36741214057507987	0.45794882687406047	0.2588844544654376	116.0	143.0	71.0	44.0	71.0	27.0
subimage_B2	9601	0.3426395939086294	0.394919168591224	0.18421052631578946	0.3559322033898305	0.4297520661157025	0.21467391304347827	0.36939313984168864	0.45288753799392095	0.25617283950617287	128.0	154.0	76.0	50.0	76.0	27.0
subimage_A2	8756	0.34105960264900664	0.38596491228070173	0.17906520031421838	0.34944237918215615	0.43354430379746833	0.21660649819494585	0.36736323922540265	0.4631692868534974	0.26191975530766465	104.0	129.0	64.0	38.0	63.0	25.0
subimage_H3	3694	0.35648994515539306	0.3421985815602837	0.25764693438196096	0.3766990291262136	0.34814814814814815	0.2754158964879852	0.38807042814674064	0.3554738029649994	0.3	199.0	185.0	147.0	54.0	39.0	-15.0
subimage_G3	3079	0.3429737148312797	0.3456431977040226	0.24441860465116277	0.3584905660377358	0.3614864864864865	0.27835051546391754	0.37657791638458205	0.39768339768339767	0.29531899777388343	108.0	110.0	84.0	24.0	26.0	1.0
subimage_F3	10889	0.336734693877551	0.3884783902201547	0.1839080459770115	0.34595959595959597	0.4294117647058823	0.22456140350877193	0.36177474402730375	0.46153846153846156	0.26634382566585957	113.0	140.0	73.0	39.0	67.0	27.0
subimage_E3	7306	0.33958480476238523	0.38859047645866185	0.20317460317460317	0.34782608695652173	0.43042071197411	0.2216141349105338	0.35933641518007076	0.4471830985915493	0.26430374680582497	113.0	139.0	72.0	41.0	67.0	27.0
subimage_D3	6784	0.34349030470914127	0.3885101398345413	0.20125786163522014	0.3525835866261398	0.42934782608695654	0.21839080459770116	0.3629411803687161	0.4430317898816641	0.2644366263918502	123.0	150.0	76.0	47.0	74.0	27.0
subimage_C3	5520	0.3412698412698413	0.38966831290774956	0.20677502447066096	0.35060975609756095	0.423728813559322	0.2257142857142857	0.3626680483592401	0.4395973154362416	0.26016467562634815	120.0	146.0	77.0	42.0	67.0	25.0
subimage_B3	4395	0.34084235315429556	0.387859097970557	0.20781959004850573	0.3492537313432836	0.4272151898734177	0.2235294117647059	0.3592233009708738	0.4380952380952381	0.26584391102174193	118.0	145.0	76.0	42.0	69.0	26.0
subimage_A3	5651	0.34265734265734266	0.3879781420765027	0.20214686227820877	0.3501577287066246	0.43333333333333335	0.21646341463414634	0.3576158940397351	0.4456140350877193	0.26426720947446336	111.0	137.0	69.0	42.0	68.0	26.0
subimage_H4	10911	0.3366013071895425	0.395863880742913	0.190625	0.34494773519163763	0.4337748344370861	0.221875	0.3618421052631579	0.4539249146757679	0.259878784519157	106.0	133.0	67.0	37.0	63.0	27.0
subimage_G4	9361	0.34515366430260047	0.39260969976905313	0.18980169971671387	0.3547400611620795	0.43116883116883115	0.21388888888888888	0.3638888888888889	0.4503311258278146	0.2591687041564792	127.0	153.0	75.0	48.0	74.0	27.0
subimage_F4	4455	0.3427066869737636	0.3795454545454545	0.2085889570552147	0.35	0.42473118279569894	0.22580645161290322	0.3588039867109635	0.4392523364485981	0.276804892601432	122.0	148.0	78.0	42.0	68.0	26.0
subimage_E4	12788	0.34	0.38672847335931676	0.1724137931034483	0.3522388059701492	0.4346454894014343	0.2125	0.3762057877813505	0.4584717607973422	0.2642857142857143	117.0	144.0	70.0	46.0	73.0	26.0
