subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	110	0.35425364431486883	0.3372339833465334	0.2910672163059659	0.35737704918032787	0.3409578620799595	0.3014486726277119	0.36493212669683256	0.34564945294460386	0.3068726626642404	247.0	235.0	208.0	38.0	27.0	-12.0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	41	0.3539518900343643	0.3556701030927835	0.22941176470588234	0.3638814016172507	0.38071065989847713	0.2553191489361702	0.3719676549865229	0.4	0.29037800687285226	139.0	146.0	98.0	42.0	48.0	7.0
subimage_E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C1	5	0.35509632796438245	0.33630127847291247	0.29283050531418986	0.3614457831325301	0.3373493975903614	0.30120481927710846	0.3643824973584437	0.3429221828578532	0.3086023935627051	210.0	196.0	175.0	35.0	21.0	-11.0
subimage_B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H2	4	0.35596097201767307	0.33978092783505154	0.30183047810506075	0.35687971064714546	0.3402368223525988	0.3029411764705882	0.35798629927453895	0.3410401188707281	0.3033204106384822	242.0	231.0	206.0	36.5	25.5	-11.5
subimage_G2	1	0.3546617915904936	0.34552102376599636	0.29981718464351004	0.3546617915904936	0.34552102376599636	0.29981718464351004	0.3546617915904936	0.34552102376599636	0.29981718464351004	194.0	189.0	164.0	30.0	25.0	-5.0
subimage_F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C2	11	0.3556237426785357	0.3364489900031098	0.29061312950059426	0.3619047619047619	0.3378119001919386	0.3007246376811594	0.37146652373517275	0.33938606208845645	0.3071981522208759	193.0	178.0	158.0	33.0	20.0	-13.0
subimage_B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G3	13	0.3540912374750024	0.33748544988239154	0.3001630561378989	0.3552	0.3392	0.3036093418259023	0.3587464754334939	0.3445376193803867	0.3082383852629647	211.0	202.0	181.0	30.0	21.0	-10.0
subimage_F3	18	0.3563080490046782	0.33829346466541593	0.2749153645833333	0.3660128719477197	0.34323842107199354	0.2909663284065648	0.38123358348968106	0.3463258597798621	0.3024409735083892	214.5	199.0	167.5	44.5	31.0	-15.0
subimage_E3	1	0.35413153456998314	0.33558178752107926	0.3102866779089376	0.35413153456998314	0.33558178752107926	0.3102866779089376	0.35413153456998314	0.33558178752107926	0.3102866779089376	210.0	199.0	184.0	26.0	15.0	-11.0
subimage_D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C3	2	0.35448302217880534	0.3484008104490032	0.29385582872028654	0.3556410325988639	0.3488729693548971	0.295485998046239	0.3567990430189225	0.34934512826079095	0.2971161673721915	236.5	232.0	196.5	40.0	35.5	-4.5
subimage_B3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F4	73	0.3550848706071072	0.3369602649732943	0.22185904566327258	0.38817480719794345	0.35201793721973096	0.2544987146529563	0.4257163452874392	0.35704478587773786	0.30652776535813286	168.0	151.0	106.0	53.0	40.0	-17.0
subimage_E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D5	94	0.35733824583276724	0.33732737329112605	0.2284335948852078	0.37243589743589745	0.34451300205121416	0.2804906559791107	0.4232795698924731	0.35022879348800845	0.3027775688280427	213.0	197.5	160.0	52.0	37.5	-17.5
subimage_C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A5	9	0.35412851096575604	0.34792142843188967	0.29172463567819906	0.3555045871559633	0.35	0.29357798165137616	0.3580811646662225	0.3512513262185608	0.2975258356287484	160.0	157.0	133.0	27.0	25.0	-3.0
subimage_H6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_D7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A7	15	0.35427586900749536	0.33767961625639137	0.29955201592832253	0.3553054662379421	0.3401709401709402	0.30427350427350425	0.3593827775012444	0.34202374098747157	0.30718477819748385	208.0	199.0	177.0	30.0	21.0	-10.0
subimage_H8	2907	0.3562883466639668	0.3440134907251265	0.2571428571428571	0.3703099510603589	0.3494363929146538	0.2795341098169717	0.38908270441763204	0.35778692553452934	0.2987012987012987	220.0	207.0	166.0	54.0	42.0	-12.0
subimage_G8	4833	0.3567753001715266	0.3426470588235294	0.25848114889180374	0.368575624082232	0.34649122807017546	0.28509406657018815	0.391122753678267	0.3514705882352941	0.2995658465991317	246.0	231.0	188.0	55.0	40.0	-15.0
subimage_F8	7274	0.34657039711191334	0.34791252485089463	0.21575342465753425	0.38243260059585243	0.36900485884740764	0.24257425742574257	0.39950980392156865	0.4246074481074481	0.2931726907630522	164.0	158.0	101.0	56.0	52.0	-6.0
subimage_E8	7595	0.3484848484848485	0.3568904593639576	0.16379310344827586	0.3638888888888889	0.4417910447761194	0.19883040935672514	0.3756937057881964	0.46647230320699706	0.27679721030042914	131.0	161.0	71.0	57.0	85.0	29.0
subimage_D8	90	0.3567556445981445	0.33488336536781405	0.22090761694966274	0.3952838744785053	0.34328358208955223	0.2592508615998549	0.43285831118380697	0.351667746643889	0.30624737358173415	168.0	139.0	103.0	53.5	34.0	-20.0
subimage_C8	28	0.35614607284098226	0.32676929378237746	0.25654735763431413	0.3791199758897504	0.3327930848190167	0.28232542693429097	0.4128126088470916	0.3447908286403861	0.3129164759300729	155.5	134.0	114.5	37.5	18.0	-18.5
subimage_B8	2	0.3542750157372496	0.34240826427330684	0.3011342717276796	0.35440935019760794	0.3433651539438305	0.3022254958585616	0.35454368465796626	0.3443220436143541	0.30331671998944365	241.0	233.5	205.5	35.5	28.0	-7.5
subimage_A8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H9	5088	0.3543629168883751	0.35294117647058826	0.19207317073170732	0.3695425251883453	0.3948821358414192	0.2236180904522613	0.3973207207207207	0.43859649122807015	0.28624185113546813	146.0	158.5	86.0	57.0	66.0	9.0
subimage_G9	9425	0.33962264150943394	0.37694076038903623	0.13934426229508196	0.3510971786833856	0.45425867507886436	0.1967741935483871	0.3672079918032787	0.5	0.26879271070615035	109.0	142.0	61.0	47.0	79.0	33.0
subimage_F9	1009	0.3543601854281466	0.34231378763866877	0.27103396383072575	0.35823429541595925	0.34502923976608185	0.2958801498127341	0.3702179031636628	0.3607981970138041	0.3023255813953488	232.0	223.0	191.0	39.0	31.0	-8.0
subimage_E9	3873	0.35850733752620545	0.34384384384384387	0.2573386823237699	0.37329286798179057	0.34762633996937214	0.2790346907993967	0.3899159663865546	0.3537590940240754	0.29644523402347706	239.0	222.0	178.0	60.0	44.0	-16.0
subimage_D9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B9	44	0.3539325842696629	0.34065000716317717	0.2927665305746562	0.35561987475911605	0.34757281553398056	0.2965457914727911	0.35990625	0.3495209099264706	0.30136543277957767	184.0	179.0	153.0	31.0	26.0	-4.0
subimage_A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H10	3301	0.3480825958702065	0.37971698113207547	0.21468926553672316	0.35789473684210527	0.3994252873563218	0.24277456647398843	0.37566137566137564	0.4171597633136095	0.2655086848635236	125.0	140.0	84.0	40.0	54.0	14.0
subimage_G10	60	0.35596669330626174	0.34266146047864426	0.24516407599309153	0.3761048743092928	0.34855732179738796	0.2750571087535886	0.4006911471779411	0.35578583765112265	0.30102172055293364	237.0	218.0	173.5	63.0	46.0	-17.5
subimage_F10	8190	0.3535662457595175	0.35524829784934614	0.14492753623188406	0.37104072398190047	0.4224240803226072	0.20858019281332163	0.3888888888888889	0.47	0.28444258355785335	160.0	180.0	88.0	67.0	89.0	22.0
subimage_E10	5767	0.33861261804299775	0.3560258051966998	0.21988009066315714	0.3564954682779456	0.3901098901098901	0.2585227272727273	0.3814601139601139	0.4232081911262799	0.2818181818181818	118.0	129.0	87.0	33.0	45.0	12.0
subimage_D10	128	0.3545765721382311	0.3382661148291652	0.2751149466483708	0.36187659676389183	0.3415386363259809	0.2965782546137582	0.37873591659444406	0.3465150018520805	0.30677406997531287	243.0	228.0	199.0	44.0	31.0	-14.0
subimage_C10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A10	15	0.3552397868561279	0.3456988197710533	0.28397041048203836	0.35842293906810035	0.34782608695652173	0.29482758620689653	0.3651859014649712	0.3508436880529904	0.29834235513355223	204.0	197.0	167.0	36.0	30.0	-6.0
subimage_H11	6880	0.3455056179775281	0.3808044409816907	0.20125786163522014	0.3558823529411765	0.40331491712707185	0.23893805309734514	0.36755224773575945	0.43865327528201065	0.2682926829268293	120.0	138.0	80.0	41.0	56.0	16.0
subimage_G11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F11	8557	0.33151573384578426	0.3924050632911392	0.15693206064008983	0.34563758389261745	0.44108761329305135	0.2126984126984127	0.36626506024096384	0.4865934592227696	0.26276268403405406	114.0	146.0	70.0	43.0	74.0	31.0
subimage_E11	4487	0.35714285714285715	0.345262688638862	0.21103117505995203	0.38388625592417064	0.35282651072124754	0.2564102564102564	0.3945710245652885	0.40188462473210934	0.2962184786347952	196.0	191.0	142.0	71.0	57.0	-6.0
subimage_D11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_H12	3135	0.35789473684210527	0.34843205574912894	0.22524083489430025	0.3803418803418803	0.37193763919821826	0.2471395881006865	0.3939393939393939	0.39525305410122163	0.28416183630883374	165.0	165.0	107.0	60.0	53.0	-3.0
subimage_G12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F12	7754	0.35222323049001814	0.38700077813442274	0.18848167539267016	0.36082474226804123	0.4297520661157025	0.20947630922693267	0.372376012392662	0.4420029626070942	0.2615175410363695	143.0	169.0	81.0	59.0	85.0	26.0
subimage_E12	2333	0.35714285714285715	0.34285714285714286	0.25132002038641527	0.3698630136986301	0.34782608695652173	0.28253968253968254	0.39686253941998	0.35306553911205074	0.29889005329436863	230.0	216.0	174.0	55.0	41.0	-15.0
subimage_D12	4	0.35488505747126436	0.34339080459770116	0.2950524601439166	0.3557540280078302	0.3434566832304372	0.30078928876173266	0.36040281085149595	0.34454472900458744	0.3017241379310345	246.0	237.5	208.0	38.0	29.5	-8.5
subimage_C12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_A12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
