subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4913	0.3500656455142232	0.37995824634655534	0.18997361477572558	0.3621495327102804	0.4125	0.22439024390243903	0.3785900783289817	0.4361347517730496	0.2684160102192889	150.0	170.0	93.0	57.0	78.0	20.0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	8614	0.3506849315068493	0.38116634522661524	0.1685673081062465	0.36272040302267	0.4298780487804878	0.20461095100864554	0.38734177215189874	0.46853146853146854	0.2587136187644937	142.0	169.0	79.0	60.0	84.0	26.0
subimage_E1	3371	0.34552767809871165	0.35353535353535354	0.20121035669816156	0.3601036269430052	0.4094488188976378	0.23513513513513515	0.37988187165645954	0.4322033898305085	0.2766841475281373	140.0	160.0	90.0	50.0	67.0	20.0
subimage_D1	8268	0.34671055750450364	0.3726758396595353	0.16787579957356077	0.3598014888337469	0.415775171624714	0.224859897936821	0.37435897435897436	0.47058823529411764	0.26841667708463557	138.0	158.0	86.0	51.0	71.0	21.0
subimage_C1	5560	0.359291009787259	0.35185185185185186	0.2222222222222222	0.37969924812030076	0.37813211845102507	0.24268722674063278	0.3869346733668342	0.39540816326530615	0.2854611481660891	169.0	169.0	108.0	61.0	60.0	1.0
subimage_B1	6950	0.3521660861873566	0.37115384615384617	0.184375	0.36134453781512604	0.4116161616161616	0.228287841191067	0.3782608695652174	0.4537313432835821	0.26304375612457925	145.0	167.0	92.0	55.0	74.0	21.0
subimage_A1	17541	0.33881578947368424	0.39819004524886875	0.1651376146788991	0.35638297872340424	0.45110410094637227	0.19230769230769232	0.3699731903485255	0.4695121951219512	0.2567237163814181	126.0	159.0	68.0	57.0	90.0	33.0
subimage_H2	8091	0.3477272727272727	0.3875540697147599	0.14914862914862914	0.36314363143631434	0.4348958333333333	0.20253164556962025	0.3806646525679758	0.47504152823920265	0.26353970249319086	134.0	161.0	75.0	60.0	87.0	26.0
subimage_G2	6	0.35641371340523886	0.33295511850731213	0.3001880971796963	0.35840155339073715	0.3343752060343964	0.3075099962079211	0.3650008462449802	0.33493633366603154	0.3101103699628662	231.0	216.0	198.5	33.0	17.5	-16.0
subimage_F2	14612	0.3421828908554572	0.38122605363984674	0.12654320987654322	0.3598182418353242	0.44200626959247646	0.20197057618051212	0.3768996960486322	0.5066225165562914	0.2671232876712329	127.0	157.0	70.0	53.0	81.0	29.0
subimage_E2	7861	0.3493282149712092	0.3858267716535433	0.16184971098265896	0.3609022556390977	0.43005181347150256	0.20802005012531327	0.37920489296636084	0.4610951008645533	0.26239669421487605	147.0	175.0	85.0	62.0	92.0	28.0
subimage_D2	3993	0.35478703286341196	0.3419773095623987	0.20595533498759305	0.37336244541484714	0.35269709543568467	0.258252427184466	0.39453693181818184	0.4211822660098522	0.3016751054852321	191.0	184.0	133.0	65.0	51.0	-8.0
subimage_C2	4865	0.3576388888888889	0.3439562281499928	0.23479945257395515	0.3790186125211506	0.35067114093959734	0.27	0.39274485031584727	0.37237820512820513	0.29789974988864903	219.0	202.0	156.0	61.0	46.0	-15.0
subimage_B2	19134	0.3394736842105263	0.40390073899899226	0.16666666666666666	0.36033519553072624	0.4564459930313589	0.18181818181818182	0.36950146627565983	0.47126436781609193	0.248902044899294	135.0	171.0	69.0	67.0	104.0	36.0
subimage_A2	8270	0.3425076452599388	0.38924668146225033	0.18043848152491318	0.35342465753424657	0.43531267396548523	0.21364985163204747	0.36666666666666664	0.45986640533477513	0.26077149395227184	124.0	152.0	74.0	49.0	77.0	29.0
subimage_H3	77	0.2983231559561888	0.3765286855482934	0.30462814950140826	0.30864197530864196	0.37988826815642457	0.3111111111111111	0.3142857142857143	0.38553724867424777	0.32088202284280715	54.0	67.0	55.0	0.0	12.0	13.0
subimage_G3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F3	6946	0.3391304347826087	0.3833161895248033	0.19182700886218998	0.3488372093023256	0.43376623376623374	0.21774193548387097	0.3617021276595745	0.45121951219512196	0.2684444196464155	130.0	162.0	81.0	48.0	79.0	32.0
subimage_E3	5411	0.3426183844011142	0.3893677145884846	0.18994413407821228	0.3516483516483517	0.43902439024390244	0.209366391184573	0.36548954438443426	0.45054945054945056	0.2649487520005448	133.0	166.0	79.0	53.0	87.0	33.0
subimage_D3	10814	0.3341902313624679	0.39400428265524623	0.1314675958597977	0.34814814814814815	0.4419889502762431	0.20833333333333334	0.37370554346662865	0.49680201698513804	0.2631927830940989	130.0	165.0	77.0	52.0	86.0	35.0
subimage_C3	5880	0.3485254691689008	0.35839110311653666	0.19496588849802793	0.3633537074051544	0.4178743961352657	0.22025316455696203	0.3772819472616633	0.4428591325109431	0.27866105762280624	140.0	164.0	85.0	56.0	75.0	21.0
subimage_B3	5052	0.34292911220761607	0.38631974248927037	0.18915768099705924	0.3563218390804598	0.4278728606356968	0.21503983508830576	0.37416812932344135	0.4497354497354497	0.26359832635983266	141.0	169.0	85.0	55.0	84.0	28.0
subimage_A3	6902	0.3482849604221636	0.3891781925679281	0.17699115044247787	0.35772357723577236	0.4373259052924791	0.20434701917480028	0.3684210526315789	0.4630840113079695	0.2593283853598195	133.0	162.0	76.0	56.0	85.0	29.0
subimage_H4	89	0.3004301075268817	0.3767936981051735	0.30413278564841983	0.30697674418604654	0.38181818181818183	0.3105263157894737	0.31609251369446134	0.387434554973822	0.3169492966849795	55.0	68.0	56.0	-1.0	13.0	14.0
subimage_G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F4	5852	0.34396625925288343	0.3747205858063095	0.1837072780919597	0.3562005277044855	0.4205607476635514	0.22146347138203815	0.37755102040816324	0.45990539253397805	0.26939171358198455	137.0	163.0	85.0	51.0	77.0	24.0
subimage_E4	6108	0.3413229540918164	0.3943057020537321	0.18072289156626506	0.3528204761263385	0.44542772861356933	0.2011173184357542	0.3633879781420765	0.4662303380550969	0.2583700930257377	122.0	153.0	69.0	52.0	84.0	32.0
subimage_D4	7971	0.3434065934065934	0.3976844715501642	0.1836734693877551	0.3507692307692308	0.4401294498381877	0.20952380952380953	0.3616686738926803	0.45993031358885017	0.2505998653539637	118.0	148.0	70.0	47.0	77.0	30.0
subimage_C4	16113	0.33791208791208793	0.3858530510585305	0.15185185185185185	0.35135135135135137	0.44761904761904764	0.2006079027355623	0.3741935483870968	0.4819277108433735	0.2608695652173913	126.0	159.0	70.0	51.0	83.0	33.0
subimage_B4	10246	0.3425462157563708	0.39050131926121373	0.15262577025659893	0.3524590163934426	0.4415954415954416	0.2064516129032258	0.3653697308883067	0.4861966743900777	0.2582773411722359	121.0	152.0	72.0	51.0	82.0	31.0
subimage_A4	11875	0.3344262295081967	0.39065187346437347	0.16883116883116883	0.34810126582278483	0.4463768115942029	0.20655737704918034	0.3666037735849056	0.4745222929936306	0.261921032649962	116.0	148.0	67.0	46.0	77.0	32.0
subimage_H5	113	0.2995424461044074	0.37735849056603776	0.30383942933072244	0.3057324840764331	0.38164251207729466	0.3110236220472441	0.31443245173161954	0.3894841628959276	0.31910517770160557	57.0	72.0	59.0	-1.0	13.0	15.0
subimage_G5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F5	13961	0.3418079096045198	0.3825503355704698	0.13503649635036497	0.35494880546075086	0.45077720207253885	0.19230769230769232	0.37669376693766937	0.498371335504886	0.26651480637813213	127.0	159.0	68.0	54.0	88.0	32.0
subimage_E5	7374	0.34195402298850575	0.3851964988941037	0.1870742498592229	0.3493975903614458	0.44047619047619047	0.20984455958549222	0.360313315926893	0.4617737003058104	0.27045454545454545	128.0	160.0	76.0	50.0	83.0	33.0
subimage_D5	93	0.3556376875551633	0.33948957559024456	0.22141121069421238	0.3734290843806104	0.34558823529411764	0.28035714285714286	0.4279393893361689	0.35166697709070593	0.3036877701523155	211.0	196.0	160.0	54.0	37.0	-17.0
