subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2	0.35430421280556135	0.34202857604133036	0.30341934319740166	0.3543918213071473	0.3420649015175977	0.303543277175255	0.3544794298087333	0.342101226993865	0.30366721115310835	230.0	222.0	197.0	33.0	25.0	-8.0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E1	100	0.3549823358502151	0.3359924528301887	0.21379140896382276	0.38607718295218296	0.343844057112324	0.2706072046562844	0.4324440486331604	0.35531359439668897	0.3049119241192412	187.0	162.5	123.0	51.5	33.5	-19.5
subimage_D1	43	0.35410665207935377	0.33635654885654886	0.3039645239352881	0.35524256651017216	0.3380281690140845	0.30672926447574334	0.35722068505381727	0.3396765498652291	0.3089550684525738	233.0	221.0	201.0	32.0	21.0	-11.0
subimage_C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_B1	67	0.35428458378867245	0.3375826596199073	0.29449444522570667	0.35676625659050965	0.3403068340306834	0.30071942446043165	0.3625624957389269	0.3479613282891971	0.3067677409150037	241.0	227.0	202.0	36.0	26.0	-11.0
subimage_A1	1002	0.35503004449337183	0.3404690200796485	0.25555555555555554	0.3700315140977522	0.345679012345679	0.2843778659889806	0.3940010382194536	0.350875350140056	0.3033865069252536	184.0	172.0	143.0	44.0	31.0	-13.0
subimage_H2	27	0.3542457805907173	0.33863045289229327	0.2989012846517918	0.35668789808917195	0.33986928104575165	0.30258899676375406	0.35956727518593645	0.3420477018548827	0.3068406308362731	220.0	209.0	187.0	33.0	23.0	-11.0
subimage_G2	5	0.35444444444444445	0.33659656084656087	0.30513595166163143	0.35585585585585583	0.33783783783783783	0.3063063063063063	0.3564954682779456	0.338368580060423	0.3081256613756614	237.0	225.0	204.0	33.0	21.0	-12.0
subimage_F2	40	0.35431918008784774	0.3390357698289269	0.2952728554871322	0.355747874062517	0.3421034775233248	0.30129578068108803	0.36091951626355295	0.34499208812403653	0.3060215998852378	236.5	225.5	199.5	36.5	27.0	-10.0
