subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	8589	0.33834529069654606	0.3876348866346037	0.19172207192749172	0.3601036269430052	0.4269005847953216	0.21666666666666667	0.3696808510638298	0.44385026737967914	0.26282051282051283	136.0	160.0	81.0	54.0	78.0	25.0
subimage_G1	10415	0.3278236914600551	0.3853904282115869	0.21656050955414013	0.3377049180327869	0.42443729903536975	0.23717948717948717	0.35294117647058826	0.43956043956043955	0.2765957446808511	110.0	138.0	76.0	32.0	60.0	28.0
subimage_F1	3522	0.343446088794926	0.3816091954022989	0.18412698412698414	0.36103896103896105	0.4273743016759777	0.21150941203811294	0.3695652173913043	0.45110410094637227	0.26896467414214653	137.0	160.0	80.0	55.0	80.0	25.0
subimage_E1	14865	0.31640625	0.3870056497175141	0.208	0.33191489361702126	0.42160278745644597	0.24509803921568626	0.3525835866261398	0.4622557651991614	0.2831072631072631	100.0	125.0	72.0	25.0	51.0	26.0
subimage_D1	3291	0.35607675906183367	0.35205183585313177	0.209629128839096	0.3710144927536232	0.3739130434782609	0.25392670157068065	0.38997214484679665	0.40730337078651685	0.28822897200786224	150.0	153.0	101.0	45.0	46.0	1.0
subimage_C1	2334	0.3556019663301944	0.34532374100719426	0.22926456491639152	0.38241533517607135	0.3620309050772627	0.2527352821470469	0.3962082998968245	0.3804957274630751	0.2958533343801171	171.0	164.0	115.0	57.5	47.0	-7.0
subimage_B1	8183	0.32840236686390534	0.3887536288313875	0.2034393834601324	0.336734693877551	0.43213296398891965	0.23024054982817868	0.3583815028901734	0.44871794871794873	0.2748091603053435	111.0	140.0	74.0	34.0	65.0	30.0
subimage_A1	8530	0.33114754098360655	0.27297297297297296	0.18269230769230768	0.3584905660377358	0.411598206421651	0.24324324324324326	0.48863916079456676	0.4548736462093863	0.3002916394075778	125.0	142.0	85.0	44.0	55.0	22.0
subimage_H2	4075	0.34585596481583286	0.3855140186915888	0.1896551724137931	0.36134453781512604	0.4166666666666667	0.2211764705882353	0.37119113573407203	0.4454022988505747	0.26851851851851855	144.0	165.0	89.0	56.0	79.0	22.0
subimage_G2	12353	0.3212669683257919	0.3869209809264305	0.18181818181818182	0.33534743202416917	0.42402826855123676	0.24074074074074073	0.3540795356498549	0.4835680751173709	0.27673541026766124	105.0	132.0	74.0	29.0	56.0	27.0
