subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	14041	0.3285302593659942	0.39097744360902253	0.20125786163522014	0.33980582524271846	0.4370629370629371	0.22297297297297297	0.3539518900343643	0.45307443365695793	0.27170868347338933	107.0	136.0	69.0	36.0	65.0	30.0
subimage_G1	14668	0.3263157894736842	0.3983050847457627	0.20132013201320131	0.3356164383561644	0.43973941368078173	0.22302158273381295	0.35514018691588783	0.4554140127388535	0.2664756446991404	106.0	137.0	69.0	35.0	67.0	32.0
subimage_F1	2802	0.34305503793024683	0.3793103448275862	0.19209113886410945	0.36133384651570555	0.428169014084507	0.20952380952380953	0.37704170611390697	0.4433855060034305	0.27205478345184225	130.0	152.0	75.0	53.0	77.0	23.0
subimage_E1	10202	0.33210332103321033	0.3878092529804222	0.1987776795254412	0.3424242424242424	0.4397590361445783	0.21791044776119403	0.3559870550161812	0.4525993883792049	0.2743589743589744	115.0	147.0	72.0	41.0	73.0	32.0
subimage_D1	320	0.35375859361109463	0.3477166837958205	0.2321084145824502	0.35609756097560974	0.35175879396984927	0.2922358609735688	0.4042586025742054	0.36333333333333334	0.297423887587822	138.0	135.0	112.0	25.0	23.0	-2.0
subimage_C1	256	0.35383670383670385	0.34660421545667447	0.2892121606107968	0.35552713839158856	0.3507285845653251	0.2935560859188544	0.3585489036708549	0.3540963988511672	0.29867256637168144	145.0	143.5	120.0	25.0	23.0	-2.0
subimage_B1	9025	0.3310810810810811	0.38350844527197764	0.20186335403726707	0.3425	0.4273972602739726	0.22929936305732485	0.36085626911314983	0.44984802431610943	0.2762836185819071	116.0	144.0	76.0	37.0	66.0	28.0
subimage_A1	9714	0.3310344827586207	0.38258575197889183	0.18149004876762884	0.34153005464480873	0.4388059701492537	0.2206896551724138	0.3568904593639576	0.46715328467153283	0.2788556338028169	104.0	133.0	68.0	36.0	66.0	29.0
subimage_H2	19855	0.325	0.3942952154733627	0.20743034055727555	0.3356401384083045	0.43911439114391143	0.2225705329153605	0.35436383752173223	0.45454545454545453	0.2704626334519573	104.0	136.0	68.0	35.0	66.0	32.0
subimage_G2	3110	0.3363289298266877	0.38064516129032255	0.18893094465000376	0.3617021276595745	0.4263565891472868	0.21265822784810126	0.37249283667621774	0.44541628522022175	0.2699482979414744	140.0	166.0	82.0	58.0	83.0	25.0
subimage_F2	25293	0.32201290864249354	0.3956756545982726	0.20066889632107024	0.33653846153846156	0.440625	0.22185430463576158	0.35714285714285715	0.4584717607973422	0.2702702702702703	109.0	143.0	71.0	36.0	69.0	33.0
subimage_E2	12334	0.338805107662616	0.38672768878718533	0.18873239436619718	0.3549382716049383	0.4295942720763723	0.21662094791051584	0.3672495004282044	0.45187165775401067	0.2699260459512235	139.0	168.0	83.0	55.0	83.0	29.0
subimage_D2	2217	0.35077752598265216	0.3544006679620136	0.20740822401058318	0.3645320197044335	0.3775280898876405	0.2560646900269542	0.39217852887011156	0.41818181818181815	0.2865861032409647	153.0	160.0	106.0	45.0	51.0	3.0
subimage_C2	4958	0.3492063492063492	0.3458904109589041	0.19672131147540983	0.36387434554973824	0.38545980213525277	0.2520216220928965	0.3861671469740634	0.4355300859598854	0.2847113291642193	124.0	132.0	84.5	39.0	45.0	8.0
