subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F1	4	0.35402538485532375	0.344259418537662	0.2887105088418257	0.35749060783343206	0.3466528622352695	0.2970550231506407	0.36321468511917243	0.3490368658131816	0.2990752463257555	170.5	164.0	139.5	29.5	23.5	-6.5
subimage_E1	13622	0.3296414112203586	0.39093597432342836	0.19578313253012047	0.34170066634110996	0.44744744744744747	0.2116788321167883	0.3495440729483283	0.459375	0.26971724275952763	110.0	145.0	66.0	41.0	74.0	33.0
subimage_D1	4873	0.32564102564102565	0.38783223159334396	0.2202797202797203	0.3344370860927152	0.43548387096774194	0.22981366459627328	0.3450479233226837	0.44482758620689655	0.2793017456359102	104.0	135.0	71.0	32.0	63.0	31.0
subimage_C1	5770	0.32516687416562917	0.3901204024410358	0.2129032258064516	0.3375796178343949	0.43492063492063493	0.22629969418960244	0.3475705301924814	0.44673539518900346	0.2747054106819133	110.0	141.0	73.0	35.0	66.0	31.0
subimage_B1	9889	0.3282442748091603	0.39050131926121373	0.20631590631590632	0.33714285714285713	0.4339622641509434	0.22945205479452055	0.35231316725978645	0.4495114006514658	0.272	105.0	136.0	70.0	33.0	62.0	30.0
subimage_A1	5993	0.3302752293577982	0.3786407766990291	0.19929572207152277	0.3395638629283489	0.4303030303030303	0.2331288343558282	0.3548387096774194	0.45454545454545453	0.2916279280709312	110.0	140.0	75.0	33.0	63.0	29.0
subimage_H2	120	0.35648818392845194	0.3407860497680796	0.2190976689681001	0.3983758700696056	0.3507919725502713	0.2505280543776899	0.42722225536992836	0.35818011394343363	0.3006313998583974	176.0	153.0	106.5	63.0	44.0	-18.5
subimage_G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_F2	6	0.35391672547635855	0.3456900534618177	0.29594474153297684	0.35452012721373705	0.34834157962250323	0.2966750539180446	0.3550806303829943	0.3498440285204991	0.30004042637449674	191.5	187.5	161.0	30.0	27.0	-3.5
subimage_E2	11282	0.3314121037463977	0.38816309255079007	0.2	0.34146341463414637	0.4387755102040816	0.22	0.35311572700296734	0.4551083591331269	0.2697185835656203	114.0	147.0	72.0	40.0	71.0	33.0
subimage_D2	9225	0.3353846153846154	0.38018433179723504	0.1930379746835443	0.34523809523809523	0.43582089552238806	0.21902017291066284	0.3601190476190476	0.4557823129251701	0.2793825752235452	118.0	149.0	73.0	42.0	72.0	29.0
subimage_C2	6169	0.33123817034700315	0.38302467377058524	0.18243243243243243	0.3427835051546392	0.43465045592705165	0.221875	0.358682436897053	0.46689895470383275	0.2766497461928934	114.0	146.0	75.0	40.0	71.0	31.0
subimage_B2	4	0.3565827008988643	0.32805393383375037	0.31036942550164354	0.3585436435190902	0.32851858490719765	0.3128342245989305	0.36125840160918415	0.32959255072931803	0.314287953191934	200.5	184.5	175.5	25.5	9.0	-17.0
