subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4326	0.33232163721337815	0.38961038961038963	0.2135997475126995	0.3433333333333333	0.42162162162162165	0.23529411764705882	0.3539325842696629	0.4363491603937464	0.2720386231415643	121.0	149.0	83.0	38.0	65.0	27.0
subimage_G1	6866	0.3333333333333333	0.38751495215311005	0.19578839834863931	0.346031746031746	0.4328767123287671	0.22044728434504793	0.3578134222780208	0.4507462686567164	0.2743589743589744	117.0	146.0	73.0	41.0	69.0	28.0
subimage_F1	7459	0.3264705882352941	0.39276413810973637	0.2050292685106573	0.33548387096774196	0.4384858044164038	0.2267080745341615	0.3469443515110962	0.4557823129251701	0.2711864406779661	106.0	139.0	70.0	34.0	66.0	32.0
subimage_E1	2258	0.3285804683440334	0.3554942104610979	0.23548387096774193	0.34017595307917886	0.4084084084084084	0.25157232704402516	0.37926993390896496	0.42443729903536975	0.27978243726873847	115.0	139.0	86.0	31.0	52.0	24.0
subimage_D1	4618	0.3333333333333333	0.3832923832923833	0.19879518072289157	0.34210526315789475	0.42727272727272725	0.23148148148148148	0.3642204261261452	0.44660194174757284	0.27487097094364904	116.0	144.0	77.0	37.0	66.0	29.0
subimage_C1	970	0.35580821205821206	0.3486590038314176	0.25345036861249975	0.3767396726391639	0.3536713735558408	0.2694244164731761	0.38962661530815107	0.358	0.2945075046904315	188.0	177.0	134.0	53.0	42.0	-11.0
subimage_B1	3009	0.3405563287789387	0.36681222707423583	0.22167700078019137	0.35240963855421686	0.40606060606060607	0.24316939890710382	0.36837197889829465	0.42857142857142855	0.2737306843267108	126.0	147.0	87.0	40.0	58.0	20.0
subimage_A1	1432	0.35429612109744557	0.2902896642527979	0.2608695652173913	0.3714009394860459	0.3520413918143802	0.27586206896551724	0.38656337535014007	0.3553542485757843	0.35116548527808067	183.0	171.5	138.0	47.0	37.0	-12.0
subimage_H2	6843	0.3302752293577982	0.3803827751196172	0.21597633136094674	0.33866666666666667	0.4249201277955272	0.2375	0.35173796316051487	0.4401294498381877	0.2784503631961259	116.0	146.0	80.0	34.0	63.0	29.0
subimage_G2	7065	0.32867522449695147	0.3958333333333333	0.19702370500438982	0.3405994550408719	0.438953488372093	0.21910112359550563	0.35218508997429304	0.45808383233532934	0.2712765957446808	117.0	152.0	76.0	42.0	76.0	34.0
