subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	5590	0.3325327145904191	0.38961038961038963	0.19636363636363635	0.3433333333333333	0.4383116883116883	0.21656050955414013	0.35514018691588783	0.45387453874538747	0.2722449584397624	109.0	137.0	68.0	39.0	68.0	29.0
subimage_G1	9661	0.33114754098360655	0.3984375	0.1918819188191882	0.3445121951219512	0.4470588235294118	0.20833333333333334	0.35403726708074534	0.4570552147239264	0.26344086021505375	108.0	139.0	65.0	42.0	71.0	31.0
subimage_F1	3682	0.3462603878116344	0.38083566786837814	0.19729909909909912	0.35917312661498707	0.4263157894736842	0.21383280548957506	0.37948717948717947	0.44321329639889195	0.26436528431819334	141.0	164.0	83.0	57.0	82.0	27.0
subimage_E1	4363	0.34242839352428395	0.36033110193610457	0.19395810105848507	0.35764705882352943	0.4232558139534884	0.22085889570552147	0.3696572882370548	0.44565217391304346	0.27789391286435267	138.0	164.0	83.0	50.0	75.0	26.0
subimage_D1	2732	0.34448170731707317	0.3779589802022504	0.18703873950956654	0.36187845303867405	0.4113006882826105	0.2246883176850854	0.3816155988857939	0.4444444444444444	0.2711227729186913	134.0	153.0	83.0	49.0	68.0	18.0
subimage_C1	5012	0.3312606424148607	0.3892360051860891	0.19633333333333333	0.3442417003048027	0.4316109422492401	0.2242707448314925	0.3597122302158273	0.4513888888888889	0.2707435942590473	112.0	140.0	73.0	39.0	67.0	28.0
subimage_B1	6900	0.3333333333333333	0.3819951338199513	0.18181818181818182	0.34069400630914826	0.4336283185840708	0.2263255227704769	0.35374149659863946	0.4712230215827338	0.28078817733990147	109.0	139.0	72.0	37.0	67.0	30.0
subimage_A1	3326	0.33688432582381833	0.294984309623431	0.21148036253776434	0.3531073446327684	0.41081081081081083	0.23809523809523808	0.36506916391235156	0.4316109422492401	0.3485677490434291	127.0	147.0	86.0	41.0	62.0	21.0
subimage_H2	8308	0.3365695792880259	0.3798076923076923	0.17727412889300032	0.35125448028673834	0.4342105263157895	0.21594257359786145	0.37228260869565216	0.46153846153846156	0.27294685990338163	118.0	144.0	70.0	43.0	71.0	27.0
subimage_G2	10694	0.3353846153846154	0.3945684925346285	0.1934489656518345	0.3448275862068966	0.44314868804664725	0.2125748502994012	0.3560371517027864	0.4567901234567901	0.26341160970316985	115.0	148.0	70.0	44.0	75.0	32.0
subimage_F2	5050	0.33874709976798145	0.3806851139390352	0.1834319526627219	0.3490566037735849	0.43083433694634016	0.2192513368983957	0.3760217983651226	0.4491017964071856	0.27294759889067294	124.0	151.0	77.0	44.0	74.0	25.0
subimage_E2	5981	0.34	0.38562091503267976	0.19519519519519518	0.34794520547945207	0.43653250773993807	0.2153846153846154	0.35958005249343833	0.45161290322580644	0.27205882352941174	121.0	152.0	75.0	46.0	76.0	31.0
subimage_D2	3392	0.3363914373088685	0.3862269658821383	0.2103448275862069	0.345679012345679	0.4308176100628931	0.2231456043956044	0.3608389293483401	0.44193548387096776	0.26744910720489123	107.0	133.0	69.0	37.0	63.0	26.0
subimage_C2	2766	0.34153005464480873	0.3495547123054286	0.23228178368121444	0.35714285714285715	0.38198757763975155	0.2626582278481013	0.37877529447296887	0.4117647058823529	0.28658650885038695	117.0	125.0	86.0	31.0	39.0	8.0
subimage_B2	4348	0.3325083426028921	0.390764039930846	0.18461538461538463	0.3495571367606971	0.4326647564469914	0.21839080459770116	0.36470588235294116	0.45483870967741935	0.2705270813724651	121.0	150.0	76.0	46.0	75.0	29.0
subimage_A2	8313	0.3313538814801731	0.3908355795148248	0.1952662721893491	0.34105960264900664	0.43636363636363634	0.2225705329153605	0.35673779042200093	0.4539760444054922	0.27151941379600775	111.0	141.0	71.0	38.0	68.0	31.0
subimage_H3	6563	0.3333333333333333	0.38903544743831875	0.20064724919093851	0.3424657534246575	0.44126984126984126	0.21554770318021202	0.3514376996805112	0.45454545454545453	0.27358490566037735	105.0	135.0	66.0	38.0	68.0	29.0
subimage_G3	11996	0.3352601156069364	0.3839479392624729	0.17391304347826086	0.34814814814814815	0.4444444444444444	0.2054380664652568	0.3674055213316153	0.46747967479674796	0.2717948717948718	115.0	146.0	68.0	46.0	77.0	30.0
subimage_F3	2771	0.3456966490299823	0.3743455497382199	0.1856715141146279	0.3648293963254593	0.4187192118226601	0.21578947368421053	0.3817204301075269	0.44412607449856734	0.26894865525672373	136.0	156.0	81.0	53.0	77.0	19.0
subimage_E3	5024	0.33636363636363636	0.38425925925925924	0.20364741641337386	0.3518005540166205	0.4251968503937008	0.2222222222222222	0.37568836792593696	0.4382716049382716	0.26373195994605914	132.0	157.0	81.0	47.0	74.0	26.0
subimage_D3	3079	0.33064297578459656	0.3829787234042553	0.20833333333333334	0.3431952662721893	0.43119266055045874	0.2254335260115607	0.35625	0.4440993788819876	0.28079652667612925	111.0	140.0	73.0	38.0	65.0	28.0
subimage_C3	2875	0.34564643799472294	0.3521454307238781	0.19666189423884964	0.36046511627906974	0.39751552795031053	0.24633431085043989	0.38551772306617776	0.43060718203998755	0.2735294117647059	122.0	136.0	82.0	38.0	51.0	14.0
subimage_B3	6459	0.3333333333333333	0.38313253012048193	0.18181818181818182	0.3415384615384615	0.4389438943894389	0.219435736677116	0.36	0.4645390070921986	0.2781625733895642	111.0	142.0	71.0	39.0	70.0	31.0
subimage_A3	4568	0.3333333333333333	0.38321842066695977	0.18791946308724833	0.3482285486079416	0.43390317553087865	0.21844578629561565	0.3622117369214892	0.45353159851301117	0.27830952009450993	113.0	140.0	70.0	41.0	69.0	27.0
subimage_H4	6639	0.33165882086228277	0.39215686274509803	0.2	0.34185303514376997	0.44285714285714284	0.21498371335504887	0.3508771929824561	0.45726059767730026	0.27041280148423	101.0	130.0	64.0	37.0	67.0	30.0
subimage_G4	9108	0.34023668639053256	0.3839080459770115	0.1864951768488746	0.35240963855421686	0.43613707165109034	0.20754716981132076	0.36609336609336607	0.45714285714285713	0.27419354838709675	125.0	153.0	74.0	49.0	79.0	28.0
subimage_F4	5011	0.34116392825787034	0.3843640533069034	0.17511670982252547	0.3504043126684636	0.43010752688172044	0.21978021978021978	0.37219065656565653	0.4599406528189911	0.2719298245614035	131.0	159.0	80.0	47.0	77.0	27.0
subimage_E4	4435	0.33791208791208793	0.38513513513513514	0.1864951768488746	0.35142118863049093	0.4266666666666667	0.224	0.3676593478617074	0.44984802431610943	0.2707473495162505	129.0	157.0	82.0	46.0	74.0	27.0
subimage_D4	5108	0.3406036195756934	0.38487237746427927	0.18181818181818182	0.3516819571865443	0.4338461538461538	0.21316614420062696	0.37757058575642644	0.44966442953020136	0.26496229576874736	115.0	141.0	69.0	44.0	71.0	26.0
subimage_C4	2576	0.3372348769010434	0.34836389436476106	0.2315112540192926	0.35333333333333333	0.39567207537794086	0.25396825396825395	0.3782357347576863	0.416403785488959	0.28501524455704896	114.0	127.0	82.0	32.0	46.0	15.0
subimage_B4	8938	0.3333333333333333	0.3888888888888889	0.1768459336522626	0.3451086956521739	0.43489944021237303	0.2204724409448819	0.36477987421383645	0.46511627906976744	0.2723256051381051	119.0	150.0	76.0	43.0	74.0	31.0
subimage_A4	10140	0.3333333333333333	0.38186813186813184	0.1864406779661017	0.34328358208955223	0.43537414965986393	0.22189349112426035	0.36101083032490977	0.46124031007751937	0.2779159550127292	104.0	132.0	68.0	36.0	63.0	27.0
subimage_H5	19	0.35402834381207887	0.3417037981042037	0.2883124478900932	0.35685483870967744	0.3481781376518219	0.2942271880819367	0.3619932862599838	0.35143416521205834	0.3040957758532479	179.0	176.0	149.0	31.0	27.0	-5.0
subimage_G5	25	0.3540925266903915	0.343373539508078	0.29203386151508576	0.35535714285714287	0.3462214411247803	0.2982142857142857	0.3614300405299135	0.3471606704272489	0.30224243692947905	199.0	193.0	167.0	32.0	27.0	-5.0
