subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	7372	0.3262411347517731	0.3882063882063882	0.20973782771535582	0.3344594594594595	0.4417808219178082	0.22426470588235295	0.34354680522515757	0.4534412955465587	0.2795244003308519	97.0	128.0	64.0	32.0	63.0	31.0
subimage_G1	7233	0.32342007434944237	0.3870967741935484	0.2	0.3365695792880259	0.43866171003717475	0.2251655629139073	0.35251798561151076	0.45692883895131087	0.2768374762019682	99.0	129.0	66.0	32.0	62.0	30.0
subimage_F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E1	5619	0.3333333333333333	0.3804878048780488	0.1875	0.34444444444444444	0.43333333333333335	0.2222222222222222	0.3591393544713711	0.4576271186440678	0.28255528255528256	119.0	149.0	76.0	41.0	72.0	30.0
subimage_D1	6801	0.3310657596371882	0.3867924528301887	0.1951219512195122	0.3392857142857143	0.44	0.22115384615384615	0.3536977491961415	0.4576271186440678	0.27699530516431925	113.0	146.0	72.0	38.0	72.0	33.0
subimage_C1	8650	0.3306820337696832	0.3878925272879933	0.19285714285714287	0.34049079754601225	0.4391691394658754	0.21954838242744446	0.35008160237388714	0.4657039711191336	0.2718089391904853	112.0	144.0	72.0	39.0	71.0	32.0
subimage_B1	3353	0.3333333333333333	0.38228202177569265	0.20389708347301375	0.3446327683615819	0.4155495978552279	0.23901098901098902	0.3575757575757576	0.44805194805194803	0.28095238095238095	125.0	150.0	87.0	37.0	63.0	25.0
subimage_A1	9066	0.3342857142857143	0.2850356294536817	0.19292604501607716	0.3468281261432648	0.4265129682997118	0.23076923076923078	0.46788093627557337	0.45558773058773055	0.30149532101349535	115.0	141.0	77.0	39.0	63.0	27.0
subimage_H2	3836	0.33004926108374383	0.38213399503722084	0.2	0.3416149068322981	0.4281609195402299	0.23076923076923078	0.35637307329348855	0.44778408570643713	0.2821465124688203	116.0	144.0	77.0	36.0	66.0	28.0
subimage_G2	10556	0.32564102564102565	0.3904950370649579	0.18376068376068377	0.33584905660377357	0.44329896907216493	0.2208955223880597	0.3473684210526316	0.4740740740740741	0.2748866256480809	99.0	130.0	66.0	34.0	66.0	32.0
subimage_F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E2	8987	0.3342436343982705	0.38615380719657644	0.18008228315791577	0.35060975609756095	0.44108761329305135	0.20689655172413793	0.3633879781420765	0.46598639455782315	0.27575584392299235	116.0	146.0	68.0	46.0	77.0	29.0
subimage_D2	6042	0.33421087533156496	0.3897550111358575	0.19642857142857142	0.34441087613293053	0.43731778425655976	0.21613368039416192	0.3569550229926981	0.4568951746171643	0.27107061503416857	123.0	154.0	76.0	44.0	77.0	31.0
subimage_C2	5890	0.3323899647887324	0.3924380807081203	0.20958083832335328	0.34017595307917886	0.43952802359882004	0.21987951807228914	0.34782608695652173	0.4482758620689655	0.27188065888513147	113.0	146.0	72.0	39.0	72.0	33.0
subimage_B2	7328	0.3333333333333333	0.38164251207729466	0.18688524590163935	0.3436359776565962	0.4376899696048632	0.21994134897360704	0.35368402478237	0.4654952978056426	0.2780487804878049	116.0	146.0	74.0	41.0	73.0	31.0
subimage_A2	5636	0.3333333333333333	0.38143699745418796	0.18308665552637862	0.34492753623188405	0.42813455657492355	0.22820807384565772	0.3630769230769231	0.457778723623794	0.27970729765284225	116.0	142.0	75.0	38.0	66.0	27.0
subimage_H3	6195	0.33424434187016083	0.3851984126984127	0.18849840255591055	0.3449367088607595	0.43125	0.22442244224422442	0.3624291392454551	0.4523076923076923	0.275	111.0	140.0	72.0	38.0	66.0	27.0
subimage_G3	6131	0.32838574654403263	0.38496583143507973	0.20132049158894796	0.33727810650887574	0.4437299035369775	0.21846153846153846	0.3464329589329589	0.4606741573033708	0.2789911513802787	105.0	137.0	68.0	35.0	68.0	32.0
subimage_F3	9	0.35649268028020914	0.35622500328382684	0.267562288073124	0.3597285067873303	0.35990888382687924	0.28018223234624146	0.36695415008108506	0.3656273035530001	0.2870146394395817	158.0	158.0	123.0	35.0	35.0	0.0
subimage_E3	3	0.3544801525498183	0.34655649888821505	0.29501768748736606	0.3553921568627451	0.3480392156862745	0.2965686274509804	0.35842581362441883	0.3482458767621101	0.29727397068807154	174.0	168.0	143.0	28.0	25.0	-3.0
