subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	8499	0.33043478260869563	0.3880597014925373	0.2	0.34121621621621623	0.43278688524590164	0.22508038585209003	0.35235218919782674	0.4536082474226804	0.2727272727272727	107.0	136.0	70.0	36.0	65.0	29.0
subimage_G1	5691	0.33532934131736525	0.3891625615763547	0.1927688651218063	0.3467741935483871	0.42696629213483145	0.22636103151862463	0.35988200589970504	0.4506578947368421	0.2691358024691358	119.0	146.0	78.0	41.0	69.0	27.0
subimage_F1	6896	0.3303030303030303	0.3908355795148248	0.20604047115675023	0.3377926421404682	0.42857142857142855	0.23384615384615384	0.35152032268073224	0.44805194805194803	0.27201470588235294	111.0	140.0	76.0	34.0	63.0	30.0
subimage_E1	6569	0.32989690721649484	0.3863080684596577	0.2	0.3409090909090909	0.4406779661016949	0.2182890855457227	0.3546987007899719	0.4588235294117647	0.27383829197522835	106.0	136.0	67.0	37.0	68.0	30.0
subimage_D1	7218	0.3282125362629001	0.39117199243875844	0.20068027210884354	0.3395638629283489	0.43521594684385384	0.2256182485223181	0.3537443389612112	0.4539249146757679	0.27000343249427916	109.0	138.0	71.0	36.0	66.0	30.0
subimage_C1	6530	0.33518701929772976	0.3866995073891626	0.19207317073170732	0.3458329148349314	0.4289772727272727	0.22507122507122507	0.359375	0.4533762057877814	0.2720763723150358	120.0	150.0	79.0	42.0	71.0	29.0
subimage_B1	6278	0.32970417263895524	0.3909199544909631	0.21753246753246752	0.3413333333333333	0.42473118279569894	0.23389830508474577	0.351813922356091	0.4383116883116883	0.2704351740696278	117.0	145.0	81.0	36.0	64.0	29.0
subimage_A1	8199	0.3333333333333333	0.3076923076923077	0.19463087248322147	0.34285714285714286	0.43130990415335463	0.22818791946308725	0.36201031804524064	0.4564459930313589	0.3321616871704745	110.0	139.0	73.0	36.0	65.0	29.0
subimage_H2	5947	0.32941176470588235	0.3959573877190609	0.2263151913381271	0.33636363636363636	0.42565597667638483	0.23780487804878048	0.3440514469453376	0.43521594684385384	0.2681218683407245	111.0	140.0	78.0	32.0	61.0	29.0
subimage_G2	5493	0.3322324707116629	0.3912618262995642	0.19882346816596386	0.34523809523809523	0.42729970326409494	0.22713864306784662	0.3583526011560693	0.44761904761904764	0.26941585634182696	119.0	148.0	79.0	40.0	68.0	28.0
subimage_F2	7791	0.33429394812680113	0.3843699104234528	0.20052770448548812	0.3489010989010989	0.4297994269340974	0.2193877551020408	0.36147757255936674	0.4462453154005114	0.273913721929837	129.0	158.0	81.0	45.0	75.0	29.0
subimage_E2	5833	0.3373493975903614	0.38095238095238093	0.1886022241231822	0.34591194968553457	0.4265927977839335	0.22740524781341107	0.3641025641025641	0.4523076923076923	0.27872340425531916	135.0	162.0	85.0	43.0	73.0	27.0
subimage_D2	8030	0.3287671232876712	0.39370934611434444	0.20382165605095542	0.33775715090883474	0.4338461538461538	0.22866373928244402	0.3494164156626506	0.4512987012987013	0.26865671641791045	110.0	141.0	73.0	35.0	65.0	31.0
subimage_C2	7479	0.33236994219653176	0.38221153846153844	0.19863013698630136	0.34195402298850575	0.4265536723163842	0.23423423423423423	0.3586626139817629	0.4504792332268371	0.27684964200477324	116.0	145.0	79.0	36.0	65.0	29.0
subimage_B2	4785	0.3343558282208589	0.3851185992059452	0.19543973941368079	0.34844192634560905	0.4241573033707865	0.23013698630136986	0.36227544910179643	0.446875	0.2700690893477497	122.0	148.0	81.0	42.0	69.0	27.0
subimage_A2	7585	0.3323943661971831	0.38422642550044495	0.19865319865319866	0.3408450704225352	0.43103448275862066	0.22784810126582278	0.35313531353135313	0.4536082474226804	0.27621483375959077	110.0	139.0	73.0	36.0	65.0	29.0
subimage_H3	7364	0.3333333333333333	0.3894230769230769	0.21630260788367905	0.3382352941176471	0.43209876543209874	0.22929936305732485	0.34615384615384615	0.44554455445544555	0.2712204189318836	109.0	139.0	73.0	34.0	64.0	30.0
subimage_G3	10387	0.331306990881459	0.38860488380444264	0.20660339836931305	0.3371757925072046	0.42507645259938837	0.23668639053254437	0.35312221810089023	0.45134291778260643	0.26971316215591024	112.0	140.0	78.0	33.0	62.0	29.0
subimage_F3	10772	0.3288409703504043	0.39411918075711183	0.21270323599052882	0.3395061728395062	0.430635838150289	0.22857142857142856	0.35526315789473684	0.4440894568690096	0.27008032455683	117.0	148.0	79.0	37.0	69.0	31.0
