subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	2516	0.3367003367003367	0.35528942115768464	0.23775905207005618	0.3553459119496855	0.37959583671262503	0.26586102719033233	0.3665480427046263	0.40869565217391307	0.2861638772542681	112.0	121.0	84.0	29.0	37.0	8.0
subimage_G1	2931	0.3290112430387727	0.383487985794885	0.2369284374162423	0.34110787172011664	0.40816326530612246	0.25142857142857145	0.3514718614718615	0.4197952218430034	0.277551261829653	113.0	134.0	83.0	29.0	50.0	22.0
subimage_F1	7788	0.33147632311977715	0.3859223300970874	0.190625	0.34146341463414637	0.4351851851851852	0.2229299363057325	0.35591475573280157	0.4577922077922078	0.27379985636946197	112.0	143.0	72.0	37.0	68.0	30.0
subimage_E1	9607	0.33229813664596275	0.38388625592417064	0.17727175692023056	0.3467153284671533	0.43454038997214484	0.219435736677116	0.3701078582434514	0.46037735849056605	0.2727272727272727	114.0	141.0	71.0	38.0	67.0	27.0
subimage_D1	7839	0.33226837060702874	0.3855721393034826	0.18855218855218855	0.3402777777777778	0.43641618497109824	0.2236024844720497	0.35555555555555557	0.46360153256704983	0.27378466467793616	110.0	141.0	72.0	38.0	69.0	31.0
subimage_C1	4986	0.33242506811989103	0.3870967741935484	0.19578313253012047	0.3431952662721893	0.4280821917808219	0.22865853658536586	0.3618981846882399	0.4486959957850369	0.27383863080684595	118.0	147.0	77.0	38.0	67.0	29.0
subimage_B1	6396	0.33451337309509344	0.38924577780709857	0.19135802469135801	0.34413674560733387	0.4373259052924791	0.2188365650969529	0.3560830860534125	0.4600159744408946	0.27215675002395323	119.0	151.0	76.0	43.0	76.0	32.0
subimage_A1	3144	0.3435384615384615	0.29446640316205536	0.21703296703296704	0.35443037974683544	0.39840630423433465	0.2478629703291797	0.3624960021321961	0.42939002291106193	0.34693047950887673	133.0	152.0	93.0	41.0	58.0	18.0
subimage_H2	4653	0.3527332361516035	0.3573934011769955	0.20713046265775592	0.37083333333333335	0.3747072599531616	0.2525	0.3804100227790433	0.4241645244215938	0.28003501094091904	151.0	160.0	100.0	51.0	51.0	3.0
subimage_G2	3852	0.33589743589743587	0.383336295014332	0.22	0.3488372093023256	0.41002949852507375	0.24074074074074073	0.36653032962432164	0.4307375396139441	0.26812347417137206	112.0	131.0	77.0	34.0	53.0	20.0
subimage_F2	8071	0.3373027971780055	0.38461538461538464	0.18947368421052632	0.3480825958702065	0.4316109422492401	0.21971830985915494	0.3659182873384579	0.45042492917847027	0.27513158720622655	129.0	158.0	79.0	45.0	76.0	29.0
