subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	4144	0.33251833740831294	0.38242894056847543	0.20625	0.3438485804416404	0.42356687898089174	0.2318840579710145	0.3562091503267974	0.4429530201342282	0.2786885245901639	114.0	140.0	76.0	37.0	63.0	26.0
subimage_G1	6128	0.3333333333333333	0.38047150291554327	0.19729483766750847	0.3424657534246575	0.4307228915662651	0.22572178477690288	0.3556231003039514	0.45544554455445546	0.2813299232736573	118.0	144.0	79.0	40.0	71.0	30.0
subimage_F1	4225	0.33153638814016173	0.38696095571095573	0.1933534743202417	0.3418803418803419	0.4269340974212034	0.23249299719887956	0.3610223642172524	0.4488921630795628	0.27706413056371537	118.0	147.0	79.0	38.0	67.0	28.0
subimage_E1	4320	0.341794649730562	0.3851666315123392	0.1994459833795014	0.35405405405405405	0.42151162790697677	0.22537035685616288	0.36363636363636365	0.441340782122905	0.26852184918731686	134.0	159.0	84.0	47.0	72.0	25.0
subimage_D1	1423	0.3363431151241535	0.3822957692796341	0.20512820512820512	0.3471615720524017	0.4013761467889908	0.2523364485981308	0.36316374856486794	0.43358395989974935	0.2785785279206332	150.0	174.0	110.0	41.0	65.0	24.0
subimage_C1	6503	0.3313253012048193	0.38611928437963106	0.19047619047619047	0.3400576368876081	0.43440233236151604	0.22522522522522523	0.3538961038961039	0.46078431372549017	0.27540046595284945	113.0	144.0	75.0	38.0	69.0	31.0
subimage_B1	5731	0.334379929022082	0.3910761154855643	0.2064516129032258	0.34177215189873417	0.4411764705882353	0.21753246753246752	0.34838709677419355	0.44965235864999276	0.2713752134756914	107.0	138.0	68.0	39.0	70.0	31.0
subimage_A1	5764	0.33346702317290555	0.2653782468467431	0.2300363590035085	0.36433373049144635	0.3406998158379374	0.27114335042972876	0.5014278490765933	0.403030303030303	0.30918727915194344	184.0	146.0	115.0	38.0	28.0	-13.0
subimage_H2	6485	0.33250485436893207	0.39078227876353083	0.19727891156462585	0.3449197860962567	0.43478260869565216	0.22038567493112948	0.3547400611620795	0.45514950166112955	0.2703219966377861	115.0	144.0	75.0	42.0	72.0	31.0
subimage_G2	7968	0.335238767735155	0.38333333333333336	0.18894303521506065	0.34360711526817966	0.436241610738255	0.21904761904761905	0.35986159169550175	0.4603174603174603	0.2766817800995515	113.0	142.0	71.0	39.0	69.0	28.0
subimage_F2	8361	0.32407407407407407	0.3976945244956772	0.19613259668508287	0.33584905660377357	0.44224422442244227	0.22145328719723184	0.35	0.4620938628158845	0.271875	102.0	133.0	66.0	34.0	65.0	32.0
subimage_E2	5779	0.33126934984520123	0.39243199569081605	0.21355570299776824	0.33797909407665505	0.4368932038834951	0.225	0.3438485804416404	0.4482758620689655	0.27047745771448434	108.0	139.0	72.0	35.0	67.0	31.0
subimage_D2	7420	0.3343108504398827	0.3803827751196172	0.17581890952497983	0.3426183844011142	0.4289772727272727	0.23076923076923078	0.36764705882352944	0.45819397993311034	0.2791762013729977	118.0	149.0	79.0	38.0	68.0	26.0
subimage_C2	8411	0.33029957893283635	0.3920096761724254	0.20299629671192906	0.3411764705882353	0.4332344213649852	0.22437673130193905	0.3568766022309984	0.45145783751480906	0.2707774798927614	114.0	144.0	74.0	38.0	68.0	30.0
subimage_B2	7876	0.32786885245901637	0.3913917706026343	0.21212121212121213	0.3375	0.4327485380116959	0.22857142857142856	0.3493975903614458	0.4473684210526316	0.27346047794117645	110.0	141.0	74.0	35.0	66.0	31.0
subimage_A2	4185	0.33237322648449813	0.3742857142857143	0.2222222222222222	0.34441087613293053	0.4148606811145511	0.24115755627009647	0.3742292703630821	0.4276729559748428	0.2737570150159259	112.0	136.0	79.0	34.0	56.0	23.0
subimage_H3	8030	0.32894736842105265	0.38650771719350274	0.2079344172949405	0.3384146341463415	0.43333333333333335	0.22807017543859648	0.3514376996805112	0.4506578947368421	0.2755905511811024	109.0	139.0	72.0	36.0	67.0	31.0
subimage_G3	5577	0.3322475570032573	0.387409200968523	0.20737250554323725	0.34054054054054056	0.4309859154929577	0.22666666666666666	0.35356783626583477	0.449685534591195	0.2748211502338036	120.0	151.0	80.0	40.0	73.0	32.0
subimage_F3	2212	0.3353037179263397	0.3820383174877557	0.19650890783652297	0.3575268817204301	0.42513368983957217	0.21774193548387097	0.36827538152243444	0.44126074498567336	0.27640908871279474	132.0	156.0	79.0	51.0	75.0	24.0
subimage_E3	8931	0.32616487455197135	0.3918269230769231	0.2	0.33663366336633666	0.4411764705882353	0.2222222222222222	0.35125448028673834	0.4542372881355932	0.27052405914570576	104.0	135.0	67.0	35.0	66.0	32.0
subimage_D3	5693	0.335015228426396	0.38645080270169363	0.19055997765675184	0.34594594594594597	0.43154761904761907	0.22255192878338279	0.3603720603720603	0.45335048231511255	0.27383863080684595	120.0	149.0	77.0	42.0	72.0	29.0
subimage_C3	10105	0.32577903682719545	0.39897956547572916	0.20175438596491227	0.33994334277620397	0.4368932038834951	0.2222222222222222	0.3541666666666667	0.45426829268292684	0.26715014773032497	113.0	145.0	72.0	38.0	70.0	31.0
subimage_B3	9551	0.3273327284118651	0.39333399796338364	0.19827586206896552	0.3409090909090909	0.439873417721519	0.2197452229299363	0.35275080906148865	0.4563758389261745	0.2699458509749705	110.0	142.0	70.0	39.0	70.0	32.0
subimage_A3	8623	0.3333333333333333	0.3814713896457766	0.1943660745384883	0.34234234234234234	0.43154761904761907	0.22602739726027396	0.3583306188925081	0.453416149068323	0.2777777777777778	113.0	142.0	73.0	38.0	67.0	29.0
subimage_H4	5494	0.328	0.38848920863309355	0.21019108280254778	0.3411458333333333	0.4290172138489699	0.2282166782166782	0.3520855904658721	0.4483870967741935	0.27717391304347827	117.0	147.0	79.0	39.0	69.0	30.0
subimage_G4	1462	0.34719481822171305	0.3717057412893215	0.2063592019511415	0.35877862595419846	0.406799248196688	0.2284193261032479	0.38082191780821917	0.43313497979195653	0.27294117647058824	137.0	153.0	85.0	48.0	68.0	17.5
subimage_F4	5185	0.3346448940793047	0.38478461230214384	0.18518518518518517	0.34560906515580736	0.43125	0.22429906542056074	0.36363636363636365	0.45582077353909767	0.2753623188405797	121.0	150.0	78.0	42.0	71.0	29.0
subimage_E4	10124	0.32608695652173914	0.3925035046728972	0.1918819188191882	0.34108527131782945	0.44171779141104295	0.21635883905013192	0.35772357723577236	0.4642857142857143	0.27121958699652426	111.0	140.0	69.0	38.0	70.0	31.0
subimage_D4	6075	0.3353115727002967	0.3811764705882353	0.18045980131371803	0.34545454545454546	0.4332344213649852	0.22028985507246376	0.3723076923076923	0.45686900958466453	0.2781456953642384	120.0	148.0	74.0	41.0	72.0	26.0
subimage_C4	7552	0.3333333333333333	0.3889686684073107	0.19310344827586207	0.3439306358381503	0.43714285714285717	0.21895424836601307	0.36227544910179643	0.4542483660130719	0.2703659857203164	116.0	147.0	72.0	42.0	73.0	31.0
subimage_B4	5771	0.3333333333333333	0.3829268292682927	0.1884278225628827	0.34818941504178275	0.4297752808988764	0.22321428571428573	0.36303630363036304	0.45182724252491696	0.27791268573584105	120.0	149.0	77.0	42.0	71.0	27.0
subimage_A4	5597	0.3351618408839117	0.3866929392446634	0.19384615384615383	0.3455056179775281	0.42901234567901236	0.22448979591836735	0.36721311475409835	0.44518272425249167	0.2715798709030519	117.0	145.0	75.0	40.0	68.0	26.0
subimage_H5	2518	0.33140178072175147	0.3653388278388278	0.24443372633083243	0.3424657534246575	0.39403973509933776	0.26353790613718414	0.35714285714285715	0.41333333333333333	0.28362898611038856	103.0	119.0	79.0	24.0	39.0	16.0
subimage_G5	5842	0.33516559617667646	0.3817733990147783	0.1864951768488746	0.34967320261437906	0.430499497297061	0.22115384615384615	0.3659305993690852	0.45674740484429066	0.27749934554973826	119.0	147.0	75.0	44.0	72.0	27.0
subimage_F5	7807	0.3342964613631794	0.38443558136522604	0.14776632302405499	0.3464788732394366	0.42592592592592593	0.22933333333333333	0.3738797055146548	0.48691708893295144	0.27294117647058824	118.0	146.0	78.0	40.0	67.0	27.0
subimage_E5	7936	0.3333333333333333	0.38213399503722084	0.18080116378086858	0.3421686746987952	0.43670886075949367	0.22295081967213115	0.36363636363636365	0.460431654676259	0.2762320299651698	111.0	142.0	73.0	38.0	69.0	29.0
