subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	12665	0.32098765432098764	0.39481268011527376	0.2027587532742172	0.3333333333333333	0.4411764705882353	0.22633744855967078	0.34662576687116564	0.4589041095890411	0.27328142769661445	98.0	130.0	65.0	31.0	61.0	32.0
subimage_G1	7278	0.3274021352313167	0.3796491590846429	0.18910081585081584	0.33797909407665505	0.43795620437956206	0.22525597269624573	0.35802469135802467	0.46402877697841727	0.2824956672443674	103.0	134.0	68.0	34.0	65.0	30.0
subimage_F1	5362	0.32867132867132864	0.39440243073664916	0.21035598705501618	0.33738232950689057	0.4391891891891892	0.22392638036809817	0.34615384615384615	0.4507042253521127	0.2711190489217517	102.0	133.0	68.0	34.0	65.0	31.0
subimage_E1	8540	0.32653061224489793	0.3811881188118812	0.18604651162790697	0.3374233128834356	0.43354430379746833	0.229607250755287	0.3548387096774194	0.4693140794223827	0.2805222834719237	107.5	138.0	72.0	33.0	64.0	30.0
subimage_D1	9021	0.3252279635258359	0.3971830985915493	0.20064724919093851	0.3355048859934853	0.44126984126984126	0.22330097087378642	0.3470031545741325	0.458041958041958	0.2700534759358289	105.0	139.0	69.0	35.0	68.0	33.0
subimage_C1	7026	0.3286908077994429	0.3812087011783803	0.19061812683284457	0.3373860182370821	0.436241610738255	0.22741433021806853	0.36085626911314983	0.46887966804979253	0.2763988481734515	106.0	136.0	71.0	33.0	65.0	30.0
subimage_B1	3994	0.3242320819112628	0.3920595533498759	0.21135976935438133	0.3355263157894737	0.43537414965986393	0.22965116279069767	0.3501577287066246	0.44814814814814813	0.27123287671232876	99.0	129.0	68.0	31.0	61.0	30.0
subimage_A1	3339	0.33157613284548265	0.2786163015463917	0.23570973612374885	0.3646055437100213	0.35208711433756806	0.26558891454965355	0.4823667711598746	0.41566615298402915	0.3088074670777444	182.0	147.0	113.0	37.0	34.0	-6.0
subimage_H2	8587	0.32919254658385094	0.3862715674573286	0.1784784917684546	0.3470031545741325	0.4368131868131868	0.216	0.36419200294822185	0.4689584740583486	0.2749391727493917	110.0	138.0	69.0	40.0	70.0	28.0
subimage_G2	7156	0.3300653594771242	0.3826291079812207	0.18681318681318682	0.340632603406326	0.4358974358974359	0.22377622377622378	0.3548387096774194	0.4666666666666667	0.2798053527980535	106.0	136.0	69.0	35.0	65.0	29.0
subimage_F2	9620	0.3305075711033212	0.38345864661654133	0.16595651769952616	0.3397590361445783	0.43653250773993807	0.2267600711653323	0.36428571428571427	0.4781021897810219	0.27951807228915665	109.0	141.0	73.0	35.0	67.0	30.0
subimage_E2	8576	0.3310810810810811	0.3801452784503632	0.1652892561983471	0.3398876404494382	0.4391891891891892	0.22153846153846155	0.3632849075374532	0.47860753600053213	0.2806150856779237	107.0	138.0	69.0	36.0	67.0	30.0
subimage_D2	6862	0.3225806451612903	0.3884954412707458	0.19753086419753085	0.337891751211682	0.43558282208588955	0.22589531680440772	0.3524355300859599	0.4584717607973422	0.2763141809290954	112.0	143.0	72.0	36.0	67.0	32.0
subimage_C2	6472	0.3333333333333333	0.3855421686746988	0.16909384257300042	0.3435374149659864	0.4408284023668639	0.21629653763516607	0.35714285714285715	0.4788273615635179	0.27427184466019416	115.0	147.0	72.0	42.0	75.0	32.0
subimage_B2	4927	0.32978723404255317	0.39337346825498487	0.20615391571712788	0.339041095890411	0.44107744107744107	0.21981424148606812	0.35133236280777264	0.4507042253521127	0.2695903095791861	102.0	133.0	66.0	36.0	66.0	31.0
subimage_A2	9414	0.3268608414239482	0.39660056657223797	0.19863013698630136	0.33881578947368424	0.4444444444444444	0.21453287197231835	0.3515947754950265	0.4583333333333333	0.2679677967728226	105.0	137.0	65.0	38.0	70.0	32.0
subimage_H3	2000	0.33222591362126247	0.38020376461988303	0.21959047462096243	0.3396825396825397	0.42054527449402734	0.2363013698630137	0.36923076923076925	0.4337748344370861	0.27176916311480953	104.0	129.0	71.0	31.0	56.0	25.0
subimage_G3	4558	0.339205388174352	0.3747109977230955	0.16714697406340057	0.3603037167869759	0.4278145044703636	0.21515151515151515	0.376657824933687	0.4604519774011299	0.2727272727272727	134.0	159.0	79.0	51.0	77.0	25.0
subimage_F3	6553	0.3309954527481218	0.38004750593824227	0.17562724014336917	0.3443708609271523	0.4386503067484663	0.21929824561403508	0.36553390978226896	0.4639175257731959	0.2805755395683453	113.0	144.0	71.0	40.0	72.0	29.0
subimage_E3	4629	0.3333333333333333	0.38146551724137934	0.18078868374521978	0.34472934472934474	0.4325068870523416	0.22392638036809817	0.3639165605572616	0.46153846153846156	0.2796208530805687	122.0	153.0	79.0	42.0	73.0	30.0
subimage_D3	6912	0.33064516129032256	0.3900709219858156	0.19032258064516128	0.34036144578313254	0.44510385756676557	0.21498371335504887	0.35514018691588783	0.462406015037594	0.2705694786305661	107.0	139.0	66.0	38.0	71.0	32.0
subimage_C3	7865	0.3261560518334712	0.39503444512652613	0.20317460317460317	0.33444816053511706	0.44089456869009586	0.22397476340694006	0.353125	0.45422535211267606	0.26702711956289144	104.0	135.0	68.0	34.0	66.0	32.0
subimage_B3	6340	0.3343195266272189	0.3819444444444444	0.18026910410807434	0.346875	0.43484282789353246	0.22018348623853212	0.36443148688046645	0.4618061868686869	0.2762557077625571	118.0	148.0	75.0	42.0	73.0	29.0
subimage_A3	5053	0.3333333333333333	0.3864532485715367	0.18060931899641577	0.34797297297297297	0.43026706231454004	0.22153846153846155	0.36298932384341637	0.45874587458745875	0.27460687245195103	117.0	145.0	74.0	42.0	70.0	27.0
subimage_H4	9305	0.3263157894736842	0.39444444444444443	0.20199344437755035	0.3356164383561644	0.44329896907216493	0.21993127147766323	0.35106382978723405	0.45666666666666667	0.2706185567010309	100.0	131.0	64.0	34.0	65.0	31.0
subimage_G4	3049	0.3405662493830484	0.3719707317073171	0.17703937691398808	0.35978835978835977	0.4183381088825215	0.22514619883040934	0.3782035093830278	0.4520794028381593	0.27123319696084164	133.0	152.0	80.0	47.0	69.0	21.0
subimage_F4	10372	0.3223143844413186	0.3915094339622642	0.16896551724137931	0.340625	0.4462025316455696	0.21212121212121213	0.35904255319148937	0.4839921708185053	0.27251732101616627	110.0	144.0	67.0	41.0	74.0	33.0
subimage_E4	6825	0.3306494623655914	0.38141809290953543	0.17543859649122806	0.34	0.4326923076923077	0.22935779816513763	0.3611111111111111	0.46875	0.2789598108747045	111.0	142.0	74.0	35.0	65.0	28.0
subimage_D4	6974	0.32967032967032966	0.384	0.18	0.338368580060423	0.4391891891891892	0.22151898734177214	0.35614802275826396	0.4701492537313433	0.2771592935179312	106.0	136.0	68.0	35.0	67.0	31.0
subimage_C4	6463	0.3349397590361446	0.3907024571052789	0.17871729660312743	0.34701492537313433	0.42990654205607476	0.2235294117647059	0.3600997229916897	0.46494464944649444	0.26872962399478373	120.0	149.0	77.0	43.0	72.0	29.0
subimage_B4	6748	0.3333333333333333	0.39215686274509803	0.17551485395171168	0.34310850439882695	0.44410876132930516	0.2118380062305296	0.35842293906810035	0.46984126984126984	0.27064573197700126	112.0	145.0	69.0	42.0	76.0	32.0
