experiment,plate,row,col,plate_filled_with,strain2,strain1,transfer_h,plant,strain1_od,strain2_od,Type,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,1,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,2,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,3,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,4,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,5,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,6,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,7,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,8,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,9,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,10,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,11,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,A,12,WCS365-_neon,N2C3-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B,1,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B,2,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
2023-12_priorityeffects2,PlateA-T0-dipped-Trial2_cropped,B,3,WCS365-_neon,WCS365-_crim,WCS365-_neon,0.01,col0,0.001,0.001,Priority,2023-11-29,2023-12-01,2023-12-06,2023-12-13,12_12,110,23_23,0.5,0.5,5.8,
