experiment	transfer_h	strain	fluor	plant	germ_plate	strain_number	abs_600	bio_rep	tech_rep	CFU	dilution	mL_plated	total_volume	CFU_mL	CFU_well	plant_quality
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	A	11	1	0.005	0.5	22000	11000	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	B	11	1	0.005	0.5	22000	11000	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	3	C	9	1	0.005	0.5	18000	9000	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	A	27	0	0.005	0.5	5400	2700	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	B	28	0	0.005	0.5	5600	2800	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	1	C	20	0	0.005	0.5	4000	2000	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	A	32	0	0.005	0.5	6400	3200	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	B	34	0	0.005	0.5	6800	3400	good
2023-12_priorityeffects2	3	N2C3	neon	col0	NA	strain1	NA	2	C	34	0	0.005	0.5	6800	3400	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	A	7	0	0.005	0.5	1400	700	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	B	2	0	0.005	0.5	400	200	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	3	C	3	0	0.005	0.5	600	300	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	A	11	0	0.005	0.5	2200	1100	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	B	11	0	0.005	0.5	2200	1100	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	1	C	10	0	0.005	0.5	2000	1000	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	A	3	0	0.005	0.5	600	300	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	B	10	0	0.005	0.5	2000	1000	good
2023-12_priorityeffects2	3	WCS365	neon	col0	NA	strain1	NA	2	C	10	0	0.005	0.5	2000	1000	good
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	3	A	11	2	0.005	0.5	220000	110000	good
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	3	B	11	2	0.005	0.5	220000	110000	good
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	3	C	13	2	0.005	0.5	260000	130000	good
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	1	A	23	2	0.005	0.5	460000	230000	good
2023-12_priorityeffects2	6	N2C3	neon	col0	NA	strain1	NA	1	B	16	2	0.005	0.5	320000	160000	good
