date_processed,plate,treatment,weight_mg,strain1,strain2,delay
2022-04-19,P1,W,16,W,0,-
2022-04-19,P1,W,18,W,0,-
2022-04-19,P1,W,13.2,W,0,-
2022-04-19,P1,NL,4.2,NL,0,-
2022-04-19,P1,NL,3.2,NL,0,-
2022-04-19,P1,NL,3,NL,0,-
2022-04-19,P1,W+NL,15,W,NL,-
2022-04-19,P1,W+NL,3.6,W,NL,-
2022-04-19,P1,W+NL,16.2,W,NL,-
2022-04-19,P2,W++0,8,W,mock,++
2022-04-19,P2,W++0,18.8,W,mock,++
2022-04-19,P2,W++0,13,W,mock,++
2022-04-19,P2,W++0,14,W,mock,++
2022-04-19,P2,W++NL,14.8,W,NL,++
2022-04-19,P2,W++NL,11,W,NL,++
2022-04-19,P2,W++NL,15.4,W,NL,++
2022-04-19,P2,W++NL,10.8,W,NL,++
2022-04-19,P3,W++0,15.4,W,mock,++
2022-04-19,P3,W++0,14.8,W,mock,++
2022-04-19,P3,W++0,16.4,W,mock,++
2022-04-19,P3,W++0,9.6,W,mock,++
2022-04-19,P3,NL++W,1.2,NL,W,++
2022-04-19,P3,NL++W,1.8,NL,W,++
2022-04-19,P3,NL++W,3,NL,W,++
2022-04-19,P3,NL++W,1.8,NL,W,++
2022-04-19,P4,NL++0,2.2,NL,mock,++
2022-04-19,P4,NL++0,2.2,NL,mock,++
2022-04-19,P4,NL++0,2.2,NL,mock,++
2022-04-19,P4,NL++0,2.2,NL,mock,++
2022-04-19,P4,NL++W,3.8,NL,W,++
2022-04-19,P4,NL++W,4.8,NL,W,++
2022-04-19,P4,NL++W,3.6,NL,W,++
2022-04-19,P4,NL++W,2.6,NL,W,++
2022-04-19,P5,0++NL,1.2,mock,NL,++
2022-04-19,P5,0++NL,1.4,mock,NL,++
2022-04-19,P5,0++NL,1.2,mock,NL,++
2022-04-19,P5,NL++0,3.8,NL,mock,++
2022-04-19,P5,NL++0,1.2,NL,mock,++
2022-04-19,P5,NL++0,2.8,NL,mock,++
2022-04-19,P5,Mock,8.6,mock,0,++
2022-04-19,P5,Mock,10.8,mock,0,++
2022-04-19,P6,W,11.6,W,0,-
2022-04-19,P6,W,11.2,W,0,-
2022-04-19,P6,W,17.8,W,0,-
2022-04-19,P6,N,3.2,N,0,-
2022-04-19,P6,N,3.8,N,0,-
2022-04-19,P6,N,3.4,N,0,-
2022-04-19,P6,WL+N,10.8,WL,N,-
2022-04-19,P6,WL+N,10,WL,N,-
2022-04-19,P6,WL+N,8,WL,N,-
2022-04-19,P7,WL++0,18.6,WL,mock,++
2022-04-19,P7,WL++0,22.6,WL,mock,++
2022-04-19,P7,WL++0,24,WL,mock,++
2022-04-19,P7,WL++0,17.4,WL,mock,++
2022-04-19,P7,WL++N,16.6,WL,N,++
2022-04-19,P7,WL++N,20,WL,N,++
2022-04-19,P7,WL++N,NA,WL,N,++
2022-04-19,P7,WL++N,14.4,WL,N,++
2022-04-19,P8,WL++0,9.4,WL,mock,++
2022-04-19,P8,WL++0,16,WL,mock,++
2022-04-19,P8,WL++0,13.8,WL,mock,++
2022-04-19,P8,WL++0,18.6,WL,mock,++
2022-04-19,P8,N++WL,3.6,N,WL,++
2022-04-19,P8,N++WL,4,N,WL,++
2022-04-19,P8,N++WL,2.2,N,WL,++
2022-04-19,P8,N++WL,2.6,N,WL,++
2022-04-19,P9,N++WL,3.6,N,WL,++
2022-04-19,P9,N++WL,2.6,N,WL,++
2022-04-19,P9,N++WL,1.8,N,WL,++
2022-04-19,P9,N++WL,2.6,N,WL,++
2022-04-19,P9,Mock,10.8,mock,0,++
2022-04-19,P9,N++0,2.2,N,mock,++
2022-04-19,P9,N++0,3.8,N,mock,++
2022-04-19,P9,N++0,4,N,mock,++
2022-04-19,P10,N++0,1.8,N,mock,++
2022-04-19,P10,N++0,2.2,N,mock,++
2022-04-19,P10,N++0,2.6,N,mock,++
2022-04-19,P10,N++0,4.2,N,mock,++
2022-04-19,P10,0++N,3.8,mock,N,++
2022-04-19,P10,0++N,3.2,mock,N,++
2022-04-19,P10,0++N,2.8,mock,N,++
2022-04-19,P10,0++N,3.4,mock,N,++
2022-04-19,P11,NQ+NL,10.8,NQ,NL,-
2022-04-19,P11,NQ+NL,23.4,NQ,NL,-
2022-04-19,P11,W+NL,22.8,W,NL,-
2022-04-19,P11,W+NL,21.6,W,NL,-
2022-04-19,P11,W+NL,24.4,W,NL,-
2022-04-19,P11,W,14.2,W,0,-
2022-04-19,P11,W,19.2,W,0,-
2022-04-19,P12,W,12.2,W,0,-
2022-04-19,P12,W,17.4,W,0,-
2022-04-19,P12,W+NL,12.8,W,NL,-
2022-04-19,P12,W+NL,20.2,W,NL,-
2022-04-19,P12,W+NL,10,W,NL,-
2022-04-19,P12,NQ+NL,13.8,NQ,NL,-
2022-04-19,P12,NQ+NL,16.8,NQ,NL,-
2022-04-19,P12,NQ+NL,14,NQ,NL,-
2022-04-19,P13,NQ,18.2,NQ,0,-
2022-04-19,P13,NQ,12,NQ,0,-
2022-04-19,P13,NQ,15.4,NQ,0,-
2022-04-19,P13,N,3.2,N,0,-
2022-04-19,P13,N,2.8,N,0,-
2022-04-19,P13,N,2.4,N,0,-
2022-04-19,P13,W,5.6,W,0,-
2022-04-19,P13,W,20,W,0,-
2022-04-19,P13,W,10.2,W,0,-
2022-04-19,P14,W,18.4,W,0,-
2022-04-19,P14,W,19.4,W,0,-
2022-04-19,P14,NQ,16,NQ,0,-
2022-04-19,P14,NQ,10,NQ,0,-
2022-04-19,P14,NS,10.6,NS,0,-
2022-04-19,P14,NS,17.4,NS,0,-
2022-04-19,P14,NP,4,NP,0,-
2022-04-19,P14,NP,4,NP,0,-
2022-04-19,P15,N,1.8,N,0,-
2022-04-19,P15,N,1.8,N,0,-
2022-04-19,P15,NQ,8.6,NQ,0,-
2022-04-19,P15,NQ,12,NQ,0,-
2022-04-19,P15,NS,16,NS,0,-
2022-04-19,P15,NS,7.4,NS,0,-
2022-04-19,P15,NP,3.4,NP,0,-
2022-04-19,P15,NP,2.4,NP,0,-
2022-04-19,P16,NQ+NL,1.4,NQ,NL,-
2022-04-19,P16,NQ+NL,3.8,NQ,NL,-
2022-04-19,P16,NQ+NL,5.2,NQ,NL,-
2022-04-19,P16,W,14.6,W,0,-
2022-04-19,P16,W,16.6,W,0,-
2022-04-19,P16,W+NL,12,W,NL,-
2022-04-19,P16,W+NL,15.2,W,NL,-
2022-04-19,P16,W+NL,12.4,W,NL,-
2022-04-19,P17,NL,3.8,NL,0,-
2022-04-19,P17,NL,3.6,NL,0,-
2022-04-19,P17,W+NL,7.2,W,NL,-
2022-04-19,P17,W+NL,13.2,W,NL,-
2022-04-19,P17,NQ,19.2,NQ,0,-
2022-04-19,P17,NQ,12.2,NQ,0,-
2022-04-19,P17,NQ+NL,2.2,NQ,NL,-
2022-04-19,P17,NQ+NL,4.4,NQ,NL,-
2022-04-19,P18,W+NL,13.8,W,NL,-
2022-04-19,P18,W+NL,10.6,W,NL,-
2022-04-19,P18,NQ,13.4,NQ,0,-
2022-04-19,P18,NQ,12.8,NQ,0,-
2022-04-19,P18,NQ+NL,2.8,NQ,NL,-
2022-04-19,P18,NQ+NL,3.2,NQ,NL,-
2022-04-19,P18,NL,2.4,NL,0,-
2022-04-19,P18,NL,0.6,NL,0,-
2022-04-19,P19,NL,2,NL,0,-
2022-04-19,P19,NL,4.2,NL,0,-
2022-04-19,P19,W,11.8,W,0,-
2022-04-19,P19,W,14.2,W,0,-
2022-04-19,P19,NS+NL,2.8,NS,NL,-
2022-04-19,P19,NS+NL,3.8,NS,NL,-
2022-04-19,P19,NP+NL,3.6,NP,NL,-
2022-04-19,P19,NP+NL,3.4,NP,NL,-
