plate,row,col,od_after
N2C3_WCS365_5day001_a,A,1,0.2038
N2C3_WCS365_5day001_a,B,1,0.2184
N2C3_WCS365_5day001_a,C,1,0.2127
N2C3_WCS365_5day001_a,D,1,0.2277
N2C3_WCS365_5day001_a,E,1,0.2818
N2C3_WCS365_5day001_a,F,1,0.2399
N2C3_WCS365_5day001_a,G,1,0.1966
N2C3_WCS365_5day001_a,H,1,0.278
N2C3_WCS365_5day001_a,A,2,0.1281
N2C3_WCS365_5day001_a,B,2,0.1485
N2C3_WCS365_5day001_a,C,2,0.1393
N2C3_WCS365_5day001_a,D,2,0.1422
N2C3_WCS365_5day001_a,E,2,0.1266
N2C3_WCS365_5day001_a,F,2,0.1314
N2C3_WCS365_5day001_a,G,2,0.1555
N2C3_WCS365_5day001_a,H,2,0.1341
N2C3_WCS365_5day001_a,A,3,0.1403
N2C3_WCS365_5day001_a,B,3,0.1266
N2C3_WCS365_5day001_a,C,3,0.1155
N2C3_WCS365_5day001_a,D,3,0.1465
N2C3_WCS365_5day001_a,E,3,0.1335
N2C3_WCS365_5day001_a,F,3,0.1185
N2C3_WCS365_5day001_a,G,3,0.1254
N2C3_WCS365_5day001_a,H,3,0.1324
N2C3_WCS365_5day001_a,A,4,0.1454
N2C3_WCS365_5day001_a,B,4,0.1226
N2C3_WCS365_5day001_a,C,4,0.1248
N2C3_WCS365_5day001_a,D,4,0.1177
N2C3_WCS365_5day001_a,E,4,0.111
N2C3_WCS365_5day001_a,F,4,0.1248
N2C3_WCS365_5day001_a,G,4,0.1274
N2C3_WCS365_5day001_a,H,4,0.151
N2C3_WCS365_5day001_a,A,5,0.1409
N2C3_WCS365_5day001_a,B,5,0.1411
N2C3_WCS365_5day001_a,C,5,0.1613
N2C3_WCS365_5day001_a,D,5,0.1229
N2C3_WCS365_5day001_a,E,5,0.1056
N2C3_WCS365_5day001_a,F,5,0.1261
N2C3_WCS365_5day001_a,G,5,0.131
N2C3_WCS365_5day001_a,H,5,0.129
N2C3_WCS365_5day001_a,A,6,0.0887
N2C3_WCS365_5day001_a,B,6,0.0856
N2C3_WCS365_5day001_a,C,6,0.0842
N2C3_WCS365_5day001_a,D,6,0.1526
N2C3_WCS365_5day001_a,E,6,0.0852
N2C3_WCS365_5day001_a,F,6,0.0844
N2C3_WCS365_5day001_a,G,6,0.0915
N2C3_WCS365_5day001_a,H,6,0.0928
N2C3_WCS365_5day001_a,A,7,0.2603
N2C3_WCS365_5day001_a,B,7,0.2362
N2C3_WCS365_5day001_a,C,7,0.3258
N2C3_WCS365_5day001_a,D,7,0.272
N2C3_WCS365_5day001_a,E,7,0.2074
N2C3_WCS365_5day001_a,F,7,0.2207
N2C3_WCS365_5day001_a,G,7,0.3021
N2C3_WCS365_5day001_a,H,7,0.2211
N2C3_WCS365_5day001_a,A,8,0.1126
N2C3_WCS365_5day001_a,B,8,0.1475
N2C3_WCS365_5day001_a,C,8,0.1257
N2C3_WCS365_5day001_a,D,8,0.1359
N2C3_WCS365_5day001_a,E,8,0.1505
N2C3_WCS365_5day001_a,F,8,0.1266
N2C3_WCS365_5day001_a,G,8,0.1358
N2C3_WCS365_5day001_a,H,8,0.1426
N2C3_WCS365_5day001_a,A,9,0.1207
N2C3_WCS365_5day001_a,B,9,0.1632
N2C3_WCS365_5day001_a,C,9,0.1134
N2C3_WCS365_5day001_a,D,9,0.1303
N2C3_WCS365_5day001_a,E,9,0.128
N2C3_WCS365_5day001_a,F,9,0.1111
N2C3_WCS365_5day001_a,G,9,0.1254
N2C3_WCS365_5day001_a,H,9,0.166
N2C3_WCS365_5day001_a,A,10,0.1169
N2C3_WCS365_5day001_a,B,10,0.1113
N2C3_WCS365_5day001_a,C,10,0.1109
N2C3_WCS365_5day001_a,D,10,0.1081
N2C3_WCS365_5day001_a,E,10,0.1567
N2C3_WCS365_5day001_a,F,10,0.1182
N2C3_WCS365_5day001_a,G,10,0.1312
N2C3_WCS365_5day001_a,H,10,0.1385
N2C3_WCS365_5day001_a,A,11,0.1195
N2C3_WCS365_5day001_a,B,11,0.1314
N2C3_WCS365_5day001_a,C,11,0.1322
N2C3_WCS365_5day001_a,D,11,0.1278
N2C3_WCS365_5day001_a,E,11,0.1384
N2C3_WCS365_5day001_a,F,11,0.1385
N2C3_WCS365_5day001_a,G,11,0.1433
N2C3_WCS365_5day001_a,H,11,0.1467
N2C3_WCS365_5day001_a,A,12,0.0865
N2C3_WCS365_5day001_a,B,12,0.0851
N2C3_WCS365_5day001_a,C,12,0.0855
N2C3_WCS365_5day001_a,D,12,0.0869
N2C3_WCS365_5day001_a,E,12,0.0867
N2C3_WCS365_5day001_a,F,12,0.0866
N2C3_WCS365_5day001_a,G,12,0.0868
N2C3_WCS365_5day001_a,H,12,0.0923
N2C3_WCS365_5day001_b,A,1,0.273
N2C3_WCS365_5day001_b,B,1,0.1717
N2C3_WCS365_5day001_b,C,1,0.226
N2C3_WCS365_5day001_b,D,1,0.2054
N2C3_WCS365_5day001_b,E,1,0.2238
N2C3_WCS365_5day001_b,F,1,0.2974
N2C3_WCS365_5day001_b,G,1,0.1739
N2C3_WCS365_5day001_b,H,1,0.2146
N2C3_WCS365_5day001_b,A,2,0.2109
N2C3_WCS365_5day001_b,B,2,0.122
N2C3_WCS365_5day001_b,C,2,0.1179
N2C3_WCS365_5day001_b,D,2,0.1237
N2C3_WCS365_5day001_b,E,2,0.1509
N2C3_WCS365_5day001_b,F,2,0.1298
N2C3_WCS365_5day001_b,G,2,0.1446
N2C3_WCS365_5day001_b,H,2,0.1508
N2C3_WCS365_5day001_b,A,3,0.223
N2C3_WCS365_5day001_b,B,3,0.1337
N2C3_WCS365_5day001_b,C,3,0.1148
N2C3_WCS365_5day001_b,D,3,0.1396
N2C3_WCS365_5day001_b,E,3,0.1583
N2C3_WCS365_5day001_b,F,3,0.1721
N2C3_WCS365_5day001_b,G,3,0.2186
N2C3_WCS365_5day001_b,H,3,0.1305
N2C3_WCS365_5day001_b,A,4,0.2396
N2C3_WCS365_5day001_b,B,4,0.1231
N2C3_WCS365_5day001_b,C,4,0.1156
N2C3_WCS365_5day001_b,D,4,0.1169
N2C3_WCS365_5day001_b,E,4,0.1264
N2C3_WCS365_5day001_b,F,4,0.1422
N2C3_WCS365_5day001_b,G,4,0.1418
N2C3_WCS365_5day001_b,H,4,0.1662
N2C3_WCS365_5day001_b,A,5,0.2474
N2C3_WCS365_5day001_b,B,5,0.116
N2C3_WCS365_5day001_b,C,5,0.1343
N2C3_WCS365_5day001_b,D,5,0.167
N2C3_WCS365_5day001_b,E,5,0.1421
N2C3_WCS365_5day001_b,F,5,0.143
N2C3_WCS365_5day001_b,G,5,0.1207
N2C3_WCS365_5day001_b,H,5,0.1616
N2C3_WCS365_5day001_b,A,6,0.0843
N2C3_WCS365_5day001_b,B,6,0.1215
N2C3_WCS365_5day001_b,C,6,0.1269
N2C3_WCS365_5day001_b,D,6,0.083
N2C3_WCS365_5day001_b,E,6,0.1656
N2C3_WCS365_5day001_b,F,6,0.1162
N2C3_WCS365_5day001_b,G,6,0.1259
N2C3_WCS365_5day001_b,H,6,0.1636
N2C3_WCS365_5day001_b,A,7,0.2625
N2C3_WCS365_5day001_b,B,7,0.1985
N2C3_WCS365_5day001_b,C,7,0.1736
N2C3_WCS365_5day001_b,D,7,0.1855
N2C3_WCS365_5day001_b,E,7,0.2913
N2C3_WCS365_5day001_b,F,7,0.1868
N2C3_WCS365_5day001_b,G,7,0.1811
N2C3_WCS365_5day001_b,H,7,0.2716
N2C3_WCS365_5day001_b,A,8,0.1506
N2C3_WCS365_5day001_b,B,8,0.133
N2C3_WCS365_5day001_b,C,8,0.1537
N2C3_WCS365_5day001_b,D,8,0.1484
N2C3_WCS365_5day001_b,E,8,0.2457
N2C3_WCS365_5day001_b,F,8,0.1437
N2C3_WCS365_5day001_b,G,8,0.1447
N2C3_WCS365_5day001_b,H,8,0.1828
N2C3_WCS365_5day001_b,A,9,0.1697
N2C3_WCS365_5day001_b,B,9,0.143
N2C3_WCS365_5day001_b,C,9,0.1667
N2C3_WCS365_5day001_b,D,9,0.1736
N2C3_WCS365_5day001_b,E,9,0.2558
N2C3_WCS365_5day001_b,F,9,0.1723
N2C3_WCS365_5day001_b,G,9,0.1362
