subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_median	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	16728	0.3194444444444444	0.38620689655172413	0.0	0.3728813559322034	0.5531135531135531	0.06403940886699508	0.41426479378362224	0.6737071513002364	0.26706231454005935	93.0	134.0	15.0	68.0	108.0	40.0
subimage_G1	3344	0.35891647855530473	0.35367098058735685	0.00980392156862745	0.403789763449685	0.38517632465000884	0.20998687664041993	0.46235037532968143	0.5322270471464019	0.28156628680451706	131.0	125.0	69.0	60.0	54.0	-5.0
subimage_F1	5626	0.35494880546075086	0.3520657771535581	0.00878159054022722	0.38256658595641646	0.3968253968253968	0.2226629050157083	0.43880780160165334	0.5609433475287134	0.28487491190979564	155.0	155.0	88.0	64.0	70.0	9.0
subimage_E1	6826	0.3555655836341757	0.349609375	0.0	0.3983286908077994	0.4269230769230769	0.168	0.5189873417721519	0.5435618729096989	0.28769161774298757	127.0	138.0	55.0	73.0	77.0	5.0
subimage_D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_C1	2472	0.3156484962406015	0.3440558283538661	0.1695747578692494	0.3722480870625211	0.4	0.22298474432620774	0.4381058462989156	0.47982113821138206	0.2954787234042553	103.5	115.0	65.0	42.0	50.0	9.0
subimage_B1	832	0.3406113537117904	0.3478715490163663	0.17368484555984556	0.3613653382144937	0.39158468626149234	0.24528301886792453	0.41664890227654516	0.4356933458708999	0.29294627548104396	97.0	105.0	64.0	30.0	39.0	5.0
subimage_A1	13306	0.25688073394495414	0.38031319910514544	0.0	0.3667429530656185	0.5530973451327433	0.05474452554744526	0.4076923076923077	0.7398373983739838	0.27609830525572476	94.0	134.0	13.0	60.0	100.0	38.0
subimage_H2	14793	0.33695652173913043	0.39727882742199816	0.0	0.3677685950413223	0.5259259259259259	0.10305343511450382	0.4051724137931034	0.6279636982416336	0.25334529147982066	93.0	133.0	25.0	66.0	105.0	39.0
subimage_G2	3996	0.35604074913413436	0.3422948227680541	0.08660493827160494	0.4025698877393793	0.3652772175855543	0.225	0.48333333333333334	0.44550395256916997	0.2955140486696894	97.0	90.0	57.0	41.0	34.0	-8.0
subimage_F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_E2	3796	0.3559322033898305	0.3312434071729958	0.03406799193316047	0.41621621621621624	0.35439870513233945	0.21067832494248656	0.5037467700258398	0.5026413292036935	0.3002404690400591	161.0	136.0	79.0	72.0	51.0	-19.0
subimage_D2	4823	0.35546122189507495	0.32888055149718437	0.08068875326939844	0.4055793991416309	0.3506849315068493	0.22043010752688172	0.46792106629738617	0.5	0.29941174402662385	157.0	127.0	79.0	65.0	44.0	-13.0
subimage_C2	6135	0.3564178868277646	0.3456958912037037	0.11522869022869023	0.3903420523138833	0.3557312252964427	0.2535885167464115	0.46436170212765965	0.4218508003624283	0.29553264604810997	186.0	172.0	124.0	67.0	50.0	-14.0
subimage_B2	12502	0.35427624033906757	0.3469723223698388	0.0	0.38389802993935596	0.4540611477619352	0.155	0.42660224357580756	0.6022727272727273	0.2910569105691057	136.0	158.0	53.0	71.0	97.0	23.0
subimage_A2	17367	0.3416521197007481	0.3688756218905473	0.0	0.38481675392670156	0.5315985130111525	0.05511811023622047	0.4326923076923077	0.6518987341772152	0.271134328358209	105.0	135.0	14.0	71.0	104.0	31.0
