subimage	all_plant_pixels	ratio_r_q5	ratio_g_q5	ratio_b_q5	ratio_r_median	ratio_g_median	ratio_b_median	ratio_r_q95	ratio_g_q95	ratio_b_q95	pix_r_median	pix_g_median	pix_b_	diff_rb_median	diff_gb_median	diff_gr_median
subimage_H1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G1	5767	0.33654779686333086	0.3790523690773067	0.21305841924398625	0.3457142857142857	0.4139941690962099	0.24	0.35906783711044593	0.4381519080090289	0.27682770474942586	118.0	141.0	81.0	36.0	58.0	23.0
subimage_F1	6936	0.3391959798994975	0.39274904496032914	0.1942675159235669	0.3515850144092219	0.43131429273601796	0.21671826625386997	0.3646723646723647	0.4478114478114478	0.2622060372060372	122.0	149.0	75.0	46.0	73.0	27.0
subimage_E1	9288	0.33421797418073484	0.36082474226804123	0.18518518518518517	0.3412969283276451	0.4280701754385965	0.23054323629398266	0.3564854613207277	0.47035573122529645	0.27734656488549614	105.0	131.0	71.0	33.0	59.0	27.0
subimage_D1	12201	0.34220532319391633	0.3880597014925373	0.17333333333333334	0.3511450381679389	0.43352601156069365	0.21606648199445982	0.36585365853658536	0.46688741721854304	0.2617283950617284	121.0	149.0	74.0	46.0	75.0	29.0
subimage_C1	15312	0.33579335793357934	0.38948967723175343	0.17472118959107807	0.34718100890207715	0.43909802426091377	0.21337579617834396	0.3612906628412303	0.4697674418604651	0.26429447255741534	112.0	139.0	70.0	40.0	68.0	29.0
subimage_B1	7793	0.3345323741007194	0.40479632816982214	0.1736169190098534	0.3438485804416404	0.4384858044164038	0.21710526315789475	0.35294117647058826	0.4803921568627451	0.25213438638927893	102.0	128.0	65.0	36.0	62.0	27.0
subimage_A1	6440	0.336256038647343	0.3903061224489796	0.20055710306406685	0.35064935064935066	0.4261791703277187	0.2246476077029978	0.3621192501693894	0.44410876132930516	0.2636604379725011	121.0	147.0	75.0	43.0	67.0	26.0
subimage_H2	1	0.3048780487804878	0.3780487804878049	0.3170731707317073	0.3048780487804878	0.3780487804878049	0.3170731707317073	0.3048780487804878	0.3780487804878049	0.3170731707317073	50.0	62.0	52.0	-2.0	10.0	12.0
subimage_G2	22589	0.33003300330033003	0.4035532994923858	0.1941747572815534	0.3449367088607595	0.4420731707317073	0.2108626198083067	0.36012861736334406	0.45692883895131087	0.2583673884905688	113.0	143.0	69.0	42.0	74.0	31.0
subimage_F2	22867	0.3350125944584383	0.39119530800230284	0.18243243243243243	0.3504531722054381	0.44072164948453607	0.2102803738317757	0.363905325443787	0.46180209486895535	0.2641670034599348	124.0	155.0	73.0	49.0	79.0	32.0
subimage_E2	6100	0.340632603406326	0.39622416355203316	0.19736394557823128	0.34868421052631576	0.4355300859598854	0.215625	0.3553008595988539	0.45263157894736844	0.2604444299808538	118.0	146.0	73.0	45.0	74.0	29.0
subimage_D2	8063	0.33433017284398675	0.402206934761531	0.18217211185387439	0.3464203233256351	0.4444444444444444	0.20916905444126074	0.3549288476975845	0.475	0.2546165381319623	107.0	137.0	65.0	42.0	73.0	31.0
subimage_C2	21637	0.335149863760218	0.39843337730870715	0.18835616438356165	0.34872979214780603	0.4421965317919075	0.20786516853932585	0.36342042755344417	0.46099290780141844	0.25815217391304346	118.0	150.0	69.0	47.0	78.0	31.0
subimage_B2	14266	0.3342245989304813	0.4041602101593143	0.19135802469135801	0.34890965732087226	0.44297082228116713	0.2074468085106383	0.36239782016348776	0.45774647887323944	0.25343414326570135	118.0	149.0	69.0	47.0	77.0	32.0
subimage_A2	5808	0.33908123920500155	0.39117799048228735	0.1986062717770035	0.34838709677419355	0.43573667711598746	0.21604938271604937	0.35714285714285715	0.45	0.26228777320240726	111.0	140.0	69.0	42.5	71.0	28.0
subimage_H3	13	0.2996248784328254	0.3767123287671233	0.3115583668775158	0.3049645390070922	0.37735849056603776	0.3170731707317073	0.3092558311736394	0.38021851638872917	0.3229520094348181	45.0	55.0	46.0	-2.0	9.0	11.0
subimage_G3	23250	0.3344155844155844	0.40056323339755123	0.1824561403508772	0.34701492537313433	0.44982698961937717	0.20132013201320131	0.3609467455621302	0.4653846153846154	0.2586712933753943	111.5	143.0	65.0	45.0	76.0	32.0
subimage_F3	9993	0.33753943217665616	0.39740890688259106	0.16124305801725156	0.3474576271186441	0.43283582089552236	0.22039473684210525	0.36550514216575924	0.4763847115677064	0.2555896805896805	110.0	137.0	70.0	41.0	68.0	27.0
subimage_E3	4155	0.3471264367816092	0.38478463423055276	0.18046669929261022	0.3597122302158273	0.41959798994974873	0.22037914691943128	0.3780160857908847	0.4426791666666666	0.2634179843770956	150.0	174.0	92.0	58.0	83.0	24.0
subimage_D3	8615	0.3394495412844037	0.3855337236797658	0.16899951432734336	0.34908136482939633	0.4301369863013699	0.2210796915167095	0.36619718309859156	0.4728682170542636	0.2688679245283019	123.0	151.0	79.0	45.0	74.0	29.0
subimage_C3	29461	0.3347457627118644	0.40941176470588236	0.1790633608815427	0.3526170798898072	0.44680851063829785	0.20175438596491227	0.36363636363636365	0.46551724137931033	0.24661246612466126	122.0	155.0	70.0	52.0	84.0	33.0
subimage_B3	22189	0.33636363636363636	0.4020100502512563	0.18668354430379747	0.34946236559139787	0.44314868804664725	0.20677966101694914	0.3627684964200477	0.46153846153846156	0.25291923097870483	122.0	154.0	72.0	49.0	81.0	32.0
subimage_A3	16373	0.33647798742138363	0.403704950749622	0.1891891891891892	0.3507246376811594	0.4427710843373494	0.20604395604395603	0.36257309941520466	0.4583333333333333	0.2531969309462916	121.0	153.0	71.0	50.0	81.0	32.0
subimage_H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G4	21255	0.3408521303258145	0.3870192307692308	0.16494845360824742	0.3524590163934426	0.43882978723404253	0.20760233918128654	0.3707210698275207	0.4703703703703704	0.2650680307436643	124.0	153.0	73.0	49.0	79.0	30.0
subimage_F4	12297	0.3395061728395062	0.38917525773195877	0.15126050420168066	0.35	0.4419889502762431	0.20994475138121546	0.37088727296442425	0.48297213622291024	0.26273458445040215	118.0	148.0	69.0	45.0	75.0	30.0
subimage_E4	8375	0.34545454545454546	0.38560862171409843	0.16618660562874352	0.35645933014354064	0.42424242424242425	0.2204724409448819	0.3812781213156565	0.4584717607973422	0.262876404494382	135.0	160.0	81.0	50.0	75.0	25.0
subimage_D4	14451	0.3413333333333333	0.40176621958827197	0.18541033434650456	0.35149863760217986	0.44542772861356933	0.20285714285714285	0.36153846153846153	0.4608695652173913	0.25249584717607976	123.0	155.0	71.0	50.0	82.0	33.0
subimage_C4	19033	0.33974358974358976	0.4079841252872949	0.18823529411764706	0.35294117647058826	0.4440894568690096	0.20234604105571846	0.3638968481375358	0.45714285714285713	0.24533333333333332	127.0	159.0	72.0	54.0	86.0	32.0
subimage_B4	20030	0.34167520880789676	0.4005305039787798	0.16363636363636364	0.3548387096774194	0.4440894568690096	0.2010178117048346	0.3696369636963696	0.4696485623003195	0.25301204819277107	125.0	156.0	71.0	55.0	86.0	31.0
subimage_A4	7732	0.33680244592053465	0.398876404494382	0.18849840255591055	0.345565749235474	0.4397590361445783	0.21451104100946372	0.35587659619007744	0.4603174603174603	0.2589980585802313	111.0	143.0	69.0	42.0	72.0	30.0
subimage_H5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
subimage_G5	31302	0.34057971014492755	0.4083129584352078	0.18506493506493507	0.35060975609756095	0.446064139941691	0.20170454545454544	0.3613707165109034	0.4622035303500962	0.24754901960784315	120.0	151.0	69.0	49.0	82.0	32.0
